Year	Sample	Keyword	Score	Sample	Keyword	Score
0.1_percent	2021	covid testing	38.9875	1_percent	social distance	1.4589
0.1_percent	2021	covid rule	38.9438	1_percent	president biden	1.4532
0.1_percent	2021	pin code	38.91	1_percent	covid protocol	1.4529
0.1_percent	2021	covid-19 patient	38.9092	1_percent	omicron wave	1.449
0.1_percent	2021	icu bed	38.8202	1_percent	omicron spread	1.448
0.1_percent	2021	new death	37.812	1_percent	case of omicron	1.4475
0.1_percent	2021	election rally	37.464	1_percent	blood clot	1.4425
0.1_percent	2021	positivity rate	37.4112	1_percent	super bowl	1.442
0.1_percent	2021	number of units	37.2062	1_percent	ssr body	1.44
0.1_percent	2021	new coronavirus	37.0427	1_percent	covid passport	1.4337
0.1_percent	2021	start of the pandemic	36.5532	1_percent	big bird	1.433
0.1_percent	2021	third wave	35.9932	1_percent	new death	1.4253
0.1_percent	2021	healthcare worker	35.7159	1_percent	third wave	1.4222
0.1_percent	2021	ल कर	35.509	1_percent	biden administration	1.4205
0.1_percent	2021	covid situation	35.4986	1_percent	joe biden	1.4193
0.1_percent	2021	covid vaccine mandate	35.4546	1_percent	indian variant	1.4167
0.1_percent	2021	ssrians help	34.9745	1_percent	covid jab	1.4135
0.1_percent	2021	wuhan lab leak	34.9075	1_percent	positivity rate	1.4094
0.1_percent	2021	covid-19 booster	34.4865	1_percent	new coronavirus	1.4089
0.1_percent	2021	oxygen concentrator	34.3922	1_percent	last week	1.4046
0.1_percent	2021	covid mandate	33.6664	1_percent	pandemic response	1.4029
0.1_percent	2021	lab leak	33.6103	1_percent	covid-19 test	1.4004
0.1_percent	2021	vaccination status	33.5826	1_percent	oxygen bed	1.3995
0.1_percent	2021	second wave	33.0513	1_percent	number of appt slots	1.398
0.1_percent	2021	vaccine distribution	32.7348	1_percent	appt slot	1.398
0.1_percent	2021	coronavirus variant	32.6527	1_percent	oxygen level	1.395
0.1_percent	2021	china virus	32.2063	1_percent	ssrians help	1.3935
0.1_percent	2021	social distance	32.1853	1_percent	ambulance driver	1.3935
0.1_percent	2021	pmc p	31.7325	1_percent	middle of a pandemic	1.3924
0.1_percent	2021	covid-19 test	31.1162	1_percent	relief package	1.3874
0.1_percent	2021	covid pass	31.0793	1_percent	covid-19 infection	1.387
0.1_percent	2021	kanwar yatra	31.077	1_percent	covid outbreak	1.3812
0.1_percent	2021	matt hancock	30.9953	1_percent	other country	1.3753
0.1_percent	2021	ron desantis	30.9684	1_percent	care home	1.3745
0.1_percent	2021	new available appointment	30.931	1_percent	omicron surge	1.373
0.1_percent	2021	covid-19 relief bill	30.9135	1_percent	conspiracy theory	1.3724
0.1_percent	2021	pfizer vaccine	30.7461	1_percent	covid response	1.3722
0.1_percent	2021	omicron death	30.58	1_percent	oxygen cylinder	1.363
0.1_percent	2021	ए बह	30.579	1_percent	omicron infection	1.361
0.1_percent	2021	covid-19 infection	30.5467	1_percent	care worker	1.3591
0.1_percent	2021	mrna vaccine	30.4045	1_percent	health care	1.3578
0.1_percent	2021	covid-19 pandemic	30.3797	1_percent	recovered patient	1.3575
0.1_percent	2021	full approval	30.3335	1_percent	ùšø3 ø	1.355
0.1_percent	2021	deadly pandemic	30.2947	1_percent	covid rule	1.3542
0.1_percent	2021	available appointment	30.0937	1_percent	pandemic bill	1.353
0.1_percent	2021	covid lockdown	29.9307	1_percent	covid situation	1.3527
0.1_percent	2021	joe rogan	29.8565	1_percent	minimum wage	1.3508
0.1_percent	2021	texas democrats	29.788	1_percent	covid testing	1.3488
0.1_percent	2021	number of appt slots	29.7755	1_percent	cleanliness worker	1.3485
0.1_percent	2021	appt slot	29.7745	1_percent	covid bill	1.3477
0.1_percent	2021	registration link	29.5193	1_percent	next week	1.3438
0.1_percent	2021	joe biden	29.2905	1_percent	positive case	1.3388
0.1_percent	2021	plasma donor	29.2175	1_percent	good news	1.3286
0.1_percent	2021	oxygen supply	28.9245	1_percent	vaccination status	1.3271
0.1_percent	2021	तन द	28.923	1_percent	start of the pandemic	1.3248
0.1_percent	2021	health failure	28.886	1_percent	long term	1.3246
0.1_percent	2021	death rate	28.3999	1_percent	ùˆùƒ ø	1.324
0.1_percent	2021	corona warrior	27.8279	1_percent	holiday season	1.321
0.1_percent	2021	covid-19 relief	27.8267	1_percent	contact number	1.32
0.1_percent	2021	booster dose	27.6995	1_percent	freedom day	1.32
0.1_percent	2021	vaccine booster	27.657	1_percent	election rally	1.3195
0.1_percent	2021	pandemic situation	27.301	1_percent	african country	1.318
0.1_percent	2021	public health failure	26.979	1_percent	covid-19 booster	1.3172
