Item	Frequency
companies	0.0406
asian	0.0405
democracy	0.0404
exam	0.0404
u.s	0.0404
reality	0.0404
bihar	0.0403
australian	0.0403
outbreak	0.0398
vaccine mandates	0.0397
world	0.0397
jeff bezos	0.0391
amazon	0.0391
election day	0.0391
covid-19 vaccines	0.0388
results	0.0388
terms	0.0388
lagos	0.0387
oregon	0.0386
reports	0.0385
kelly loeffler	0.0383
nfl	0.0382
another lockdown	0.0381
bts	0.038
responsibility	0.0379
ventilators	0.0377
myanmar	0.0375
solidarity	0.0374
voters	0.0373
recovery	0.0373
u.k.	0.0373
no masks	0.0372
andrew cuomo	0.0372
dominic cummings	0.0372
peace	0.0372
fun	0.0372
gujarat	0.0372
war	0.0372
concern	0.0372
antibodies	0.0371
miami	0.0371
country	0.037
vaccinated people	0.0367
dems	0.0367
danger	0.0367
resources	0.0367
louisiana	0.0367
loved ones	0.0366
new jersey	0.0366
sept	0.0366
iowa	0.0363
end	0.0363
capita	0.0362
mental health	0.0361
scott morrison	0.036
corruption	0.036
viruses	0.036
san francisco	0.0358
video	0.0358
bengal	0.0358
places	0.0357
tennessee	0.0356
oklahoma	0.0356
crisis	0.0356
african	0.0354
individuals	0.0354
kamala harris	0.0351
lindsey graham	0.035
trace	0.035
minnesota	0.0349
asia	0.0348
funding	0.0348
so many people	0.0347
study	0.0346
details	0.0346
jared kushner	0.0345
rules	0.0345
pelosi	0.0343
plans	0.0343
kentucky	0.0342
doug ford	0.0339
fox news	0.0339
track	0.0339
ted cruz	0.0337
european	0.0336
ron johnson	0.0333
blood	0.0333
west bengal	0.0332
hospitalization	0.0331
pennsylvania	0.033
atlanta	0.0326
annual	0.0325
no social distancing	0.0324
dollars	0.0323
karnataka	0.0323
disease	0.0322
colorado	0.0322
awareness	0.0321
boris	0.032
funds	0.032
hawaii	0.0319
suicide	0.0318
cities	0.0317
anxiety	0.0317
beds	0.0317
truth	0.0316
youtube	0.0316
joe rogan	0.0315
leaders	0.0315
light	0.0315
virginia	0.0315
services	0.0315
bill gates	0.0314
hancock	0.0314
mid	0.0313
ways	0.0312
north carolina	0.0311
loss	0.0311
primary number	0.0311
population	0.031
norway	0.031
boosters	0.031
rent	0.0308
taxes	0.0307
putin	0.0307
stock	0.0307
fire	0.0305
mps	0.0305
report	0.0305
blood component	0.0304
australians	0.0303
complications	0.0302
effect	0.0301
german	0.0301
cuba	0.03
court	0.0299
paris	0.0299
french	0.0297
pence	0.0295
unvaccinated people	0.0294
capacity	0.0294
indoors	0.0293
credit	0.0291
aug	0.029
herman cain	0.0287
bed	0.0285
austria	0.0284
customers	0.0283
turkey	0.0282
good news	0.028
spring	0.028
mandates	0.0279
pneumonia	0.0278
elections	0.0278
scottish	0.0277
common sense	0.0276
lakhs	0.0276
face	0.0275
homes	0.0274
emergency	0.0273
south carolina	0.0271
researchers	0.0271
nigerians	0.027
illinois	0.0269
jee	0.0268
prevention	0.0267
neet	0.0266
msm	0.0266
issues	0.0264
events	0.0264
advice	0.0264
campus	0.0263
measures	0.0263
billionaires	0.0262
words	0.0262
black people	0.0261
panic	0.0261
vote	0.0261
utah	0.0261
donald	0.0259
missouri	0.0258
prayers	0.0258
precautions	0.0257
sight	0.0256
election	0.0254
stuff	0.0254
active cases	0.0253
indiana	0.0253
david perdue	0.0251
failure	0.025
tokyo	0.025
respect	0.0249
muslim	0.0249
flights	0.0249
hiv	0.0249
essential workers	0.0248
nba	0.0248
drugs	0.0246
tucker carlson	0.0245
guidelines	0.0245
efforts	0.0245
sources	0.0245
ages	0.0245
care homes	0.0243
outbreaks	0.0242
animals	0.0242
profit	0.0242
midnight	0.0241
covid tests	0.024
dallas	0.024
info	0.0239
season	0.0238
johns hopkins university	0.0236
gavin newsom	0.0236
answers	0.0236
nyt	0.0236
arkansas	0.0236
view	0.0234
kashmir	0.0234
newsom	0.0234
north korea	0.0233
governors	0.0233
fake news	0.0231
pressure	0.0231
ukraine	0.0231
thread	0.0231
service	0.023
maryland	0.023
entry	0.023
big pharma	0.0229
demand	0.0229
nicola sturgeon	0.0228
covid-19 cases	0.0228
el paso	0.0228
games	0.0228
vaxxers	0.0228
floridians	0.0228
hcq	0.0227
fbi	0.0227
sec	0.0227
scott atlas	0.0227
situation	0.0227
nevada	0.0226
universities	0.0226
crowds	0.0225
belgium	0.0225
taliban	0.0225
head	0.0223
israeli	0.0223
victims	0.0222
players	0.0222
ghana	0.0221
northern ireland	0.022
massachusetts	0.022
puerto rico	0.0219
trouble	0.0219
journalists	0.0218
modi ji	0.0217
air	0.0217
pentagon	0.0216
corporations	0.0216
maine	0.0215
blood clots	0.0214
health officials	0.0214
problems	0.0214
depression	0.0212
disinformation	0.0212
way	0.0212
girls	0.0212
asian americans	0.0212
ottawa	0.0211
immigrants	0.0211
guidance	0.0211
livelihoods	0.0211
protest	0.0211
change	0.0211
shots	0.0211
iraq	0.021
ford	0.021
south african	0.0209
employers	0.0209
seattle	0.0209
farmers	0.0208
covid rules	0.0207
human rights	0.0207
gaza	0.0206
lockdown rules	0.0205
dr. anthony fauci	0.0204
shame	0.0204
virology	0.0204
tens of millions	0.0203
justin trudeau	0.0203
aiims	0.0203
surge	0.0203
decisions	0.0203
benefits	0.0203
saudi arabia	0.0202
protocols	0.0202
nhs staff	0.0201
disease control	0.02
hhs	0.02
rallies	0.02
class	0.02
amy coney barrett	0.02
kumbh	0.02
income	0.0199
new delhi	0.0198
behalf	0.0198
georgians	0.0198
example	0.0197
guys	0.0197
seniors	0.0197
punjab	0.0197
colleagues	0.0197
rajasthan	0.0196
illness	0.0196
hunger	0.0196
protesters	0.0196
interest	0.0196
exposure	0.0195
parties	0.0195
odisha	0.0194
portland	0.0194
music	0.0194
snp	0.0194
borders	0.0194
health workers	0.0193
donald trumps	0.0193
policy	0.0193
fully vaccinated people	0.0192
nature	0.0192
supplies	0.0192
ministers	0.0191
lisa	0.0191
updates	0.019
covid-19 vaccine	0.0189
progress	0.0189
record	0.0189
reuters	0.0189
fears	0.0188
remdesivir	0.0188
passengers	0.0187
quebec	0.0187
impact	0.0187
harris	0.0187
confidence	0.0186
walter reed	0.0185
health care workers	0.0184
high risk	0.0184
no mask	0.0184
pm modi	0.0184
pubs	0.0184
units	0.0184
community	0.0184
medicaid	0.0184
palestinians	0.0184
color	0.0183
dubai	0.0183
orders	0.0183
volunteers	0.0183
function	0.0183
obamacare	0.0182
homelessness	0.0182
stress	0.0182
doses	0.0182
church	0.0181
netherlands	0.0181
nbc news	0.018
update	0.018
fourth	0.018
next month	0.0179
ssr	0.0179
birx	0.0179
risks	0.0179
authorities	0.0179
uae	0.0179
doctor	0.0179
eviction	0.0178
n95	0.0178
covid testing	0.0177
aaron rodgers	0.0175
stake	0.0175
bangladesh	0.0175
aca	0.0174
football	0.0174
h1n1	0.0174
classes	0.0174
las vegas	0.0172
dan andrews	0.0172
monthly	0.0172
gun violence	0.0171
usps	0.0171
sir	0.0171
crimes	0.0171
ventilation	0.0171
rudy giuliani	0.0171
joe bidens	0.017
san diego	0.017
death toll	0.017
new orleans	0.017
vic	0.017
touch	0.017
fed	0.017
hyderabad	0.017
policies	0.017
propaganda	0.017
xmas	0.017
san antonio	0.0169
migrants	0.0169
profits	0.0169
capitalism	0.0169
good luck	0.0168
holiday	0.0168
areas	0.0168
gladys	0.0168
cdc guidelines	0.0167
sports	0.0167
studies	0.0167
space	0.0167
covid infections	0.0166
close contact	0.0166
liverpool	0.0166
duty	0.0166
technology	0.0166
each day	0.0165
frontline workers	0.0165
coronavirus pandemic	0.0165
college	0.0165
chaos	0.0165
instagram	0.0165
assam	0.0165
bob woodward	0.0165
covid vaccination	0.0164
public transport	0.0164
betsy devos	0.0164
hand	0.0164
george floyd	0.0163
spanish	0.0163
hold	0.0163
trust	0.0163
covid passports	0.0162
legislation	0.0162
stage	0.0162
