Item	Frequency
sars-cov-2	0.0416
y	0.0414
despite	0.0414
donate	0.0413
call	0.0413
wait	0.0412
nursing home	0.0411
nursing	0.0409
desantis	0.0409
mask mandate	0.0408
nation	0.0407
antibody	0.0407
close	0.0406
homes	0.0405
coronavirus vaccine	0.0404
spreading	0.0403
failed	0.0397
seriously	0.0396
anything	0.0396
infections	0.0395
lab	0.0395
join	0.0391
normal	0.0389
ppe	0.0388
isolation	0.0388
brexit	0.0387
fighting	0.0384
fear	0.0383
face mask	0.0382
wearing mask	0.0381
happy	0.038
instead	0.0377
children	0.0376
joe biden	0.0375
highest	0.0375
oh	0.0375
enough	0.0375
leadership	0.0374
sad	0.0372
science	0.0371
control	0.0371
postpone	0.037
frontline	0.037
listen	0.0369
campaign	0.0369
vaccine passport	0.0366
kill	0.0366
closed	0.0366
hear	0.0365
boris johnson	0.0364
cuomo	0.0364
population	0.0364
tory	0.0363
leaders	0.0362
ontario	0.0362
vaccine mandate	0.036
death rate	0.0357
lockdowns	0.0357
record	0.0357
nsw	0.0356
herd	0.0354
middle of a pandemic	0.0353
loved one	0.035
cnn	0.0349
talking	0.0349
covid-19 vaccination	0.0348
citizens	0.0347
share	0.0345
mild	0.0342
plasma	0.034
infectious	0.0339
idiot	0.0338
second wave	0.0337
scientists	0.0337
rise	0.0336
mp	0.0336
moderna	0.0336
donald trump	0.0335
impact	0.0334
president trump	0.0333
political	0.0333
prevent	0.0332
ivermectin	0.0332
new coronavirus	0.033
stimulus	0.033
morning	0.033
nearly	0.0329
party	0.0329
white house	0.0327
guidelines	0.0326
serious	0.0326
billion	0.0326
gets	0.0326
deal	0.0326
pcr	0.0322
handling	0.0321
ass	0.0321
mandatory	0.0321
covid-19 death	0.032
ones	0.032
wanna	0.0319
united states	0.0319
imagine	0.0318
social distance	0.0317
lies	0.0315
lakh	0.0314
hate	0.0313
viral	0.0313
vaxxed	0.0313
bed	0.0313
shame	0.0312
affected	0.0311
yourself	0.0309
covid restriction	0.0307
delta variant	0.0307
asking	0.0307
racist	0.0307
happen	0.0306
recovered	0.0305
forget	0.0304
calling	0.0303
mental	0.0301
voting	0.03
seeing	0.03
herd immunity	0.0299
happened	0.0299
dr	0.0297
ur	0.0296
guys	0.0296
video	0.0296
hospitalize	0.0296
ask	0.0295
failure	0.0294
maybe	0.0293
shortage	0.0291
health care	0.0291
telling	0.029
folks	0.029
march	0.029
contact	0.029
bjp	0.0289
positivity	0.0289
propaganda	0.0289
coronavirus outbreak	0.0287
asymptomatic	0.0285
strain	0.0285
truth	0.0284
healthcare worker	0.0283
gone	0.0283
happening	0.0282
paid	0.0281
active case	0.028
huge	0.028
severe	0.028
absolutely	0.0279
congress	0.0279
dear	0.0278
allowed	0.0278
stay home	0.0277
threat	0.0277
mortality	0.0274
illness	0.0273
n95	0.0272
healthy	0.0272
covid-19 patient	0.0271
biggest	0.0271
forced	0.0267
dems	0.0267
ventilator	0.0267
reporting	0.0266
wow	0.0265
wash	0.0264
ok	0.0263
continues	0.0263
selfish	0.0262
killing	0.0261
lying	0.026
hey	0.026
nyc	0.0259
distance	0.0259
pls	0.0258
pence	0.0258
mental health	0.0257
ccp	0.0256
anti	0.0256
times	0.0255
health official	0.0254
coronavirus death	0.0254
sign	0.0254
relief bill	0.0252
protests	0.0252
racism	0.0251
bullshit	0.0251
politics	0.0251
guy	0.0251
contagious	0.025
pass	0.025
vaccinated people	0.0248
american people	0.0248
tracing	0.0248
waiting	0.0248
lie	0.0247
small business	0.0247
putting	0.0246
guess	0.0246
hell	0.0245
caused	0.0245
agree	0.0245
incompetence	0.0244
morrison	0.0244
covid vaccination	0.0243
loved	0.0243
better	0.0243
confirmed case	0.0242
ve	0.0242
isolate	0.0241
massive	0.0241
mrna	0.0241
elderly	0.024
usa	0.0239
sorry	0.0238
indian	0.0238
next	0.0238
pelosi	0.0237
deserve	0.0237
trust	0.0237
helping	0.0237
democrat	0.0236
entire	0.0236
suffering	0.0235
urgent	0.0235
dumb	0.0235
yr	0.0235
rollout	0.0234
new variant	0.0233
struggling	0.0233
pandemic response	0.0232
advice	0.0232
covid pandemic	0.0231
wonder	0.0231
exposed	0.0231
cause	0.0231
flatten	0.023
indoors	0.0229
covid-19 test	0.0228
cure	0.0228
africa	0.0228
lose	0.0226
check	0.0226
info	0.0225
many people	0.0225
wh	0.0224
nurses	0.0224
rising	0.0223
updates	0.0223
hundreds	0.0223
mass	0.0222
poor	0.0222
vaccine dose	0.0221
care home	0.022
crore	0.022
essential	0.022
insane	0.0219
trump administration	0.0219
border	0.0218
pl	0.0218
facing	0.0217
