Item	Frequency	Score
covid vaccine	5178	384.650
covid-19 vaccine	5611	305.533
covid patient	2767	205.681
covid case	2569	183.071
covid death	2188	167.259
covid test	1735	130.070
wuhan lab	1636	129.155
covid-19 vaccination	1655	127.707
covid crisis	1659	121.050
blood component	1649	119.748
vaccinated people	1412	110.880
board exam	1329	88.544
corona warrior	1100	87.441
number of units	1572	85.288
indian variant	1068	84.809
corona virus	1297	84.640
second wave	1915	80.438
covid relief	1030	80.310
covid-19 case	1924	79.822
covid vaccination	994	79.019
vaccine dose	1020	75.278
stay home	1044	74.115
oxygen cylinder	955	71.788
covid pandemic	993	70.837
covid restriction	961	70.646
covid warrior	881	70.311
black fungus	871	68.404
oxygen concentrator	935	68.396
covid situation	867	67.564
mask mandate	918	66.067
pandemic situation	852	65.018
herd immunity	996	64.640
new available appointment	785	62.962
social distancing	2885	62.132
available appointment	793	61.451
active case	1034	61.373
lab leak	765	61.339
icu bed	827	61.221
registration link	798	58.345
patient name	761	58.014
wearing mask	991	57.889
ssrians help	711	57.121
global pandemic	1110	56.887
blood group	876	55.514
sant shri asharamji bapu	678	54.516
recovered patient	693	54.192
covid-19 patient	952	53.669
second dose	750	52.326
positivity rate	735	51.185
vaccine passport	635	51.029
number of appt slots	632	50.885
appt slot	632	50.884
covid shot	612	49.278
covid protocol	621	49.023
first dose	766	48.638
new case	1881	48.384
chinese virus	580	45.870
third wave	747	45.620
ssr body	558	45.044
oxygen bed	541	43.670
ambulance driver	606	43.292
offline exam	537	43.261
coronavirus vaccine	626	43.100
covid care	528	42.439
cleanliness worker	524	42.354
covid variant	510	41.254
covid positive	500	40.246
wuhan institute	501	39.806
pm modi	631	39.787
china virus	498	39.699
covid-19 death	558	39.313
cdc guidance	491	38.314
covid infection	479	37.774
new variant	556	37.375
cdc guideline	512	36.548
modi govt	459	36.510
covid-19 pandemic	2361	36.042
vaccine rollout	449	35.968
boris johnson	809	35.545
covid wave	438	35.440
social distance	619	34.202
vaccination drive	426	34.095
long covid	415	33.499
total lockdown	417	33.170
vaccination appointment	403	32.649
covid hospital	401	32.459
distribution-dss volunteer	398	32.415
gain of function	410	32.412
coronavirus case	609	32.298
covid jab	395	32.144
pandemic response	437	31.909
stay safe	420	31.891
biden administration	443	31.526
vaccine appointment	376	30.616
covid time	383	30.524
corona pandemic	384	30.446
pandemic time	379	30.348
covid response	375	29.849
need plasma	365	29.807
president biden	372	29.803
covid treatment	365	29.665
middle of a pandemic	375	29.608
frontline worker	433	29.576
speedy recovery	463	29.359
positive case	511	28.515
vaccination rate	414	28.361
full lockdown	354	28.229
pcr test	386	28.143
total case	386	27.873
corona case	340	27.667
ssrians covid volunteer	334	27.364
pfizer vaccine	344	27.303
dominic cummings	346	27.260
new death	387	27.166
emergency use	401	26.994
covid-19 vaccination appointment	323	26.495
death toll	966	26.452
wear mask	330	26.206
health minister	496	26.165
covid rule	317	25.700
panic buying	333	25.628
covid-19 restriction	404	25.610
covid duty	312	25.597
covid-19 infection	401	25.448
wuhan virus	314	25.091
covid testing	315	24.965
super spreader	306	24.738
covid lockdown	309	24.678
covid-19 relief	326	24.622
spike protein	319	24.438
vaccine hesitancy	308	24.355
start of the pandemic	325	24.345
covid outbreak	302	24.273
covid care centre	295	24.200
covid virus	299	24.193
covid-19 situation	337	24.022
natural immunity	316	23.920
new coronavirus	378	23.879
humble request	296	23.613
covid surge	286	23.449
prevention kit	286	23.422
home isolation	286	23.014
vaccination site	282	22.871
plasma donor	281	22.823
covid-19 crisis	478	22.652
oxygen supply	331	22.589
covid prevention	273	22.474
dera sacha sauda	273	22.326
contact number	472	22.300
covid-19 variant	269	22.225
covid ward	268	22.055
private hospital	444	22.001
lab leak theory	266	21.996
hospital bed	522	21.983
mask guidance	265	21.883
leak theory	264	21.834
post covid	266	21.762
deadly pandemic	269	21.616
hotel quarantine	270	21.591
covid management	259	21.397
vaccination centre	260	21.338
oxygen plant	259	21.209
covid-19 test	327	21.186
coronavirus variant	254	21.041
covid origin	250	20.727
unvaccinated people	253	20.663
relief fund	316	20.404
complete lockdown	251	20.369
covid recovery	248	20.360
state govt	262	20.319
oxygen level	390	20.305
time of pandemic	247	20.083
medical oxygen	248	20.035
essential worker	293	19.887
covid symptom	244	19.844
coronavirus pandemic	685	19.739
covid prevention kit	236	19.628
blood clot	586	19.498
healthcare worker	426	19.467
vaccine clinic	238	19.396
face mask	593	19.198
lockdown restriction	259	19.197
matt hancock	242	19.103
vaccine patent	230	19.096
mrna vaccine	234	18.931
ventilator bed	224	18.668
modi government	280	18.626
covid-19 virus	274	18.551
mask wear	239	18.530
health ministry	348	18.421
students life	224	18.297
positive patient	245	18.200
covid19 vaccine	218	18.153
handling of the pandemic	216	17.700
n95 mask	233	17.559
rand paul	258	17.463
covid victim	208	17.371
beginning of the pandemic	215	17.037
care home	609	17.002
oxygen support	205	16.988
oxygen shortage	203	16.928
kumbh mela	213	16.838
mass vaccination	219	16.657
corona patient	198	16.559
next pandemic	203	16.483
central govt	204	16.433
rahul gandhi	256	16.377
getting covid	195	16.368
daily case	210	16.325
wuhan lab leak	194	16.313
death rate	507	16.310
astrazeneca vaccine	195	16.281
deadly virus	237	16.260
ve plasma	193	16.234
chinese lab	194	16.219
तन द	192	16.155
contact name	247	16.125
appropriate behaviour	202	15.940
vaccine shot	190	15.767
covid spread	188	15.736
care centre	283	15.724
central vista	187	15.720
cases today	194	15.704
modi ji	188	15.637
coronavirus death	200	15.587
covid-19 vaccine dose	185	15.560
lockdown rule	191	15.494
people die	237	15.448
ppe kit	185	15.378
variant of concern	182	15.363
covid-19 outbreak	285	15.332
teachers union	239	15.289
covid number	183	15.284
coronavirus infection	218	15.038
confirmed case	342	14.975
panic buy	180	14.918
infection rate	281	14.866
new coronavirus case	190	14.843
total death	201	14.779
new availability	177	14.762
function research	175	14.756
covid-19 hate	174	14.733
covid guideline	176	14.703
covid report	173	14.634
cdc director	177	14.609
vaccination program	210	14.592
corona curfew	172	14.575
lack of oxygen	218	14.545
saving life	289	14.510
covid-19 update	197	14.328
biden admin	169	14.321
covid denier	169	14.316
uttar pradesh	447	14.315
pandemic hit	184	14.288
big pharma	263	14.287
corona crisis	174	14.245
cvs pharmacy	179	14.191
spo2 level	167	14.116
health infrastructure	192	14.062
first lockdown	172	14.046
covid19 case	166	14.029
covid vax	165	14.022
excess death	184	13.986
covid19 pandemic	170	13.886
cow urine	168	13.849
urgent need	478	13.841
related death	201	13.810
vaccination center	163	13.793
