Item	Frequency	Score
covid	89717	2151.625
vaccinate	15621	514.371
ðÿ	4186	511.361
unvaccinated	3845	381.279
vax	3414	337.735
vaxxed	1833	234.040
pandemic	32895	204.060
lockdown	10300	200.307
fauci	2123	200.176
covid19	2153	199.090
ivermectin	1704	185.218
vaccine	32905	173.286
moderna	1441	140.933
jab	3665	138.767
covid-19	31416	134.885
pfizer	2772	127.293
vaccination	8508	118.867
wuhan	1713	98.212
unvaxxed	696	91.166
corona	2324	84.965
booster	3937	82.212
cdc	4775	78.819
vaxed	558	73.139
sars-cov-2	999	72.334
myocarditis	627	71.767
icu	1616	67.315
vaxx	503	66.085
pre-pandemic	567	64.567
anti-vaxxer	528	63.418
govt	2219	62.873
desantis	659	59.094
mask	13054	54.683
hospitalization	1603	53.711
jandj	387	51.143
ppl	1084	49.427
post-pandemic	418	47.773
anti-vax	377	47.317
coronavirus	4928	47.168
retweet	563	47.088
n95	490	47.054
pre-covid	386	45.362
flu	3775	44.638
biden	3144	44.024
hospitalisation	482	43.520
immunity	3123	43.352
distancing	1465	42.987
misinformation	1099	41.788
mandate	6886	40.317
post-covid	333	38.202
merck	750	37.833
gain-of-function	289	35.842
yg	327	35.776
gov	885	35.712
molnupiravir	263	35.071
javid	336	34.830
hospitalize	971	33.984
immunocompromised	309	31.493
vaers	249	30.834
ð	275	29.900
non-covid	228	29.595
covid-related	245	29.235
pcr	956	29.058
âtm	221	28.967
breaking	1099	28.394
unvaxed	211	28.310
mrna	784	28.154
sajid	259	26.699
usafact	194	26.139
c19	216	25.553
ï	619	25.482
ecohealth	197	25.438
bolsonaro	314	25.424
ðÿtm	187	25.021
pfizer-biontech	186	24.723
psaki	194	24.500
quarantine	1158	24.266
covaxin	179	23.932
virus	6843	23.709
maskless	178	23.202
lmao	279	23.047
hospitalise	265	22.827
disinformation	450	22.563
outbreak	2712	22.391
cases	331	22.148
ivm	176	22.136
rogan	236	22.118
starmer	188	21.699
passport	2077	21.608
kyrie	249	21.547
asymptomatic	368	20.722
antivaxxer	153	20.629
antiviral	375	20.621
icymi	163	20.522
sunak	168	20.423
positivity	390	20.196
pharma	766	20.194
polio	484	20.190
biontech	163	20.025
birx	155	19.979
cop26	154	19.875
dose	4391	19.600
ðÿš	142	19.396
ucp	178	19.124
hesitancy	188	19.084
âœ	142	19.039
powell	1331	19.011
fda	2075	18.967
vaxxer	139	18.928
walensky	139	18.864
immensa	138	18.772
anti-vaxx	137	18.546
anti-vaccine	155	18.455
ventilator	368	18.376
epidemic	1424	18.324
antivax	135	18.260
dewormer	138	17.986
ffs	201	17.887
eua	152	17.694
perrottet	133	17.688
monoclonal	293	17.651
icus	151	17.602
tory	796	17.563
ðÿ1	126	17.326
spreader	228	17.266
antibody	1497	17.261
astrazeneca	218	17.226
coronaviruse	146	17.138
ó	451	17.108
ji	427	17.084
comorbiditie	197	17.078
sushant	146	17.049
hydroxychloroquine	154	17.009
hcq	131	16.898
infect	1369	16.796
anti-mask	125	16.789
maga	172	16.609
boris	679	16.576
daszak	121	16.388
lockdowns	120	16.177
rt	871	15.887
rollout	384	15.845
covidiot	115	15.839
clot	510	15.810
ppe	326	15.751
anti-lockdown	116	15.706
nih	798	15.680
anti-covid	114	15.639
floridian	190	15.613
reinfection	127	15.468
jcvi	116	15.452
wtf	337	15.393
virology	182	15.363
preventable	322	15.208
kenney	215	15.158
delta	1857	14.961
msm	383	14.905
kavanaugh	303	14.797
newsom	218	14.791
gaslighting	119	14.698
youngkin	106	14.678
à	422	14.499
nhs	1849	14.465
remdesivir	119	14.450
cavuto	123	14.440
unmask	221	13.971
tories	263	13.970
infection	4483	13.949
jacinda	128	13.794
moron	327	13.781
lnp	136	13.719
namo	114	13.692
ssr	188	13.620
nsw	1464	13.614
oðÿ	95	13.306
colin	1021	13.282
anti	698	13.250
plandemic	96	13.244
gladys	225	13.178
anti-science	117	13.150
plz	197	13.003
bullshit	456	12.992
brexit	1096	12.949
myeloma	182	12.910
hcw	101	12.875
rolovich	92	12.819
mishandle	168	12.815
berejiklian	102	12.716
âž	90	12.626
c-19	93	12.611
ccp	264	12.579
shortage	1414	12.570
frontline	434	12.418
variant	1835	12.414
jair	113	12.384
epidemiologist	164	12.081
vaccine-induced	90	12.076
infected	712	12.028
measles	332	11.925
idk	165	11.912
tyranny	412	11.909
smh	122	11.891
yall	126	11.860
ardern	122	11.714
bioweapon	97	11.712
harries	97	11.625
curfew	240	11.622
denier	196	11.587
shit	1566	11.552
politicize	140	11.472
crore	629	11.417
ðÿÿ	80	11.371
lisa	1238	11.358
sars	174	11.292
sick	2644	11.240
pro-covid	79	11.239
aande	79	11.232
symptomatic	243	11.213
albertan	97	11.198
covishield	79	11.187
oct	1360	11.157
restriction	2884	11.155
pneumonia	395	11.152
billionaire	418	10.974
vic	471	10.918
virologist	94	10.918
tfg	88	10.816
nft	85	10.721
airborne	504	10.715
tweet	1567	10.707
gqp	75	10.702
bts	161	10.682
smallpox	197	10.560
death	16351	10.548
contagious	261	10.420
bvlgari	83	10.393
yr	619	10.374
â	1285	10.369
pincode	75	10.346
mismanagement	178	10.253
modi	450	10.167
albertans	85	10.159
jimin	79	10.063
abbott	412	10.052
surge	1096	9.995
deadly	1198	9.962
ðÿœ	69	9.939
fuck	2270	9.905
intubate	81	9.885
fluvoxamine	72	9.874
fatality	416	9.852
tbh	130	9.837
hoax	295	9.730
transmissible	88	9.729
presser	99	9.693
qr	235	9.678
keir	94	9.577
covax	68	9.524
mutate	235	9.467
spread	5585	9.458
immune	1447	9.455
frydenberg	72	9.445
pill	858	9.378
breakthrough	694	9.358
ahs	109	9.345
draconian	159	9.289
idiot	687	9.277
complication	999	9.263
panic	951	9.247
omg	260	9.210
ðÿž	63	9.147
incompetence	212	9.139
bbmp	72	9.125
al-yamani	63	9.096
obr	75	9.088
sask	80	9.071
reinfected	64	9.029
ltc	115	8.991
mcauliffe	95	8.937
disgusting	292	8.920
reopen	712	8.903
nyt	170	8.884
endemic	350	8.868
dems	215	8.839
shot	4652	8.833
stay-at-home	121	8.819
in-n-out	69	8.816
pandemic-related	66	8.762
trudeau	206	8.721
pls	98	8.712
comirnaty	59	8.648
manchin	78	8.636
abt	145	8.630
atandt	59	8.627
heartbreaking	187	8.625
mongering	83	8.594
aï	59	8.585
prager	74	8.564
rsv	95	8.545
superspreader	60	8.541
flatten	363	8.527
at-home	106	8.516
long-covid	58	8.504
wane	260	8.498
âš	58	8.432
gop	649	8.422
sputnik	109	8.394
balaji187-1	57	8.389
kainkariyam	57	8.389
okhdfcbank	57	8.389
unjabbed	57	8.389
retweeting	65	8.385
fully-vaccinated	57	8.377
wear	7217	8.361
wef	80	8.343
die	11943	8.342
ur	358	8.331
bruh	60	8.301
qld	184	8.288
sturgeon	166	8.273
crowdfund	61	8.269
whistleblower	240	8.248
द	65	8.241
avoidable	124	8.237
confirmed	95	8.204
immunize	102	8.178
cuz	212	8.140
covid-safe	58	8.135
tritt	59	8.128
zero-covid	55	8.124
nigga	88	8.104
pox	99	8.103
hepa	84	8.101
vacc	57	8.093
mandatory	969	8.092
nope	262	8.064
nah	163	8.054
lft	61	8.016
authoritarianism	105	7.981
wfh	62	7.967
indoors	355	7.961
covid-positive	55	7.937
qanda	54	7.925
n95s	54	7.901
shib	54	7.887
tga	85	7.887
alberta	699	7.878
ventilation	423	7.872
kn95	54	7.862
nphet	53	7.798
draymond	62	7.797
mismanage	79	7.750
unvax	52	7.738
g20	170	7.730
globalist	94	7.725
stupidity	218	7.706
hosp	69	7.649
disinfo	59	7.640
lifesite	52	7.630
disha	58	7.622
shri	175	7.592
viral	631	7.590
perumal	58	7.579
pediatrician	152	7.568
inoculate	105	7.568
aspirin	179	7.566
pandemic-era	51	7.562
leni	65	7.541
mump	62	7.537
rishi	88	7.529
mayorkas	52	7.527
selfish	359	7.526
inequity	158	7.517
stfu	59	7.510
covid-19-related	59	7.475
tyrannical	105	7.464
ž	52	7.458
wanna	479	7.447
efficacy	560	7.445
mitigation	475	7.439
hinshaw	56	7.435
cough	544	7.431
swab	139	7.414
covid-free	50	7.383
merch	77	7.378
toll	842	7.377
pericarditis	56	7.338
whitty	58	7.333
inoculation	98	7.325
न	59	7.308
bs	362	7.259
blackpink	51	7.247
coronaviru	57	7.217
conspiracy	810	7.202
lakh	283	7.193
in-person	283	7.188
lmfao	55	7.184
anti-masker	48	7.172
shameful	175	7.160
co-morbiditie	58	7.157
avg	136	7.136
bro	227	7.130
doh	100	7.120
anti-vaxer	48	7.111
vit	77	7.101
frm	62	7.097
cnn	552	7.081
dumbass	67	7.076
š	55	7.043
insurrection	131	7.031
qanon	55	7.030
wk	100	7.010
र	62	6.994
unwell	103	6.989
kid	6393	6.983
defund	74	6.969
puja	96	6.969
nonsense	464	6.956
mask-wearing	51	6.950
mccullough	89	6.931
diwali	99	6.925
morrison	373	6.912
scotus	77	6.905
exemption	686	6.900
davante	49	6.894
post-lockdown	48	6.888
hysteria	151	6.879
niaid	64	6.862
icac	57	6.858
moh	70	6.836
vaxxing	45	6.831
sanitizer	101	6.826
mix-and-match	50	6.825
unscientific	78	6.821
nypd	110	6.811
super-spreader	46	6.801
scaremongering	54	6.786
veritas	85	6.786
sheeran	70	6.783
ह	50	6.775
fyi	134	6.762
lol	1052	6.746
tiktok	83	6.734
asap	211	6.727
backlog	170	6.723
hgv	63	6.714
yrs	103	6.694
influenza	312	6.666
coercion	160	6.659
dem	213	6.656
herd	544	6.655
precaution	371	6.654
capita	265	6.650
bnt162b2	44	6.644
ladapo	44	6.638
irresponsible	202	6.632
reminder	780	6.603
handwashing	62	6.581
vaxd	43	6.574
robredo	49	6.573
infectious	490	6.572
grifter	51	6.547
pl	314	6.538
regeneron	49	6.537
needlessly	96	6.527
mercifully	73	6.498
oan	46	6.486
salmonella	116	6.473
authoritarian	211	6.470
sept	294	6.460
longcovid	42	6.444
gof	52	6.444
sinovac	43	6.432
hochul	44	6.431
rampal	47	6.425
disgraceful	96	6.414
timberview	42	6.414
life-saving	125	6.412
propaganda	629	6.407
coz	92	6.396
hospital	6027	6.389
nnamdi	49	6.385
anti-viral	55	6.360
amid	645	6.339
walgreens	71	6.337
bc	1101	6.328
pmoi	47	6.322
fb	187	6.316
kanu	53	6.315
tho	229	6.289
dumb	450	6.275
overreach	78	6.255
drakeford	44	6.241
ve	193	6.241
ipob	45	6.238
incl	65	6.235
serco	54	6.228
blame	1579	6.215
antigen	211	6.211
mis-c	41	6.197
ðÿ3	40	6.185
trumpism	46	6.166
spike	833	6.166
mazi	42	6.156
b4	80	6.128
liar	273	6.123
seatbelt	92	6.106
eradicate	245	6.104
aborted	73	6.102
pre	449	6.102
mortality	692	6.097
jobless	97	6.072
rona	56	6.072
evander	47	6.065
stupid	1058	6.056
yep	264	6.053
sniffle	61	6.053
ay	100	6.038
क	49	6.032
therapeutics	161	6.030
halloween	497	6.022
ade	64	6.013
cking	54	6.006
insanity	192	6.001
unconscionable	68	5.998
gp	613	5.985
insan	40	5.980
downplay	124	5.972
cv19	39	5.964
misinform	73	5.955
jandk	38	5.921
esp	190	5.915
lifesaving	85	5.915
fully	4288	5.907
nasser	85	5.904
skyrocket	138	5.888
incompetent	173	5.882
saskatchewan	238	5.870
fake	937	5.860
buying	339	5.846
œ	42	5.827
immunologist	48	5.817
phe	58	5.815
preprint	60	5.811
hcws	39	5.800
wiv	40	5.776
vac	89	5.758
potus	59	5.757
yup	132	5.756
lacks	44	5.738
gonna	885	5.735
hesitant	149	5.734
aerosol	178	5.727
tracing	92	5.722
coerce	129	5.720
mislead	502	5.718
underfund	79	5.717
shitty	107	5.705
ì	38	5.684
sinema	40	5.682
respiratory	450	5.678
administer	978	5.675
drugmaker	48	5.675
facemask	47	5.672
insane	381	5.670
burnout	115	5.667
bostapp	36	5.666
pregnant	839	5.664
damn	826	5.664
priti	41	5.660
non-covid-related	36	5.656
म	43	5.647
journo	46	5.646
brainwash	106	5.637
ventilate	102	5.625
complicit	90	5.615
xmas	95	5.612
nwo	58	5.612
mers	51	5.608
tryna	40	5.605
ffp2	36	5.604
refuse	2515	5.604
depopulation	49	5.604
jabs	37	5.597
cov	44	5.595
nuremberg	101	5.594
tigray	46	5.594
wh	110	5.587
mild	685	5.584
dystopian	80	5.577
npis	37	5.575
appt	56	5.574
hv	70	5.561
crypto	135	5.559
crisis	2757	5.551
convivial	49	5.550
negligent	123	5.538
double-jabbed	35	5.537
brett	254	5.532
sars2	35	5.528
fck	37	5.525
enhypen	35	5.523
ifr	56	5.520
johnson	1868	5.517
kamala	71	5.504
clapton	74	5.501
nz	392	5.496
adverse	623	5.495
respirator	81	5.488
positive	4164	5.484
congratulations	76	5.473
murdoch	136	5.463
mp	924	5.434
furlough	97	5.433
symptom	1972	5.428
apologise	163	5.428
fam	75	5.418
rn	216	5.418
melb	40	5.409
prolong	147	5.399
normalcy	70	5.397
ang	84	5.396
pro-vaccine	35	5.396
untested	73	5.395
miq	35	5.392
explainer	46	5.389
cbse	58	5.371
bharat	88	5.369
wilfully	52	5.366
emails	60	5.357
lemming	53	5.341
sinopharm	34	5.325
disgrace	178	5.319
unproven	74	5.312
politicization	46	5.310
sneeze	109	5.310
jobkeeper	37	5.298
burr	120	5.287
tbadn	33	5.278
hypocrite	109	5.257
rochelle	76	5.255
hancock	176	5.251
stay	6711	5.242
ज	36	5.241
lancet	108	5.234
cbc	201	5.219
clown	228	5.218
blasio	62	5.216
crony	87	5.209
pre-exist	155	5.207
politicise	46	5.199
rubella	56	5.198
nurse	1754	5.196
armys	34	5.195
caseload	70	5.194
