Item	Frequency	Score
covid vaccine	5314	503.845
covid-19 vaccine	4607	320.342
covid case	2985	271.223
covid death	2779	270.703
vaccine mandate	2097	208.362
covid test	1946	185.906
covid patient	1863	176.987
vaccine passport	1709	172.958
natural immunity	1497	140.063
covid-19 vaccination	1382	136.126
mask mandate	1380	126.009
delta variant	1175	119.335
booster shot	1232	117.239
vaccinated people	1026	102.964
long covid	987	99.726
covid vaccination	983	99.537
covid-19 case	1856	98.216
panic buying	870	83.314
unvaccinated people	787	79.158
vaccination rate	854	73.336
vaccine dose	736	69.442
covid restriction	736	69.118
covid passport	635	64.978
global pandemic	963	62.959
covid infection	617	61.512
new case	1767	57.982
icu bed	612	57.909
covid shot	541	55.503
active case	712	54.061
covid jab	504	51.750
covid pandemic	552	50.548
joe rogan	513	50.176
covid-19 death	560	50.141
president biden	481	48.575
healthcare worker	844	48.395
covid protocol	446	45.045
covid-19 patient	623	44.969
biden administration	495	44.613
covid booster	431	44.446
covid testing	442	43.973
wearing mask	579	43.379
covid outbreak	427	43.042
social distancing	1549	42.688
getting covid	408	42.067
pandemic response	447	41.408
covid number	393	40.193
wuhan lab	380	39.010
covid response	386	38.932
coronavirus vaccine	438	38.603
new death	434	38.535
pcr test	414	38.217
panic buy	375	38.063
herd immunity	455	38.050
vaccination status	375	36.857
middle of a pandemic	362	36.276
proof of vaccination	355	36.146
covid hospitalization	346	35.747
covid-19 booster	343	35.571
stay home	383	35.196
covid-19 test	426	34.724
vaccine booster	326	33.618
deadly pandemic	329	33.217
covid relief	323	32.748
covid vax	313	32.547
covid crisis	337	32.082
death rate	789	32.022
corona virus	377	31.934
covid symptom	311	31.687
covid-19 infection	390	31.419
covid treatment	302	31.290
covid policy	301	31.190
start of the pandemic	328	31.114
breakthrough case	299	31.075
covid-19 pandemic	1562	30.482
horse dewormer	292	30.422
pfizer vaccine	286	28.930
ron desantis	280	28.622
first dose	344	28.233
second dose	308	27.856
rapid test	302	27.423
covid rule	263	27.171
mrna vaccine	265	26.945
covid surge	258	26.864
vaccine requirement	261	26.826
positivity rate	295	26.659
spike protein	271	26.434
monoclonal antibody	498	26.065
big pharma	382	25.941
people die	318	25.913
new variant	296	25.678
health care worker	440	25.640
negative test	282	25.275
covid-19 vaccine mandate	239	25.085
death toll	711	24.884
covid vaccine mandate	231	24.285
covid situation	236	24.122
covid variant	229	24.083
covid lockdown	232	23.702
covid spread	226	23.627
covid rate	224	23.485
antibody treatment	231	23.473
nicki minaj	276	23.315
social distance	325	23.159
case rate	235	23.092
coronavirus case	337	23.018
covid mandate	217	22.866
real pandemic	215	22.584
total case	243	22.583
covid denier	213	22.434
care worker	522	22.426
anti vaxxer	212	22.295
n95 mask	233	22.173
covid misinformation	210	22.149
positive case	308	22.108
fourth wave	219	22.035
wuhan institute	210	21.765
breakthrough infection	203	21.367
vaccine card	202	21.339
vaccination card	204	21.296
super spreader	200	20.812
cdc director	201	20.747
excess death	218	20.699
vaccine hesitancy	203	20.653
spanish flu	233	20.419
covid-19 outbreak	300	20.386
joe biden	432	20.368
health minister	299	20.294
covid virus	192	20.017
religious exemption	217	19.761
jason kenney	193	19.705
booster dose	197	19.657
beginning of the pandemic	189	19.010
early treatment	224	19.000
gain of function	184	18.991
total death	205	18.984
health official	486	18.889
underlying health	207	18.851
covid-19 booster shot	177	18.841
flu shot	298	18.778
health measure	227	18.771
covid-19 testing	222	18.767
case number	280	18.761
entire pandemic	176	18.675
hospital bed	345	18.636
daily case	189	18.625
covid wave	174	18.471
vaccine rollout	175	18.399
severe disease	215	18.302
covid measure	173	18.300
cases today	177	18.139
covid ward	170	18.056
pfizer booster	168	17.935
covid time	172	17.923
spreading covid	168	17.919
flu pandemic	208	17.895
covid-19 restriction	218	17.891
mask wear	178	17.671
essential worker	202	17.608
public health measure	190	17.593
vaccinated person	166	17.493
deadly virus	200	17.460
underlying condition	207	17.373
new coronavirus	212	17.323
survival rate	397	17.302
mandatory vaccination	173	17.292
china virus	164	17.267
infection rate	256	17.192
vaccination drive	163	17.164
red state	223	17.064
frontline worker	191	17.028
covid death rate	159	17.000
positive test	247	16.991
covid-19 update	184	16.923
covid safety	161	16.867
catching covid	156	16.710
underlying health condition	168	16.537
covid-19 hospitalization	157	16.496
close contact	346	16.355
boris johnson	284	16.238
delta outbreak	150	16.121
covid-19 protocol	160	16.095
daily death	156	15.921
vax rate	148	15.912
pre-pandemic level	155	15.883
face mask	382	15.865
driver shortage	154	15.851
biden admin	147	15.798
third dose	152	15.760
mu variant	146	15.717
common cold	219	15.677
severe illness	187	15.671
hgv driver	151	15.633
monoclonal antibody treatment	146	15.618
surgical mask	177	15.600
fuel shortage	163	15.508
covid19 vaccine	144	15.470
contact tracing	189	15.389
other vaccine	157	15.195
covid update	142	15.137
covid-19 surge	142	15.026
hospital system	195	15.010
covid booster shot	138	14.911
covid visualization	138	14.911
covid-19 thanks	138	14.903
vaccine shot	140	14.895
vaccine certificate	138	14.879
coronavirus death	149	14.875
mass vaccination	152	14.868
cloth mask	148	14.801
killing people	215	14.763
next pandemic	141	14.731
health crisis	288	14.719
long term effect	174	14.491
term effect	183	14.487
tucker carlson	150	14.382
negative covid test	132	14.296
whole pandemic	132	14.247
cdc study	136	14.229
vaccine clinic	134	14.222
namo app	131	14.154
covid risk	131	14.095
horse paste	130	14.091
first lockdown	134	13.980
fatality rate	174	13.975
booster jab	128	13.874
new covid	128	13.859
covid-19 vaccine booster	127	13.801
related death	157	13.778
health expert	234	13.710
unvaccinated person	127	13.682
flu season	190	13.630
donation camp	129	13.615
rapid testing	134	13.590
covid pass	125	13.587
conspiracy theorist	235	13.564
post covid	126	13.556
vaccination clinic	131	13.495
health worker	346	13.384
eviction moratorium	129	13.359
president joe biden	123	13.337
covid plan	122	13.259
sars-cov-2 infection	128	13.111
vax passport	120	13.097
viral load	225	13.091
wear mask	124	13.080
anti vax	120	13.075
candace owens	121	12.992
school mask	119	12.990
unemployment benefit	232	12.985
coronavirus act	121	12.955
pre covid	119	12.944
relief fund	153	12.917
moderna vaccine	120	12.896
third wave	158	12.878
deaths today	119	12.864
hospital admission	202	12.827
covid transmission	118	12.818
republican governor	162	12.742
empty shelf	123	12.712
mandatory vaccine	118	12.641
ongoing pandemic	126	12.612
covid-19 response	142	12.590
covid today	115	12.585
lab leak	114	12.483
petrol station	182	12.454
emergency use	139	12.411
vax mandate	113	12.391
covid yesterday	113	12.389
vaccination site	115	12.382
coronavirus pandemic	332	12.355
taking ivermectin	112	12.284
pandemic hit	122	12.239
healthcare system	322	12.222
covid hospital	112	12.218
