Item	Frequency	Score
covid vaccine	5186	427.622
delta variant	4815	422.581
covid case	4601	363.142
covid-19 vaccine	4434	268.152
covid death	2395	203.065
vaccinated people	2049	178.042
long covid	1728	151.272
covid test	1737	144.475
covid patient	1586	131.234
covid as weapon	1451	128.161
covid-19 case	2713	124.672
covid-19 vaccination	1351	115.836
mask mandate	1388	110.297
covid restriction	1264	102.744
unvaccinated people	1081	94.336
covid vaccination	1006	88.669
vaccine passport	951	84.189
vaccination rate	1074	80.103
new case	2770	78.904
dose2 capacity	883	78.384
dose1 capacity	883	78.384
min age limit	883	78.371
pcr test	860	68.297
freedom day	791	67.473
wearing mask	1040	67.330
vaccine dose	817	67.048
coronavirus case	1121	65.321
pin code	884	64.369
social distancing	2615	62.525
covid infection	710	61.537
herd immunity	786	56.737
global pandemic	992	56.451
third wave	817	55.235
wuhan lab	618	54.745
pmc p	610	54.459
covid passport	597	53.292
covid outbreak	567	49.538
boris johnson	969	47.089
covid pandemic	581	46.330
second dose	590	45.813
corona virus	622	45.450
new variant	608	45.199
covid variant	503	45.079
covid shot	500	44.793
covid-19 death	574	44.776
positivity rate	559	43.356
military dictatorship	704	42.971
coronavirus vaccine	556	42.514
vaccine rollout	477	42.247
new death	544	41.916
new coronavirus	606	41.900
active case	625	41.432
covid-19 infection	585	40.736
covid jab	452	40.569
natural immunity	488	40.355
stay home	504	40.138
new coronavirus case	481	40.039
vaccination status	469	39.991
covid-19 patient	632	39.743
covid crisis	469	38.624
breakthrough case	417	37.466
biden administration	473	37.210
covid rule	412	36.648
getting covid	397	35.740
covid number	399	35.592
first dose	501	35.536
covid protocol	399	35.252
vaccine mandate	392	34.684
covid situation	394	34.572
daily case	412	34.465
president biden	381	33.756
breakthrough infection	372	33.451
booster shot	393	33.190
social distance	524	32.187
covid response	365	32.179
covid surge	356	32.027
covid relief	358	31.591
face mask	886	31.582
covid wave	349	31.468
super spreader	347	30.891
start of the pandemic	372	30.692
mrna vaccine	345	30.369
killing people	508	29.640
covid-19 pandemic	1742	29.560
healthcare worker	588	29.533
covid lockdown	334	29.421
mask wear	348	29.382
tokyo olympics	365	29.259
covid-19 test	410	29.183
pandemic response	352	28.632
positive case	449	27.835
cases today	312	27.285
covid testing	311	27.274
deadly pandemic	308	27.216
middle of a pandemic	309	27.169
pfizer vaccine	308	27.147
scott morrison	334	26.804
covid-19 outbreak	444	26.043
covid vax	279	25.447
covid virus	281	25.201
vaccine hesitancy	287	25.164
covid misinformation	273	24.903
covid-19 restriction	351	24.731
infection rate	427	24.641
death toll	802	24.409
covid rate	267	24.300
lockdown restriction	293	23.883
hard lockdown	262	23.783
people die	333	23.661
spike protein	277	23.594
biden admin	255	23.317
cases surge	260	23.278
texas democrats	259	23.153
low vaccination	256	23.079
lab leak	252	23.068
health secretary	313	23.053
second wave	486	23.045
cases rise	258	23.013
covid symptom	256	22.954
covid hospitalization	250	22.826
death rate	630	22.351
health official	659	22.199
wear mask	250	22.196
indoor mask	240	22.012
ron desantis	244	21.921
case number	372	21.570
vaccinated person	238	21.561
mask guidance	235	21.561
one-day increase	235	21.497
sajid javid	249	21.494
pandemic situation	246	21.490
covid spread	233	21.280
essential worker	280	21.050
proof of vaccination	230	20.789
variant spread	224	20.619
exposure site	226	20.602
positive test	344	20.435
china virus	222	20.146
vaccinated individual	221	20.071
cdc guidance	223	19.798
sydney lockdown	212	19.578
beginning of the pandemic	223	19.476
covid denier	211	19.459
covid ward	207	19.056
private student	246	19.017
new covid	206	18.993
emergency use	249	18.867
covid policy	204	18.786
gain of function	209	18.766
n95 mask	221	18.443
anti-lockdown protest	200	18.373
new infection	271	18.284
low vaccination rate	198	18.163
coronavirus infection	238	18.053
delta strain	194	17.988
excess death	216	17.955
self isolate	199	17.927
cdc director	198	17.908
covid-19 variant	193	17.907
eviction moratorium	202	17.841
health minister	296	17.557
confirmed case	363	17.552
nhs staff	243	17.370
viral load	346	17.316
red state	260	17.286
vaccine clinic	189	17.217
post covid	187	17.203
daily death	194	17.136
tucker carlson	207	17.076
hospital admission	313	17.071
real pandemic	184	17.058
big pharma	285	17.057
severe illness	235	17.048
lack of oxygen	232	17.042
covid time	184	16.737
kanwar yatra	179	16.651
full lockdown	183	16.618
covid-19 update	207	16.571
corona warrior	178	16.527
covid risk	178	16.470
joe biden	398	16.405
new covid case	176	16.401
care worker	436	16.399
whole pandemic	176	16.356
vaccine death	175	16.293
southern border	326	16.290
offline exam	175	16.289
case rate	187	16.263
total case	198	16.256
anti lockdown	173	16.149
covid update	175	16.147
vaccination centre	172	15.936
first lockdown	177	15.911
nsw health	187	15.877
new mask	179	15.840
related death	209	15.817
covid-19 shot	169	15.767
vaccination clinic	177	15.686
covid19 vaccine	168	15.677
health measure	213	15.458
covid-19 delta variant	162	15.197
covid-19 vaccine dose	162	15.156
covid positive	162	15.114
sac terrorist	161	15.110
military junta	212	15.091
health care worker	292	15.032
pandemic time	163	15.004
public health measure	183	14.873
lockdown rule	164	14.816
fox news	635	14.814
cdc guideline	180	14.804
purple balloon	158	14.740
covid-19 situation	181	14.676
mass infection	157	14.642
experimental vaccine	162	14.359
oxygen shortage	153	14.327
marjorie taylor greene	152	14.277
chinese virus	154	14.214
mandatory vaccination	161	14.169
coronavirus restriction	167	14.105
negative test	175	14.031
empty shelf	157	14.003
healthy people	252	13.995
coronavirus variant	148	13.965
frontline worker	178	13.956
covid pass	147	13.869
lambda variant	146	13.791
covid-19 virus	180	13.753
unvaccinated folk	145	13.706
close contact	329	13.599
conspiracy theorist	271	13.598
long term effect	187	13.591
covid treatment	144	13.553
contact tracing	190	13.546
covid-19 surge	146	13.536
state of emergency	329	13.528
variant case	143	13.515
cdc datum	147	13.460
spreading covid	142	13.432
pandemic hit	155	13.422
common cold	214	13.421
health ministry	225	13.406
icu bed	154	13.390
covid-19 hospitalization	144	13.353
deadly virus	173	13.334
term effect	191	13.215
mass vaccination	154	13.204
wuhan institute	142	13.199
appropriate behaviour	148	13.142
face covering	223	13.141
entire pandemic	139	13.135
recovery rate	185	13.132
local case	148	13.041
panic buying	147	13.040
fourth wave	144	13.005
lateral flow	147	12.988
covid hospital	137	12.930
severe disease	171	12.904
vaccination drive	138	12.893
rising case	142	12.872
myanmar people	137	12.870
health worker	381	12.829
health expert	251	12.823
oxygen tank	160	12.791
covid-19 crisis	238	12.784
pre-pandemic level	141	12.761
fear mongering	154	12.756
mild symptom	157	12.740
coronavirus pandemic	394	12.735
spreader event	134	12.680
vaccine supply	140	12.670
cases yesterday	134	12.636
total death	153	12.626
covid-19 relief	144	12.545
survival rate	327	12.510
delta outbreak	131	12.480
covid spike	131	12.440
people get	229	12.402
oxygen supply	158	12.363
astrazeneca vaccine	130	12.309
respiratory virus	144	12.306
health advice	161	12.246
test positivity	132	12.220
post pandemic	129	12.210
travel restriction	198	12.201
time of pandemic	130	12.143
covid-19 protocol	136	12.139
vaccine misinformation	128	12.130
covid datum	127	12.093
saving life	215	12.091
catching covid	126	12.031
adverse reaction	267	12.018
vax rate	125	11.949
vaccination site	127	11.927
vaccine appointment	124	11.843
lockdown regulation	125	11.827
pre covid	124	11.820
third dose	128	11.796
positive covid	123	11.759
hotel quarantine	127	11.738
chris whitty	123	11.738
flu season	186	11.701
anti-coup strike	122	11.692
pandemic era	123	11.666
flow test	129	11.626
covid delta	121	11.604
junta terrorist	121	11.604
sars-cov-2 infection	129	11.604
