Item	Frequency	Score
covid	99949	78.647
pandemic	55913	38.911
covid-19	51397	33.075
lockdown	35542	28.416
coronavirus	23598	17.877
mask	17958	13.249
vaccine	16137	12.184
trump	20627	11.251
deaths	14153	9.949
virus	12782	8.892
cases	24795	8.829
wear	13096	7.957
biden	9158	7.869
masks	8581	7.335
corona	7657	7.041
ðÿ	7040	6.708
stay	14814	6.145
distancing	5634	5.345
covid19	5024	5.056
positive	10020	4.675
thanksgiving	5022	4.602
tested	6275	4.498
spread	7412	4.452
americans	7038	4.327
restrictions	5401	4.314
election	8129	4.272
flu	4057	3.905
please	13860	3.861
safe	7679	3.756
cdc	3535	3.640
people	46360	3.407
vaccines	3286	3.399
vote	5693	3.347
died	6977	3.282
lockdowns	2788	3.240
fuck	3231	3.221
wearing	4050	3.217
shit	3322	3.189
testing	5682	3.180
outbreak	3004	3.095
fucking	3045	3.091
dying	3285	3.076
stop	7678	3.075
govt	2648	3.044
tests	4472	3.041
die	4399	3.041
via	7458	3.039
sick	3596	3.039
hospitals	3441	3.030
lives	6979	3.029
today	12320	3.022
everyone	7601	2.925
lock	3168	2.901
ca	10038	2.883
test	7807	2.832
pfizer	2228	2.763
health	15672	2.756
relief	3518	2.746
icu	2215	2.740
home	17346	2.728
infections	2601	2.725
workers	5333	2.712
hospital	5320	2.706
why	13721	2.705
during	20642	2.705
infected	2520	2.701
thank	5152	2.689
crisis	3988	2.686
surge	2365	2.678
due	9458	2.677
quarantine	2201	2.677
christmas	4059	2.667
fauci	1993	2.608
u	3176	2.565
tweet	2121	2.543
breaking	2829	2.540
economy	4580	2.538
â	2365	2.535
ppl	1924	2.516
joe	3093	2.507
gonna	2440	2.500
news	8378	2.492
wo	4728	2.486
healthcare	3125	2.480
wave	2898	2.460
going	13659	2.440
gop	2001	2.415
w	3120	2.387
patients	5523	2.371
gatherings	1826	2.365
spreading	2046	2.358
protect	3800	2.356
boris	1793	2.354
yesterday	2838	2.349
amid	2006	2.339
months	6967	2.333
weeks	5025	2.323
care	9595	2.321
voted	2287	2.308
worse	2946	2.301
infection	2351	2.297
country	8649	2.293
millions	2639	2.286
doctors	2490	2.286
let	8280	2.285
numbers	4389	2.278
deadly	1947	2.276
hospitalizations	1600	2.276
businesses	3683	2.275
death	6447	2.274
us	23811	2.273
shut	2299	2.263
damn	1978	2.255
nhs	1978	2.253
lost	5463	2.251
republicans	2118	2.250
uk	5114	2.245
now	25753	2.240
lol	2032	2.220
response	5018	2.209
tomorrow	2221	2.175
donald	2052	2.171
rt	1598	2.167
worst	2414	2.166
hoax	1502	2.164
do	46510	2.161
votes	2127	2.156
voting	2123	2.138
get	23561	2.136
nov	1803	2.133
social	8693	2.125
fight	3516	2.123
literally	2096	2.118
stupid	1934	2.117
symptoms	2453	2.117
week	7715	2.116
need	16312	2.108
getting	6442	2.104
y	2249	2.085
rallies	1427	2.084
measures	2939	2.078
epidemic	1503	2.061
we	74831	2.057
watch	3842	2.056
go	13608	2.055
schools	4311	2.053
million	6813	2.052
keep	7813	2.047
seriously	2232	2.041
immunity	1472	2.034
wait	2970	2.029
daily	3948	2.028
brexit	1508	2.021
bc	1788	2.021
hope	4940	2.018
days	8478	2.017
doing	6197	2.016
just	28069	2.012
says	8063	2.004
gov	1286	2.000
ballots	1364	2.000
recovered	1602	1.995
sad	1857	1.994
twitter	2032	1.991
president	6641	1.988
thread	2085	1.985
risk	4912	1.977
dead	3245	1.976
thousands	2691	1.975
nurses	1578	1.970
confirmed	2172	1.968
got	8320	1.964
senate	2183	1.963
tier	1443	1.958
ï	1229	1.954
democrats	1777	1.951
recovery	2345	1.946
still	13617	1.940
governor	2136	1.938
how	25418	1.931
anyone	4421	1.931
retweet	1149	1.926
stimulus	1315	1.925
update	2818	1.921
cuomo	1171	1.917
china	3833	1.916
fake	1533	1.916
ass	1472	1.911
save	3299	1.895
folks	1817	1.890
listen	2161	1.890
government	9448	1.887
president-elect	1132	1.883
rate	4329	1.874
toll	1343	1.874
kids	3178	1.870
ppe	1110	1.869
pls	1107	1.868
no	28091	1.868
day	14387	1.867
tonight	1656	1.867
delhi	1463	1.864
oh	2837	1.859
america	4030	1.856
hey	1715	1.854
families	3246	1.853
fraud	1551	1.844
voters	1657	1.839
wash	1454	1.837
remember	3700	1.834
rise	2446	1.827
help	11911	1.826
someone	4572	1.825
dems	1072	1.822
hospitalized	1069	1.819
reminder	1248	1.813
reported	3456	1.807
blame	1438	1.806
bad	4149	1.804
rules	3250	1.803
ð	984	1.794
experts	2122	1.791
nothing	4836	1.791
mandate	1229	1.788
follow	3306	1.787
latest	3100	1.786
killing	1690	1.784
because	17054	1.783
yes	3872	1.783
spike	1193	1.776
saying	3263	1.775
mail	1837	1.767
struggling	1364	1.765
loved	2126	1.762
holidays	1364	1.759
hate	1666	1.759
mental	2369	1.757
holiday	2070	1.754
happening	1654	1.753
ok	1909	1.745
yeah	1784	1.743
here	14457	1.742
restaurants	1585	1.736
forget	1782	1.734
know	13316	1.730
beds	1251	1.730
our	31855	1.730
my	34083	1.729
thanks	3810	1.727
positivity	928	1.726
loeffler	894	1.722
vulnerable	1399	1.721
pcr	958	1.721
georgia	1544	1.721
wanna	1046	1.720
absolutely	1866	1.719
unemployment	1229	1.715
want	10077	1.715
trying	3971	1.714
again	8042	1.713
rising	1653	1.709
tory	951	1.705
travel	3119	1.703
lies	1682	1.701
down	11270	1.699
moderna	864	1.696
wow	1251	1.695
selfish	965	1.693
wuhan	879	1.692
sorry	1731	1.689
imagine	1807	1.689
guidelines	1650	1.687
precautions	943	1.686
november	4015	1.685
celebrate	1394	1.683
negative	2041	1.675
nurse	1276	1.674
friends	3907	1.673
global	4425	1.665
johnson	1634	1.665
tracing	917	1.660
kill	1814	1.660
dakota	1027	1.659
live	5239	1.656
pay	3963	1.656
zero	1547	1.656
hit	2966	1.654
hell	1567	1.654
supporters	1264	1.654
sars-cov-2	821	1.653
happy	2859	1.651
jobs	2352	1.650
tell	3873	1.643
so	34797	1.643
homes	2049	1.641
you	96269	1.639
conspiracy	1036	1.634
job	4565	1.633
nation	2075	1.632
fighting	1734	1.632
republican	1502	1.629
total	3957	1.628
dont	1265	1.627
curfew	800	1.625
emergency	1978	1.622
say	7641	1.618
voter	937	1.612
distance	2136	1.612
mcconnell	801	1.610
isolation	1002	1.610
dangerous	1585	1.608
think	10511	1.608
transition	1489	1.608
this	92156	1.607
politicians	1192	1.607
wants	2244	1.604
transmission	1385	1.599
plasma	964	1.599
disease	2666	1.597
highest	2013	1.595
really	8942	1.594
asymptomatic	758	1.594
counting	972	1.591
coming	3638	1.591
staff	4073	1.591
effective	2918	1.590
did	14933	1.590
thing	5300	1.589
immune	1096	1.589
scientists	1646	1.587
join	2410	1.586
me	17928	1.585
officials	2058	1.585
im	1197	1.583
record	3566	1.580
cancelled	918	1.577
ones	2573	1.575
ur	797	1.574
pm	2316	1.574
wh	739	1.573
idiots	765	1.571
lying	1107	1.571
hands	2674	1.569
donate	889	1.568
cancel	889	1.568
protocols	935	1.567
guys	1825	1.565
maybe	3133	1.564
normal	2393	1.564
closed	2042	1.561
continue	3703	1.561
crazy	1207	1.561
telling	1456	1.559
mom	1189	1.558
alberta	878	1.558
joke	944	1.558
refuse	968	1.557
nursing	1272	1.557
excuse	961	1.556
worried	1063	1.553
idiot	783	1.552
indoor	988	1.551
family	7446	1.549
cares	864	1.548
protest	1105	1.547
frontline	735	1.547
money	5079	1.545
elderly	954	1.544
suffering	1321	1.544
bullshit	737	1.544
perdue	681	1.543
birthday	1174	1.543
about	32566	1.543
vaccination	784	1.542
panic	880	1.541
deserve	938	1.539
wrong	2566	1.536
failed	1787	1.535
citizens	1657	1.533
every	8448	1.530
talking	2106	1.529
dumb	795	1.529
thankful	766	1.529
friday	2200	1.528
shame	956	1.527
guess	1667	1.525
governors	769	1.523
staying	1053	1.523
asking	1569	1.521
lie	1173	1.518
paso	692	1.518
done	4951	1.516
midst	822	1.513
middle	2725	1.513
yourself	2281	1.513
winter	1964	1.512
public	8118	1.508
hard	4226	1.508
wake	1065	1.506
gone	2091	1.506
nobody	1142	1.506
fear	1818	1.506
ya	852	1.505
mandatory	894	1.505
herd	741	1.504
face	3811	1.501
soon	3221	1.500
mink	633	1.499
scared	826	1.497
outbreaks	680	1.497
happen	1988	1.497
take	10641	1.496
cure	900	1.495
ontario	1054	1.495
exposed	1191	1.494
believe	3805	1.493
gyms	631	1.493
should	13943	1.492
tired	994	1.491
calling	1594	1.490
lied	688	1.488
survive	1060	1.485
ignore	950	1.484
hear	2334	1.484
who	30243	1.483
spreader	606	1.483
losing	1244	1.479
proud	1267	1.476
briefing	716	1.476
killed	1904	1.476
mps	735	1.474
dear	1151	1.472
massive	1397	1.472
mandates	649	1.471
what	27177	1.470
seeing	1831	1.470
isolate	651	1.468
out	26194	1.468
like	21724	1.468
does	11559	1.467
never	6917	1.467
ever	4534	1.466
lmao	583	1.464
false	1329	1.463
guy	1785	1.462
misinformation	612	1.461
zoom	761	1.459
anymore	991	1.459
real	4915	1.458
indoors	652	1.458
right	9610	1.457
trudeau	596	1.456
usa	1614	1.455
corrupt	751	1.455
infectious	714	1.451
dad	1017	1.451
raging	613	1.450
everything	3480	1.450
protests	831	1.449
count	1422	1.449
wtf	586	1.448
democracy	1119	1.448
waiting	1548	1.446
safety	2919	1.445
affected	1417	1.444
anti-lockdown	547	1.444
all	40535	1.443
mitch	606	1.443
racist	733	1.443
honestly	806	1.443
monday	1748	1.443
anti	649	1.443
trace	819	1.442
reports	2452	1.442
wonder	1416	1.442
racism	768	1.441
bars	989	1.439
info	1309	1.438
cnn	687	1.437
sir	1342	1.437
nyc	695	1.437
i	103643	1.436
despite	2528	1.436
s	3524	1.436
medical	3518	1.435
ve	592	1.435
omg	585	1.435
if	34366	1.435
in-person	611	1.435
tweets	631	1.434
task	1666	1.434
shutdown	628	1.433
miss	1554	1.432
urgent	755	1.430
incompetence	567	1.430
sweden	785	1.429
patient	1835	1.425
since	8826	1.425
super	1455	1.422
close	3564	1.421
too	7962	1.421
suicide	915	1.420
halloween	689	1.420
pray	850	1.419
lose	1412	1.419
ignoring	668	1.419
have	62128	1.419
doses	652	1.418
england	2047	1.418
administration	2036	1.417
contracted	636	1.416
agree	1659	1.416
bs	625	1.415
curve	800	1.414
pence	557	1.412
okay	1044	1.412
month	2982	1.412
healthy	1640	1.411
handling	1029	1.410
media	3928	1.408
dies	716	1.407
reset	681	1.407
plan	4131	1.406
mortality	737	1.406
rally	788	1.405
mp	745	1.403
warns	588	1.403
already	4621	1.402
xmas	525	1.402
disgusting	555	1.399
weekend	1488	1.397
safely	807	1.397
dr	1256	1.397
mail-in	499	1.396
yet	4662	1.396
listening	1040	1.396
diwali	504	1.395
incompetent	536	1.395
refusing	614	1.394
surging	513	1.394
fda	695	1.393
amazing	1572	1.393
post-covid	487	1.393
essential	1623	1.393
celebrating	708	1.392
watching	1357	1.391
flatten	500	1.390
situation	2232	1.390
gathering	861	1.390
overwhelmed	589	1.389
impacted	635	1.388
leadership	1889	1.388
exams	645	1.387
glad	971	1.387
year	11691	1.387
leaders	2024	1.386
ridiculous	661	1.385
canceled	556	1.385
trumps	498	1.385
virtual	1302	1.384
orders	1251	1.384
vaccinated	508	1.384
mean	2835	1.384
catch	1145	1.383
minister	2089	1.382
updates	1037	1.381
cant	651	1.381
pre-covid	472	1.381
elect	587	1.380
furlough	481	1.379
crowds	604	1.379
irresponsible	519	1.378
avoid	1820	1.378
insane	600	1.378
locked	762	1.378
economic	3020	1.378
alone	1939	1.377
corruption	817	1.377
are	79106	1.375
impact	2693	1.375
happened	1735	1.374
facing	1137	1.373
democrat	651	1.371
they	44827	1.370
ill	827	1.370
putting	1326	1.369
ignored	749	1.369
huge	1985	1.369
alert	775	1.369
grateful	730	1.368
science	3494	1.368
else	2510	1.367
not	55576	1.366
your	34600	1.366
party	3654	1.365
fucked	504	1.364
vs	797	1.364
gotta	580	1.363
new	26188	1.362
polls	617	1.362
needs	3988	1.361
texas	1563	1.361
open	5193	1.361
win	2344	1.360
nationwide	684	1.360
insider	535	1.360
tweeting	465	1.360
meanwhile	1043	1.359
viruses	582	1.359
reopen	496	1.358
congratulations	613	1.358
support	7326	1.358
warp	500	1.358
etc	1025	1.357
doctor	1407	1.357
kelly	744	1.355
freedom	1556	1.355
rapid	948	1.355
over	16514	1.355
last	9273	1.354
disappear	592	1.354
pathetic	503	1.353
biggest	1337	1.353
nonsense	565	1.353
give	5140	1.353
tories	474	1.353
n95	440	1.352
has	40900	1.352
thinks	878	1.350
viral	594	1.349
announces	593	1.349
anything	3216	1.348
efficacy	574	1.347
protecting	772	1.346
ahead	1551	1.346
antibodies	515	1.346
check	2811	1.345
mass	1603	1.345
told	3476	1.344
bitch	507	1.343
taking	3353	1.343
till	929	1.342
positives	459	1.342
ai	912	1.342
forced	1360	1.341
keeping	1416	1.341
sign	1761	1.340
canadians	548	1.340
terrible	785	1.339
read	5377	1.339
closing	882	1.338
failure	1342	1.337
ji	451	1.336
meadows	504	1.336
call	4020	1.336
caused	1603	1.336
ny	778	1.336
pneumonia	474	1.336
cuz	455	1.336
morning	2243	1.336
rent	833	1.335
recession	575	1.335
gets	1998	1.335
residents	1473	1.334
serious	1754	1.333
hopefully	865	1.333
devastating	564	1.333
rn	480	1.333
worry	941	1.331
biontech	410	1.331
politics	1293	1.331
golfing	431	1.331
ago	3007	1.331
tho	470	1.330
sadly	653	1.330
stats	573	1.329
illness	831	1.329
senators	549	1.328
rates	1800	1.328
dem	450	1.328
unemployed	501	1.328
modi	472	1.327
el	839	1.327
continues	1484	1.327
pre	538	1.326
counties	713	1.326
dude	508	1.325
prevent	1576	1.325
ban	777	1.324
contagious	437	1.324
prayers	606	1.323
trials	837	1.323
counted	568	1.322
afford	765	1.322
sa	546	1.321
scotland	938	1.320
against	7113	1.319
bro	441	1.319
wish	1614	1.318
golf	980	1.318
denmark	546	1.318
newsom	405	1.318
michigan	951	1.317
hi	1058	1.316
person	3935	1.315
blm	421	1.315
yall	395	1.315
pelosi	425	1.313
stay-at-home	400	1.313
refuses	507	1.313
loser	434	1.313
scary	545	1.312
reporting	1174	1.312
reopening	426	1.312
catching	553	1.311
scam	480	1.311
back	10866	1.309
kills	537	1.309
treat	1038	1.309
slow	1210	1.308
kenney	393	1.308
announce	659	1.308
ballot	577	1.307
recoveries	393	1.305
disaster	823	1.304
surges	395	1.302
non	697	1.301
tough	911	1.301
being	11653	1.300
hundreds	1098	1.299
recover	663	1.298
propaganda	557	1.298
working	5220	1.298
sucks	448	1.298
ga	487	1.297
maga	371	1.296
diagnosed	586	1.296
everywhere	786	1.295
pass	1722	1.295
msm	400	1.294
anxiety	713	1.294
premier	746	1.293
violence	1381	1.291
shutting	413	1.291
postponed	429	1.291
cause	2496	1.291
heartbreaking	389	1.291
put	4848	1.290
away	4796	1.289
eviction	394	1.288
helping	1343	1.288
worker	746	1.288
idk	368	1.287
bts	370	1.287
blaming	411	1.287
dec	620	1.286
survival	768	1.286
respiratory	501	1.285
webinar	479	1.285
bless	480	1.282
population	2165	1.282
cough	428	1.281
heroes	597	1.281
allowed	1808	1.280
jail	626	1.280
mayor	852	1.280
fault	683	1.280
mad	619	1.280
caring	583	1.279
smh	350	1.279
antibody	421	1.279
er	494	1.279
thru	453	1.278
dealing	883	1.278
socially	484	1.278
billions	491	1.278
share	2785	1.277
weird	638	1.277
stupidity	384	1.277
actually	3583	1.276
plz	356	1.276
facts	1033	1.275
concede	371	1.273
next	5999	1.273
campaign	1880	1.273
even	11900	1.272
georgians	344	1.272
infect	369	1.272
than	17471	1.271
spreads	416	1.271
countries	2582	1.271
useless	496	1.270
horrible	523	1.269
livelihoods	378	1.269
followers	563	1.269
mess	593	1.269
paying	920	1.268
strict	565	1.268
homeless	541	1.268
more	31568	1.268
shocking	443	1.267
thursday	1248	1.267
break	1592	1.266
yr	392	1.265
unprecedented	506	1.265
feel	3659	1.264
quarantining	328	1.264
dm	390	1.264
grocery	484	1.264
harris	589	1.263
warn	438	1.263
sure	4148	1.262
poll	573	1.262
post-pandemic	325	1.262
app	1316	1.261
amidst	405	1.261
âtm	322	1.261
astrazeneca	331	1.261
bills	692	1.261
poverty	801	1.260
hancock	372	1.260
elections	878	1.260
statewide	447	1.260
entire	2072	1.260
fatigue	465	1.259
enforce	460	1.259
btw	434	1.259
ignorant	431	1.259
busy	904	1.259
mum	447	1.258
influenza	399	1.258
pushing	646	1.258
pubs	389	1.258
protesting	374	1.258
cummings	349	1.258
maskless	318	1.258
partying	337	1.257
risking	347	1.255
freedoms	386	1.255
moron	332	1.254
yrs	371	1.254
ventilator	327	1.253
afraid	705	1.253
protesters	451	1.252
deniers	321	1.252
kamala	323	1.252
better	5630	1.252
announced	1774	1.251
guidance	970	1.251
force	2436	1.251
ready	1787	1.250
asap	357	1.250
reality	1430	1.249
enough	3931	1.249
supposed	944	1.249
adviser	444	1.249
handled	538	1.248
yep	380	1.248
superspreader	306	1.248
ffs	314	1.248
bubble	467	1.247
advice	1456	1.247
cult	461	1.247
contracting	415	1.247
disinformation	329	1.247
india	1936	1.246
humanity	644	1.245
announcement	649	1.245
saving	730	1.245
dolly	347	1.245
severe	865	1.244
exactly	1482	1.244
constituents	381	1.244
hopkins	423	1.244
potus	307	1.243
quarantined	311	1.243
presidency	445	1.243
destroy	656	1.243
everyday	703	1.242
talk	2295	1.241
shopping	921	1.241
curb	385	1.241
delayed	505	1.240
understand	2653	1.240
instead	2858	1.240
nfl	515	1.239
hypocrisy	344	1.239
liverpool	517	1.239
nearly	1813	1.239
disgrace	331	1.238
wins	700	1.238
start	4035	1.238
awful	469	1.236
praying	394	1.236
thats	472	1.236
household	710	1.236
threat	957	1.235
governments	884	1.235
atlas	403	1.235
ðÿtm	290	1.235
grandma	341	1.235
totally	924	1.235
love	4905	1.235
figures	1033	1.234
pharma	346	1.234
tally	341	1.234
g20	317	1.233
podcast	450	1.233
pandemics	296	1.233
agenda	737	1.232
deserves	447	1.232
vaccinations	319	1.232
single-day	288	1.231
admin	424	1.231
experiencing	538	1.230
alarming	346	1.230
pretending	345	1.230
ab	406	1.230
caught	1006	1.230
isolating	310	1.230
abt	302	1.229
liar	329	1.229
shameful	317	1.229
nah	308	1.229
tiers	314	1.228
denying	388	1.228
cages	318	1.228
prison	893	1.228
depression	700	1.228
petition	567	1.228
gym	471	1.228
nigeria	502	1.227
re-post	282	1.227
up	22089	1.227
ventilators	289	1.226
fatalities	326	1.226
doug	425	1.226
am	5869	1.226
borders	552	1.226
tf	308	1.225
à	320	1.225
gotten	584	1.225
asshole	310	1.225
harder	633	1.224
sage	389	1.224
gather	570	1.223
nope	325	1.223
been	22288	1.223
complications	435	1.223
r	1337	1.222
capacity	1393	1.222
self-isolate	277	1.222
crying	426	1.222
crap	417	1.222
tens	422	1.221
canada	1707	1.221
funny	745	1.220
debt	986	1.220
magically	303	1.220
carson	344	1.219
responsible	1491	1.219
ends	951	1.218
ravens	306	1.218
stopped	969	1.218
na	385	1.217
streets	835	1.217
missed	784	1.217
ccp	291	1.217
evicted	288	1.217
albertans	271	1.216
spending	1016	1.215
big	4218	1.215
closures	325	1.215
forever	699	1.214
plague	351	1.214
eat	1138	1.214
warned	522	1.214
bjp	345	1.214
