Item	Frequency	Score
covid vaccine	5743	453.015
covid-19 vaccine	6044	349.501
covid case	3813	288.118
covid patient	2591	204.594
covid death	2013	163.483
covid-19 vaccination	1629	133.482
covid-19 case	2628	115.581
vaccine passport	1316	111.139
covid test	1374	109.569
blood component	1400	108.085
covid crisis	1297	100.684
board exam	1381	97.650
corona virus	1325	91.781
covid situation	1078	88.925
second wave	1967	87.718
social distancing	3532	80.719
vaccine dose	940	73.712
covid vaccination	867	73.287
oxygen cylinder	901	71.943
coronavirus vaccine	898	65.229
vaccine rollout	762	64.049
stay home	847	63.996
global pandemic	1175	63.887
covid relief	766	63.649
icu bed	806	63.348
number of units	1075	62.141
covid restriction	794	62.115
blood group	910	61.177
wearing mask	974	60.406
active case	953	60.103
covid positive	703	59.618
new case	2101	57.348
vaccinated people	669	56.295
blood clot	1585	55.248
covid protocol	655	54.808
covid shot	637	54.379
covid passport	632	53.964
covid-19 patient	879	52.652
covid pandemic	681	51.847
first dose	765	51.550
patient name	634	51.451
coronavirus case	907	50.714
mask mandate	655	50.292
speedy recovery	754	50.217
vaccine appointment	588	50.198
pandemic situation	608	49.517
corona case	575	48.911
election rally	606	48.002
second dose	646	47.950
herd immunity	681	47.170
essential worker	650	45.747
covid hospital	525	44.754
plasma donor	521	43.996
pandemic response	561	43.187
kumbh mela	529	42.875
third wave	660	42.863
positivity rate	569	42.245
oxygen supply	588	41.888
covid infection	493	41.208
long covid	478	40.765
social distance	684	40.027
middle of a pandemic	475	39.504
covid surge	455	38.942
wear mask	463	38.582
offline exam	449	38.536
covid-19 death	513	38.413
oxygen bed	444	38.200
pm modi	557	37.356
doug ford	453	36.805
covid recovery	427	36.418
available appointment	435	36.211
new available appointment	419	36.132
covid wave	419	35.997
new death	483	35.736
hospital bed	793	35.154
covid-19 infection	525	35.087
boris johnson	750	35.013
covid-19 situation	464	34.732
covid variant	399	34.453
registration link	436	34.245
president biden	403	34.149
new availability	400	34.055
modi govt	392	33.213
super spreader	385	32.732
night curfew	387	32.728
positive case	552	32.619
oxygen level	595	32.510
vaccination site	382	32.478
covid-19 pandemic	1944	31.548
new variant	439	31.482
jandj vaccine	360	31.185
vaccination appointment	358	30.865
number of appt slots	354	30.682
appt slot	354	30.681
new coronavirus	459	30.577
covid response	359	30.338
covid resource	346	29.973
astrazeneca vaccine	343	29.559
covid-19 test	430	29.281
complete lockdown	342	29.044
covid bed	333	28.891
covid number	334	28.703
frontline worker	385	27.981
covid jab	321	27.885
death toll	945	27.474
covid rule	317	27.238
sick day	445	26.949
chinese virus	312	26.632
daily case	330	26.629
start of the pandemic	334	26.493
stay-at-home order	389	26.259
johnson vaccine	300	26.132
covid time	306	26.054
mrna vaccine	302	25.592
covid recovery patient	292	25.483
oxygen concentrator	320	25.448
recovery patient	292	25.431
covid spread	293	25.400
vaccination drive	295	25.341
covid19 case	289	25.099
covid testing	298	25.084
covid care	288	25.008
covid-19 variant	286	24.971
vaccine shot	290	24.951
total case	324	24.949
covid symptom	291	24.879
health minister	443	24.858
covid lockdown	293	24.850
oxygen shortage	285	24.756
new coronavirus case	305	24.655
covid19 vaccine	281	24.488
biden administration	320	24.394
stay safe	298	24.266
paid sick day	304	24.262
deadly pandemic	284	24.124
home order	297	23.981
cases today	283	23.806
ssrians help	270	23.639
covid treatment	270	23.524
covid-19 surge	273	23.441
humble request	276	23.397
covid hero	265	23.183
pfizer vaccine	270	22.925
pcr test	291	22.715
covid-19 restriction	334	22.586
appropriate behaviour	272	22.395
covid-19 vaccination appointment	253	22.213
covid outbreak	259	22.200
positive patient	282	22.054
covid denier	251	22.009
walgreen drug store	250	21.948
healthcare worker	453	21.917
rite aid	284	21.890
state govt	266	21.840
private hospital	413	21.746
lockdown restriction	276	21.612
students life	250	21.510
vaccine clinic	244	21.035
covid guideline	241	20.938
pandemic time	242	20.900
china virus	240	20.804
mass vaccination	259	20.692
medical oxygen	241	20.650
death rate	603	20.501
vaccine supply	241	20.249
face mask	589	20.234
oxygen plant	232	20.228
coronavirus variant	227	20.026
vaccine hesitancy	235	19.922
getting covid	224	19.753
covid virus	227	19.701
coronavirus pandemic	643	19.683
first lockdown	230	19.547
political rally	268	19.433
central govt	229	19.410
covid-19 crisis	383	19.367
gun violence	504	19.293
delhi govt	218	19.061
rare blood	227	18.983
covid management	214	18.902
modi ji	216	18.867
people die	275	18.859
vaccine today	213	18.793
vaccination rate	253	18.706
red list	242	18.592
johnson covid-19 vaccine	209	18.520
weekend lockdown	209	18.467
covid report	205	18.163
rahul gandhi	268	18.125
corona patient	205	18.113
covid warrior	204	18.046
vaccination centre	204	17.950
need plasma	202	17.935
coronavirus infection	247	17.931
full lockdown	206	17.822
moderna vaccine	200	17.498
recovered patient	201	17.370
n95 mask	216	17.305
health official	534	17.295
home isolation	199	17.265
contact number	341	17.249
shortage of oxygen	195	17.177
corona pandemic	198	17.116
ssc chsl	193	17.045
lockdown rule	198	16.964
vaccination clinic	201	16.960
covid-19 outbreak	298	16.957
increasing day	204	16.717
beginning of the pandemic	197	16.608
cases increase	192	16.587
infection rate	296	16.559
paid sick leave	222	16.473
excess death	206	16.462
covid-19 hate	183	16.342
cases surge	187	16.323
wuhan virus	186	16.149
mask wear	194	16.106
remdesivir injection	180	16.087
covid ward	180	16.021
wuhan lab	180	15.971
god kabir	178	15.925
covid centre	178	15.897
corona vaccine	177	15.785
covid-19 vaccine dose	176	15.714
hotel quarantine	180	15.573
vaccine distribution	181	15.509
may allah	205	15.460
indian variant	173	15.416
vaccine production	185	15.323
free vaccine	173	15.184
vaccination program	206	15.170
oxygen support	171	15.166
ventilator bed	167	14.992
emergency use	203	14.898
rare blood clot	165	14.833
covid vax	165	14.833
astrazeneca covid-19 vaccine	165	14.818
real pandemic	164	14.693
ssc chsl exam	164	14.692
confirmed case	315	14.663
covid-19 protocol	174	14.649
coronavirus death	176	14.631
strict lockdown	168	14.601
deadly virus	198	14.523
cdc guideline	184	14.498
covid-19 update	185	14.295
covid facility	158	14.234
west bengal	415	14.206
online exam	183	14.156
vaccine shortage	159	14.045
conducting exam	156	14.013
pandemic hit	169	13.962
covid-19 testing	193	13.793
health measure	197	13.769
helpline number	165	13.746
new strain	189	13.696
chsl exam	151	13.648
next pandemic	156	13.633
post covid	152	13.598
conspiracy theorist	283	13.586
covid cases	150	13.551
covid-19 shot	150	13.539
az vaccine	149	13.485
govt hospital	149	13.426
first wave	310	13.404
ppe kit	150	13.382
exam centre	154	13.235
total recovery	153	13.232
second shot	201	13.175
anti lockdown	145	13.148
public health measure	167	13.097
modi government	181	13.043
mild symptom	168	13.023
covid hotspot	144	13.022
health crisis	304	12.983
hospital name	145	12.961
covid-19 response	176	12.954
positive test	223	12.923
covid-19 virus	176	12.918
corona warrior	142	12.850
urgent help	150	12.789
ford government	146	12.764
urgent requirement	152	12.746
lack of oxygen	178	12.722
total death	161	12.705
case count	157	12.690
sick leave	316	12.667
vaccination programme	158	12.659
u r	191	12.615
covid contract	138	12.566
narendra modi	187	12.563
covid victim	138	12.537
whole pandemic	138	12.519
variant of concern	137	12.484
covid center	137	12.484
internal assessment	149	12.446
rising case	143	12.437
lockdown measure	158	12.432
handling of the pandemic	139	12.410
covid norm	136	12.393
entire pandemic	136	12.359
plz help	143	12.333
new infection	187	12.322
fake news	411	12.248
rapid test	155	12.207
health expert	249	12.199
covid rate	134	12.186
health infrastructure	154	12.110
health ministry	211	12.095
live update	168	12.070
pandemic end	134	12.070
anti-lockdown protest	133	12.050
dose of vaccine	140	12.027
case rate	141	11.993
american rescue	132	11.963
षक कब	130	11.900
covid risk	131	11.891
ted nugent	143	11.888
daily death	137	11.887
national lockdown	146	11.851
airborne transmission	134	11.818
saving life	219	11.799
covid status	129	11.791
covid-19 lockdown	154	11.775
urgent need	381	11.774
covid-19 vaccine appointment	128	11.732
african variant	128	11.708
health worker	361	11.664
covid-19 relief	139	11.656
vaccine card	127	11.636
coronavirus restriction	141	11.567
sant shri asharamji bapu	126	11.565
cdc director	129	11.530
related death	156	11.529
uk variant	126	11.520
covid update	127	11.514
covid safety	128	11.485
travel restriction	194	11.479
care home	383	11.473
lakh case	126	11.454
mass shooting	252	11.439
bed availability	126	11.359
south african variant	123	11.306
home quarantine	128	11.294
bill gates	261	11.217
covid care centre	122	11.190
time of pandemic	124	11.167
community pantry	121	11.088
experimental vaccine	128	11.086
american rescue plan	120	11.061
education minister	161	11.034
rescue plan	137	11.015
single day	466	11.012
big pharma	188	11.007
vaccination effort	122	10.966
enough vaccine	121	10.946
pandemic year	119	10.883
cases rise	121	10.864
loved one	918	10.863
online class	209	10.849
joe biden	271	10.846
covid19 pandemic	122	10.814
rite aid	117	10.810
tucker carlson	132	10.766
booster shot	125	10.752
cdc guidance	121	10.741
covid vaccine dose	116	10.725
corona situation	116	10.701
new covid	116	10.692
wave of the pandemic	119	10.684
covid help	115	10.639
oxygen tanker	115	10.637
mask outside	115	10.630
risk of blood	123	10.598
healthcare system	334	10.595
post lockdown	116	10.566
ve plasma	114	10.559
health emergency	199	10.555
international travel	203	10.553
number of cases	303	10.484
wave of corona	113	10.468
survival rate	284	10.466
other vaccine	126	10.444
spo2 level	113	10.426
relief bill	123	10.420
care worker	285	10.413
raging pandemic	113	10.399
safety protocol	156	10.392
nhs staff	147	10.382
critical condition	192	10.369
postal code	169	10.352
tough time	304	10.351
bharat biotech	113	10.348
covid emergency	112	10.332
corona crisis	115	10.289
cremation ground	116	10.272
case in the country	117	10.243
health care worker	203	10.188
ongoing pandemic	119	10.105
spike protein	117	10.091
dr fauci	109	10.073
essential service	217	10.056
recovery rate	145	10.038
mass testing	113	10.015
healthy people	185	10.010
exam center	110	10.009
respected sir	111	9.988
uttar pradesh	290	9.988
delhi government	128	9.982
sant rampal ji maharaj	107	9.972
cbse board	110	9.963
ontario government	142	9.961
matt hancock	113	9.954
need of the hour	128	9.918
relief fund	138	9.887
covid-19 wave	107	9.885
election commission	180	9.884
vaccination campaign	126	9.866
vaccination card	107	9.848
post pandemic	106	9.811
death count	116	9.792
total appointment	105	9.778
situation in the country	127	9.776
good morning	336	9.761
covid regulation	105	9.705
bengal election	104	9.705
nicola sturgeon	118	9.703
double mask	104	9.702
covid survivor	104	9.701
namo app	104	9.685
many life	223	9.673
sold provider	103	9.636
astrazeneca covid vaccine	103	9.634
biden admin	103	9.624
religious gathering	112	9.623
covid-19 treatment	108	9.621
staying home	142	9.614
covid prevention	103	9.604
post-pandemic world	106	9.603
supply of oxygen	112	9.600
coronavirus vaccination	103	9.588
mask in public	107	9.581
prevention kit	103	9.574
distancing rule	114	9.549
covid today	102	9.547
risk of blood clots	107	9.546
number of deaths	186	9.535
help right	103	9.533
pfizer ceo	102	9.533
great reset	106	9.529
covid19 patient	102	9.527
fourth wave	107	9.522
pre covid	102	9.514
first vaccine	107	9.502
lateral flow	109	9.486
covid vaccine passport	101	9.469
covid spike	101	9.438
scott morrison	115	9.424
surge in cases	104	9.416
unvaccinated people	102	9.413
physiotherapy student	102	9.394
pandemic restriction	104	9.371
pre-pandemic level	105	9.366
negative test	118	9.357
vaccine patent	100	9.356
arvind kejriwal	106	9.334
panchayat election	104	9.328
contact tracing	133	9.326
stimulus check	108	9.301
covid vaccine appointment	99	9.301
delhi ncr	111	9.278
vaccine side	100	9.274
natural immunity	108	9.272
covid transmission	99	9.245
social distancing rule	108	9.235
delhi hc	100	9.235
negative report	107	9.224
former guy	98	9.205
case number	159	9.200
vaccine side effect	99	9.195
urgent plasma	97	9.133
union health ministry	99	9.123
covid patients	97	9.122
covid hospitalization	97	9.100
lockdown easing	97	9.091
covid policy	97	9.089
delhi high court	115	9.063
oxygen crisis	96	9.037
fatality rate	131	9.033
covid relief bill	96	9.017
vaccine availability	97	9.011
amit shah	110	9.005
impact of the pandemic	109	9.002
vaccine eligibility	95	8.957
sputnik v	96	8.952
rapid testing	102	8.948
spread of the virus	140	8.926
violence epidemic	96	8.922
vaccine access	95	8.914
safe everyone	96	8.901
state board exam	95	8.899
wave of covid	94	8.878
farmers protest	96	8.876
covid-19 symptom	108	8.870
killing people	150	8.841
vivo phone	94	8.833
mass gathering	106	8.804
covid vaccine shot	93	8.796
outdoor mask	93	8.792
covid death rate	93	8.783
vaccine site	93	8.773
covid-19 guideline	97	8.728
public health	2220	8.715
rite aid vaccine	92	8.714
johnson covid vaccine	92	8.714
aid vaccine	92	8.713
third lockdown	92	8.704
midst of a pandemic	95	8.689
surgical mask	113	8.672
board examination	100	8.663
jason kenney	95	8.637
found rite	91	8.630
found rite aid	91	8.630
found rite aid vaccine	91	8.630
flu shot	158	8.619
joe rogan	96	8.614
spanish flu	111	8.594
covid-19 spread	95	8.570
plasma donation	92	8.543
yan report	90	8.543
covid precaution	91	8.536
trump official	95	8.517
black marketing	91	8.512
covid era	91	8.498
cloth mask	97	8.491
wuhan institute	91	8.473
indian govt	91	8.470
shot today	91	8.466
attendant name	89	8.461
variant case	89	8.452
lockdown protest	89	8.444
vaccine death	89	8.440
corona time	89	8.434
travel ban	145	8.418
coronavirus crisis	123	8.411
arundhati roy	96	8.394
bjp govt	89	8.377
indian government	194	8.355
icu patient	96	8.348
one-day increase	88	8.341
om shanti	90	8.314
test positivity	90	8.310
gun violence epidemic	88	8.297
medical infrastructure	91	8.288
outdoor transmission	87	8.283
new covid case	87	8.283
funeral pyre	101	8.274
wave of coronavirus	89	8.271
last lockdown	87	8.266
vaccine manufacturer	97	8.266
conspiracy theory	341	8.260
wash hand	107	8.260
maharashtra govt	87	8.238
lockdown last year	86	8.210
new lockdown	89	8.174
safety measure	194	8.171
vaccination center	86	8.167
foundation day	91	8.162
close contact	201	8.138
pandemic crisis	89	8.123
covid positive patient	85	8.111
justin trudeau	102	8.108
pandemic recovery	86	8.103
antigen test	94	8.100
maharashtra government	94	8.097
hot spot	291	8.069
medical supply	190	8.057
