Item	Frequency	Score
covid	77029	61.108
pandemic	56967	39.808
covid-19	54743	35.337
coronavirus	31832	23.911
lockdown	22627	18.517
trump	26876	14.531
mask	16767	12.480
deaths	16196	11.318
corona	11114	9.819
virus	14172	9.816
cases	23289	8.355
vaccine	9901	7.842
distancing	8648	7.722
masks	9047	7.714
wear	12371	7.586
cdc	7709	6.854
covid19	6642	6.388
biden	5474	5.098
americans	8384	5.051
positive	9504	4.479
ðÿ	4256	4.466
flu	4522	4.264
tested	5797	4.228
govt	4092	4.191
stay	9523	4.136
spread	6702	4.103
testing	7558	4.058
died	8300	3.826
tests	5662	3.690
outbreak	3586	3.533
restrictions	4121	3.494
via	8446	3.399
safe	6791	3.395
wearing	4258	3.356
please	11336	3.228
crisis	5018	3.228
test	9015	3.223
die	4533	3.125
people	42135	3.119
economy	5876	3.116
vote	5183	3.112
lives	6914	3.016
deadly	2890	2.961
health	16631	2.925
due	10316	2.904
why	14668	2.888
during	21759	2.855
social	11850	2.813
u	3581	2.810
today	11267	2.798
ca	9629	2.790
infected	2587	2.758
shit	2685	2.751
sick	3110	2.742
months	8318	2.728
response	6437	2.721
death	7823	2.692
china	5838	2.685
fauci	2036	2.650
stop	6358	2.630
quarantine	2125	2.625
immunity	2246	2.624
unemployment	2465	2.585
fucking	2314	2.571
recovered	2391	2.558
protect	4183	2.544
lied	2039	2.542
dead	4496	2.537
schools	5591	2.537
amid	2268	2.536
w	3347	2.520
workers	4803	2.502
fuck	2221	2.499
everyone	6285	2.499
relief	3053	2.485
infections	2237	2.474
breaking	2700	2.467
symptoms	3043	2.464
donald	2469	2.455
dying	2340	2.440
infection	2507	2.404
ppl	1772	2.401
vaccines	1946	2.398
lockdowns	1731	2.395
panic	2014	2.375
hospital	4490	2.372
news	7831	2.360
wave	2715	2.358
millions	2744	2.356
thank	4328	2.350
president	8006	2.342
india	4671	2.331
uk	5324	2.328
kids	4202	2.312
epidemic	1818	2.305
says	9344	2.289
nhs	2015	2.286
toll	1896	2.283
hoax	1641	2.280
country	8512	2.271
boris	1674	2.267
herd	1734	2.267
confirmed	2674	2.266
now	25874	2.260
care	9217	2.250
us	23274	2.234
wo	4105	2.234
tweet	1685	2.218
jobs	3535	2.202
spreading	1817	2.199
election	3561	2.195
healthcare	2597	2.186
woodward	1513	2.183
twitter	2310	2.167
recovery	2715	2.154
lost	5145	2.152
rt	1569	2.150
worse	2647	2.143
blame	1926	2.142
watch	4027	2.138
democrats	2050	2.134
rally	1827	2.133
joe	2432	2.131
numbers	4006	2.130
exam	2027	2.130
gonna	1885	2.128
risk	5300	2.110
let	7504	2.107
plasma	1653	2.106
government	10635	2.105
gop	1579	2.105
exams	1607	2.103
yesterday	2396	2.100
lock	1943	2.099
million	6905	2.083
measures	2936	2.083
daily	4062	2.080
thousands	2882	2.078
worst	2254	2.077
fight	3386	2.072
lies	2284	2.059
going	11264	2.056
patients	4591	2.051
shut	1959	2.051
wuhan	1315	2.046
pelosi	1322	2.029
gov	1305	2.020
home	12453	2.018
rules	3768	2.018
sir	2353	2.008
need	15381	2.005
hospitals	1846	2.002
voting	1896	1.999
र	1216	1.985
modi	1307	1.983
how	25943	1.977
businesses	3025	1.977
weeks	4070	1.975
literally	1850	1.967
tomorrow	1882	1.967
stupid	1699	1.965
saying	3708	1.957
republicans	1664	1.950
lying	1659	1.947
doctors	1919	1.941
keep	7280	1.934
no	28875	1.926
fake	1540	1.926
update	2806	1.922
global	5222	1.907
doing	5770	1.907
lol	1564	1.907
getting	5696	1.906
do	40579	1.901
we	68706	1.900
get	20699	1.897
app	2589	1.897
reminder	1352	1.893
experts	2276	1.879
ppe	1115	1.877
still	13066	1.876
week	6647	1.871
go	12171	1.864
listen	2101	1.862
families	3252	1.862
damn	1411	1.861
thread	1869	1.861
johnson	1955	1.856
â	1386	1.849
knew	3281	1.848
guidelines	1915	1.847
anyone	4157	1.847
pls	1076	1.847
face	4948	1.846
spike	1279	1.843
gdp	1292	1.835
america	3949	1.834
rallies	1102	1.833
hey	1672	1.832
just	25283	1.829
homes	2412	1.828
rate	4169	1.827
total	4553	1.821
failed	2338	1.821
ve	1075	1.819
sept	1114	1.817
lie	1634	1.814
vulnerable	1529	1.811
pm	2830	1.807
killed	2594	1.806
reported	3424	1.801
join	2868	1.792
bc	1432	1.787
happening	1699	1.785
reopen	1032	1.783
job	5060	1.779
days	7294	1.778
follow	3259	1.775
dangerous	1866	1.774
latest	3050	1.771
remember	3474	1.756
tracing	1033	1.753
wait	2379	1.749
retweet	925	1.748
kill	1963	1.746
seriously	1722	1.745
tonight	1460	1.745
help	11273	1.744
rise	2266	1.743
save	2910	1.738
forget	1777	1.736
public	9453	1.730
icu	940	1.730
hope	4034	1.728
sweden	1197	1.725
y	1641	1.725
fear	2247	1.723
reopening	941	1.722
live	5472	1.722
surge	1073	1.720
sars-cov-2	899	1.719
protest	1356	1.717
struggling	1287	1.716
our	31430	1.715
handling	1507	1.712
outbreaks	950	1.711
ji	914	1.707
elderly	1169	1.700
conspiracy	1121	1.699
neet	861	1.696
trying	3895	1.695
brexit	1056	1.691
sad	1380	1.690
airborne	954	1.690
situation	2957	1.687
zero	1592	1.687
protests	1163	1.686
september	4154	1.682
folks	1471	1.680
oh	2432	1.679
got	6892	1.677
restaurants	1480	1.676
know	12794	1.675
scientists	1797	1.675
gatherings	929	1.675
because	15863	1.674
lakh	896	1.674
killing	1502	1.673
nothing	4411	1.671
fighting	1795	1.670
highest	2153	1.669
nobody	1391	1.668
here	13719	1.668
asymptomatic	846	1.667
rising	1573	1.666
bad	3709	1.662
s	4253	1.662
ass	1110	1.659
threat	1700	1.659
reports	2992	1.659
affected	1799	1.656
wants	2340	1.654
tory	880	1.653
nursing	1417	1.652
ok	1730	1.650
want	9597	1.649
trace	1107	1.648
wash	1173	1.648
hate	1471	1.644
