Item	Frequency	Score
social distancing	10723	10.487
new case	3776	4.341
coronavirus case	3555	4.145
covid-19 case	3341	3.956
corona virus	2638	3.334
coronavirus pandemic	2534	3.242
covid-19 pandemic	2529	3.238
public health	2119	2.875
covid case	1908	2.688
global pandemic	1774	2.570
second wave	1628	2.440
face mask	1610	2.424
nursing home	1530	2.354
wearing mask	1485	2.314
social distance	1416	2.253
death toll	1407	2.245
many people	1276	2.129
new coronavirus	1243	2.100
last week	1188	2.051
health care	1127	1.997
active case	1080	1.956
middle of a pandemic	1066	1.943
united states	1046	1.925
positive case	1028	1.910
covid patient	1000	1.885
mental health	958	1.848
confirmed case	955	1.845
death rate	948	1.839
first time	935	1.827
covid death	931	1.824
covid-19 patient	908	1.803
new zealand	878	1.777
coronavirus death	870	1.770
covid-19 death	869	1.769
stay home	855	1.756
young people	848	1.750
coronavirus outbreak	842	1.745
black people	841	1.744
new coronavirus case	822	1.727
covid-19 crisis	813	1.719
president trump	810	1.717
other country	762	1.674
boris johnson	744	1.658
coronavirus crisis	736	1.651
new york	713	1.631
social medium	711	1.629
trump administration	706	1.625
care home	695	1.615
total number	691	1.611
health official	687	1.608
small business	686	1.607
donald trump	684	1.605
white house	681	1.603
pandemic situation	673	1.595
face covering	672	1.595
loved one	668	1.591
covid test	645	1.571
trump rally	639	1.565
good news	637	1.564
police brutality	618	1.547
covid-19 testing	599	1.530
new death	587	1.519
covid-19 test	576	1.510
last night	572	1.506
number of cases	566	1.501
next week	555	1.491
covid-19 vaccine	550	1.487
single day	550	1.487
family member	538	1.476
coronavirus infection	531	1.470
george floyd	510	1.451
total case	510	1.451
task force	510	1.451
distancing rule	505	1.447
coronavirus testing	505	1.447
few day	501	1.443
covid crisis	488	1.432
herd immunity	488	1.432
few week	485	1.429
bbc news	484	1.428
corona case	472	1.418
social distancing rule	471	1.417
joe biden	467	1.413
health expert	466	1.412
covid-19 outbreak	465	1.411
same time	462	1.409
lockdown rule	461	1.408
chinese virus	453	1.401
ten of thousands	448	1.396
few month	446	1.395
fake news	446	1.395
other people	443	1.392
last year	441	1.390
black life	441	1.390
covid-19 infection	440	1.389
thousand of people	438	1.388
contact tracing	436	1.386
coronavirus lockdown	435	1.385
contact trace	433	1.383
infection rate	431	1.381
prime minister	428	1.379
mortality rate	424	1.375
healthcare worker	422	1.373
testing site	417	1.369
south africa	417	1.369
press conference	417	1.369
black lives matter	416	1.368
pandemic response	415	1.367
federal government	408	1.361
covid testing	406	1.359
other state	393	1.348
human right	390	1.345
supreme court	390	1.345
lot of people	387	1.342
total death	384	1.340
trump campaign	380	1.336
essential worker	378	1.334
coronavirus vaccine	378	1.334
high risk	374	1.331
physical distancing	371	1.328
immune system	368	1.326
front line	367	1.325
good morning	367	1.325
case of coronavirus	361	1.319
american people	357	1.316
private hospital	355	1.314
test result	354	1.313
lockdown restriction	351	1.311
health crisis	351	1.311
common sense	350	1.310
novel coronavirus	348	1.308
cases today	347	1.307
last month	347	1.307
lives matter	337	1.298
health worker	336	1.297
positive test	335	1.296
long time	335	1.296
mask in public	332	1.294
tulsa rally	327	1.289
n95 mask	324	1.287
next year	322	1.285
climate change	319	1.282
number of people	318	1.281
clinical trial	317	1.280
icu bed	316	1.280
coronavirus test	315	1.279
lockdown period	315	1.279
covid-19 lockdown	314	1.278
kung flu	313	1.277
