Item	Frequency	Score
covid	93808	1543.783
ðÿ	6572	550.819
lockdown	34359	458.306
covid19	4348	275.615
pandemic	53605	228.172
corona	5730	143.552
covid-19	48580	143.121
vaccine	38232	138.164
vaccinate	5288	119.676
coronavirus	16417	107.729
fauci	1601	103.934
biden	8935	85.748
wuhan	2127	83.743
vaccination	8241	79.041
distancing	3563	71.588
moderna	957	64.633
pfizer	2022	63.890
govt	3264	63.458
mask	19435	55.863
retweet	972	55.666
sars-cov-2	1110	55.281
ppl	1718	53.722
icu	1877	53.715
rollout	1842	51.438
quarantine	2784	39.926
n95	590	39.004
pre-covid	469	37.967
post-covid	481	37.872
boris	2266	37.719
jab	1432	37.418
gov	1310	36.268
ivermectin	475	36.103
anti-lockdown	390	34.953
maskless	396	34.911
astrazeneca	630	33.580
insurrection	954	33.570
cdc	2839	32.231
ग	373	31.560
âtm	340	30.526
stay-at-home	635	30.383
virus	12222	29.051
ï	1026	28.939
vax	403	28.056
ppe	855	28.056
denier	697	27.642
post-pandemic	340	27.046
starmer	343	26.950
frontline	1358	26.413
curfew	804	26.245
breaking	1454	25.795
asymptomatic	667	25.668
lmao	453	25.606
inauguration	1147	25.376
cuomo	854	25.316
ðÿtm	273	25.063
ltc	487	25.048
biontech	299	24.972
variant	5389	24.963
transmissible	338	24.358
b117	262	24.127
capitol	2775	24.060
pre-pandemic	300	23.994
lockdowns	256	23.227
flu	2857	23.225
à	991	23.205
contagious	822	22.171
yall	338	21.256
desantis	336	21.119
hospitalization	907	21.011
positivity	591	20.985
misinformation	796	20.915
birx	237	20.915
tory	1367	20.666
spreader	398	20.570
maga	312	20.499
âœ	223	20.440
outbreak	3561	20.180
ccp	621	20.084
coronaviru	251	20.068
nhs	3714	19.914
pcr	946	19.805
covid-related	233	19.388
incompetence	668	19.388
hoax	858	19.171
covidiot	204	19.063
स	234	18.838
र	260	18.672
president-elect	601	18.644
superspreader	203	18.544
icymi	211	18.333
dose	5977	18.310
idk	375	18.279
rt	1458	18.227
non-covid	200	18.199
sinovac	194	17.863
impeach	514	17.676
ð	232	17.653
hospitalize	728	17.614
newsom	380	17.592
trudeau	615	17.536
smh	267	17.502
covaxin	185	17.259
ffs	278	17.010
sceptic	324	16.857
fuck	5636	16.852
य_मह	173	16.389
घ_ग	173	16.389
त_आर	173	16.389
डप	173	16.384
जर	173	16.349
pfizer-biontech	175	16.310
cases	343	15.894
wtf	503	15.757
whitty	194	15.716
hydroxychloroquine	206	15.679
ji	568	15.620
swab	439	15.612
pls	262	15.451
ðÿ1	162	15.403
self-isolate	202	15.297
icus	188	15.162
manaus	191	15.117
ðÿš	157	14.956
ucp	200	14.926
anti-vaxxer	172	14.885
ventilator	425	14.640
tories	397	14.456
qanon	175	14.325
pelosi	575	14.252
anti-masker	150	14.243
priti	166	14.131
mishandle	271	14.125
sturgeon	420	14.093
shit	2749	13.903
dey	276	13.861
ramaphosa	175	13.784
infect	1599	13.480
covishield	141	13.477
novavax	146	13.334
kenney	272	13.228
reopen	1545	13.209
hcq	146	13.144
trump	10773	13.106
immunity	1366	13.086
insurrectionist	150	13.018
covax	139	12.968
tweet	2758	12.921
epidemiologist	256	12.901
gop	1454	12.894
dems	460	12.833
tbh	247	12.658
jandj	131	12.646
heartbreaking	398	12.438
vaccinator	137	12.365
deadly	2155	12.282
hospitalisation	189	12.211
moron	420	12.184
mrna	481	12.011
super-spreader	127	12.011
kamala	238	11.958
undercount	150	11.934
keir	173	11.904
bharat	297	11.864
nigga	192	11.808
epidemic	1323	11.718
amid	1740	11.670
mutate	424	11.649
âž	120	11.637
jayapal	129	11.627
pl	820	11.592
pro-trump	144	11.575
antifa	182	11.560
incite	495	11.538
incompetent	503	11.485
ur	723	11.478
bullshit	584	11.443
impeachment	688	11.426
roll-out	244	11.407
mco	149	11.300
publix	159	11.253
toll	1861	11.153
snp	388	11.111
eviction	542	11.099
selfish	775	11.072
reinfection	129	11.049
non-essential	229	11.046
anti-mask	116	11.046
bruh	120	11.040
disinformation	315	11.035
covid-free	114	10.994
virology	186	10.960
oðÿ	112	10.955
wh	325	10.950
