Item	Frequency	Score
coronavirus	17892	123.856
wuhan	7495	58.325
china	13222	48.216
outbreak	5492	39.206
virus	5424	33.635
chinese	3822	16.755
confirmed	2725	15.752
cases	3494	11.732
spread	2235	11.623
epidemic	1480	11.573
corona	1387	11.463
infected	1534	11.428
flights	1305	9.446
sars	998	8.625
cdc	1043	8.543
deadly	1066	8.168
flu	1028	8.155
novel	1496	8.002
masks	986	7.956
emergency	1441	7.573
quarantine	872	7.451
hospital	1704	7.226
spreading	905	7.100
breaking	1014	6.825
hong	889	6.412
health	3857	6.205
toll	746	6.078
kong	817	5.991
mask	767	5.906
travel	1430	5.824
deaths	795	5.704
via	1578	5.699
symptoms	861	5.430
amid	622	5.178
hubei	537	5.133
citizens	841	4.912
confirms	527	4.756
case	2441	4.672
trump	808	4.604
infection	615	4.553
lockdown	486	4.537
spreads	483	4.507
suspected	533	4.488
mainland	498	4.484
vaccine	523	4.367
global	1404	4.308
disease	970	4.299
ban	553	4.292
officials	795	4.248
ncov	416	4.222
province	585	4.102
quarantined	394	4.021
pandemic	482	3.972
beijing	455	3.966
hospitals	505	3.925
medical	1217	3.883
panic	424	3.851
update	711	3.804
philippines	425	3.774
people	5337	3.736
patients	970	3.683
declares	368	3.671
racist	392	3.651
hk	353	3.648
govt	358	3.647
news	1313	3.570
countries	988	3.553
fears	397	3.550
patient	669	3.540
flight	566	3.513
sick	448	3.467
authorities	537	3.465
death	1095	3.461
stop	916	3.443
shit	376	3.376
evacuate	313	3.359
please	1246	3.358
ppl	312	3.356
jan	396	3.355
viruses	336	3.325
singapore	378	3.310
ebola	309	3.284
lab	442	3.274
doctors	429	3.272
protect	598	3.249
stay	752	3.221
tested	434	3.221
fever	331	3.194
bats	303	3.166
korea	404	3.165
taiwan	323	3.162
transmission	412	3.156
safe	655	3.155
passengers	360	3.113
says	1378	3.101
japan	495	3.071
australia	622	3.062
declared	388	3.061
epicenter	270	3.060
pneumonia	280	3.057
updates	397	3.057
airlines	320	3.053
wash	338	3.049
shanghai	298	3.040
thailand	318	3.039
reported	696	3.036
kobe	259	2.957
latest	618	2.940
wear	420	2.911
situation	628	2.901
malaysia	284	2.885
plane	362	2.879
cities	475	2.852
gov	245	2.836
u	380	2.828
americans	435	2.817
contain	399	2.809
infections	281	2.783
worried	301	2.778
xi	256	2.773
infectious	260	2.770
experts	413	2.763
viral	261	2.750
border	385	2.736
rises	260	2.733
racism	262	2.689
die	392	2.686
prevent	460	2.654
fuck	256	2.653
bat	252	2.653
nationals	238	2.652
prevention	322	2.638
respiratory	243	2.633
government	1429	2.627
cure	263	2.625
risk	725	2.623
dead	493	2.621
everyone	700	2.621
w	371	2.619
due	965	2.615
days	1184	2.604
plague	226	2.599
us	2860	2.590
measures	415	2.587
threat	350	2.581
n95	205	2.578
fake	257	2.554
doctor	391	2.553
reports	552	2.545
public	1521	2.540
airport	367	2.521
canada	503	2.507
crisis	379	2.496
uk	610	2.495
concern	353	2.484
ccp	196	2.479
million	886	2.471
fucking	228	2.464
shut	273	2.459
originated	214	2.454
illness	270	2.453
country	968	2.431
ไวร	184	2.425
dangerous	312	2.404
outbreaks	190	2.384
incubation	184	2.377
worldwide	296	2.376
scientists	321	2.369
now	2854	2.364
isolation	214	2.360
lunar	196	2.357
city	1332	2.355
gates	226	2.344
eating	296	2.341
scary	203	2.340
hands	481	2.339
cancel	202	2.336
avoid	409	2.320
contagious	177	2.317
russia	321	2.314
warns	185	2.310
alert	225	2.305
france	362	2.304
killed	381	2.291
suspend	179	2.288
worse	304	2.277
screening	229	2.272
serious	404	2.272
diagnosed	203	2.259
video	699	2.237
cough	173	2.224
why	1159	2.224
rt	175	2.222
evacuation	172	2.222
india	459	2.209
diseases	252	2.202
media	716	2.201
fight	386	2.198
airports	173	2.170
affected	288	2.169
airways	164	2.169
traveled	186	2.164
scared	182	2.160
animals	335	2.157
watch	428	2.154
strain	187	2.152
evacuated	158	2.152
world	1845	2.146
response	507	2.146
borders	198	2.145
gonna	200	2.139
snakes	161	2.137
fear	324	2.136
pray	199	2.135
macau	151	2.135
precautions	159	2.131
markets	313	2.121
communist	194	2.119
coming	550	2.118
here	1864	2.113
person-to-person	144	2.109
info	259	2.096
human-to-human	141	2.089
doh	143	2.088
eat	297	2.083
official	394	2.075
supplies	226	2.074
january	535	2.066
today	841	2.065
live	716	2.065
tourists	176	2.062
surgical	177	2.061
wearing	225	2.059
advisory	198	2.056
positive	387	2.047
toronto	208	2.046
pls	139	2.043
millions	231	2.030
tweet	151	2.027
treat	238	2.020
misinformation	137	2.012
vaccines	151	2.012
thread	223	2.011
r0	130	1.999
travelers	153	1.998
worry	212	1.995
twitter	213	1.992
impeachment	139	1.989
coughing	132	1.984
cancelled	154	1.982
cnn	148	1.981
asian	207	1.980
died	388	1.974
ph	155	1.972
epicentre	126	1.968
suspends	126	1.965
lying	177	1.962
happening	209	1.960
temporarily	153	1.953
vietnam	179	1.952
jinping	125	1.949
dying	170	1.944
already	720	1.941
declare	147	1.936
s	540	1.928
y	208	1.927
infect	125	1.926
embassy	144	1.925
face	548	1.923
mers	120	1.922
warning	205	1.916
suspended	157	1.911
retweet	117	1.900
confirm	166	1.899
duterte	118	1.896
africa	285	1.894
zero	204	1.894
joke	147	1.886
closed	284	1.880
protective	151	1.878
influenza	125	1.871
nigeria	147	1.865
cruise	159	1.852
residents	262	1.841
na	127	1.840
ca	624	1.839
conspiracy	138	1.837
stocks	151	1.831
hope	457	1.830
scare	120	1.825
donated	137	1.816
announced	328	1.816
from	9499	1.806
seafood	120	1.802
evacuees	105	1.802
severe	189	1.801
chicago	222	1.801
minister	324	1.799
literally	167	1.799
concerns	238	1.798
just	2612	1.797
know	1452	1.795
treating	139	1.794
saying	347	1.794
bans	110	1.794
presumptive	104	1.791
biological	166	1.791
closes	118	1.787
nurse	151	1.785
nepal	118	1.781
postponed	111	1.781
warned	140	1.777
bc	149	1.776
locked	140	1.774
yesterday	192	1.769
contagion	101	1.765
usa	232	1.762
isolated	139	1.762
banned	127	1.751
woman	347	1.748
nurses	132	1.747
