Item	Frequency	Score
covid vaccine	4762	580.482
covid-19 vaccine	4017	359.109
covid death	2582	323.251
vaccine mandate	2336	298.062
covid case	2310	269.918
covid test	1388	170.596
natural immunity	1279	153.796
covid-19 vaccination	1197	151.510
vaccine passport	986	128.581
covid patient	884	108.363
booster shot	847	103.760
long covid	787	102.233
covid vaccination	772	100.516
vaccinated people	753	97.233
covid infection	683	87.152
mask mandate	735	86.589
covid restriction	681	82.067
covid-19 case	1161	79.109
covid shot	590	77.438
covid passport	576	75.629
vaccination rate	666	73.545
vaccine dose	583	70.719
delta variant	499	65.625
colin powell	638	62.840
covid booster	471	62.055
global pandemic	732	61.557
covid pandemic	515	60.468
new case	1417	59.784
covid jab	449	59.141
covid-19 death	497	57.102
unvaccinated people	430	55.912
covid response	421	54.212
covid-19 vaccine mandate	395	52.189
pcr test	442	52.136
covid vaccine mandate	387	51.165
wearing mask	520	49.987
wuhan lab	371	48.724
active case	497	48.604
social distancing	1324	46.895
covid vax	351	46.494
herd immunity	427	45.752
covid relief	339	43.858
covid pass	327	43.347
pandemic response	361	42.970
covid outbreak	315	40.883
getting covid	305	40.478
new death	354	40.378
start of the pandemic	327	39.633
covid protocol	303	39.477
covid testing	306	39.255
vaccination status	310	39.121
covid rate	295	39.083
flu shot	486	38.718
healthcare worker	504	37.294
coronavirus vaccine	327	37.096
death rate	707	36.839
case rate	294	36.581
covid-19 booster	274	36.514
corona virus	328	35.632
stay home	296	34.985
big pharma	403	34.959
panic buying	274	34.301
covid-19 pandemic	1336	33.508
vaccine for children	256	33.381
mrna vaccine	256	33.238
covid crisis	271	33.146
covid policy	245	32.600
first dose	307	32.284
biden administration	276	32.236
covid number	241	31.905
gain of function	243	31.574
covid-19 test	299	31.419
covid-19 infection	301	31.190
proof of vaccination	235	30.916
vaccine booster	232	30.851
religious exemption	267	30.765
covid lockdown	229	29.825
positivity rate	256	29.649
covid complication	220	29.459
covid rule	221	29.282
beginning of the pandemic	229	29.092
mask wear	230	28.745
second dose	244	28.362
infection rate	333	28.326
spike protein	224	28.039
excess death	231	27.879
emergency use	249	27.512
covid-19 patient	290	27.202
icu bed	217	26.908
pfizer vaccine	205	26.742
breakthrough case	199	26.740
booster dose	209	26.475
coronavirus case	302	26.426
vaccine for kids	193	25.994
middle of a pandemic	199	25.928
covid symptom	193	25.485
deadly pandemic	190	24.919
covid mandate	184	24.843
negative test	212	24.463
vaccine requirement	184	24.412
covid treatment	178	23.957
death toll	530	23.868
real pandemic	177	23.851
people die	225	23.648
cdc director	179	23.618
health care worker	311	23.357
daily case	184	23.083
covid hospitalization	171	23.082
coronavirus act	169	22.486
president biden	168	22.358
rapid test	190	22.354
care worker	404	22.322
boris johnson	306	22.288
case number	254	21.779
plan b	286	21.646
total death	181	21.437
covid situation	162	21.408
sajid javid	167	21.331
cases today	163	21.304
health failure	157	21.240
covid-19 protocol	166	21.160
pre-pandemic level	163	21.142
vax mandate	155	21.092
vaccine rollout	157	21.075
covid death rate	155	21.058
covid datum	155	21.028
social distance	228	20.961
positive test	238	20.897
public health failure	153	20.790
n95 mask	168	20.625
booster jab	151	20.532
covid virus	152	20.361
breakthrough infection	150	20.353
freedom day	155	20.239
ron desantis	150	20.023
total case	166	19.946
covid spread	147	19.925
face mask	374	19.871
vaccination drive	147	19.749
health measure	185	19.635
other vaccine	160	19.634
handling of the pandemic	146	19.540
early treatment	178	19.398
covid-19 complication	144	19.388
new coronavirus	185	19.345
covid report	141	19.250
positive case	207	19.201
pandemic hit	152	19.055
health official	380	18.990
gain-of-function research	139	18.929
covid measure	138	18.747
covid time	140	18.715
entire pandemic	137	18.693
covid misinformation	136	18.613
vaccination mandate	136	18.554
public health measure	156	18.527
vaccination card	137	18.527
covid-19 testing	168	18.285
related death	164	18.227
flu vaccine	241	18.124
covid-19 shot	132	18.061
covid19 vaccine	131	17.929
covid-19 restriction	169	17.838
blood clot	324	17.743
china virus	130	17.582
post covid	128	17.406
relief fund	162	17.303
wuhan institute	128	17.272
flu season	188	17.159
pre covid	125	17.135
new variant	151	17.131
first lockdown	129	17.078
vax rate	124	17.067
next pandemic	127	16.909
pfizer covid-19 vaccine	123	16.887
function research	123	16.879
whole pandemic	123	16.874
vaccinated person	124	16.843
