Item	Frequency	Score
covid vaccine	5939	445.058
covid case	4980	357.260
delta variant	4032	321.862
covid-19 vaccine	5334	293.127
covid death	2822	217.402
mask mandate	3016	216.954
covid patient	2654	199.111
covid test	2260	170.678
covid-19 vaccination	1767	137.518
covid-19 case	3160	131.953
vaccinated people	1611	127.511
vaccine passport	1344	107.856
vaccine mandate	1345	106.084
long covid	1234	98.533
icu bed	1325	98.411
booster shot	1173	88.435
covid vaccination	1094	87.652
natural immunity	1152	85.529
unvaccinated people	989	78.610
covid restriction	1030	76.334
ron desantis	894	70.719
vaccination rate	1038	70.467
new case	2695	69.811
vaccine dose	877	65.437
dose2 capacity	790	63.926
dose1 capacity	790	63.926
min age limit	790	63.915
covid infection	801	63.075
covid surge	760	61.208
eviction moratorium	761	58.777
wearing mask	965	56.897
covid-19 patient	979	55.668
pin code	793	52.634
pcr test	723	52.397
global pandemic	999	51.724
covid outbreak	617	49.006
biden administration	684	48.631
covid hospitalization	597	48.375
social distancing	2208	48.047
breakthrough case	561	45.589
active case	752	45.240
covid shot	553	45.022
covid variant	538	43.851
proof of vaccination	543	43.482
full approval	569	42.943
covid number	531	42.845
getting covid	526	42.835
herd immunity	640	42.200
covid-19 death	594	42.167
covid pandemic	570	41.408
vaccination status	524	40.596
coronavirus vaccine	578	40.217
coronavirus case	746	39.770
pmc p	485	39.632
covid protocol	490	39.234
positivity rate	547	38.656
covid testing	481	37.947
covid jab	463	37.839
covid response	471	37.572
new death	532	37.352
covid-19 infection	584	37.034
covid-19 test	570	36.668
covid treatment	450	36.664
rand paul	544	36.236
covid crisis	477	35.773
stay home	486	35.288
healthcare worker	772	35.134
pfizer vaccine	437	34.728
breakthrough infection	425	34.696
super spreader	427	34.434
wuhan lab	415	33.800
covid passport	407	33.402
corona virus	498	33.297
president biden	413	33.272
first dose	506	32.686
second dose	459	32.648
vaccine booster	398	32.466
greg abbott	392	31.359
middle of a pandemic	389	30.948
deadly pandemic	383	30.633
covid relief	380	30.512
covid policy	361	29.610
start of the pandemic	392	29.434
social distance	520	29.099
pandemic response	388	28.683
covid symptom	354	28.598
covid situation	354	28.410
new variant	414	28.291
antibody treatment	350	27.912
covid spread	339	27.820
covid booster	336	27.763
covid vax	336	27.759
n95 mask	372	27.736
mrna vaccine	337	27.071
covid-19 surge	327	26.538
covid-19 hospitalization	327	26.516
positive case	466	26.296
covid lockdown	322	25.900
third wave	413	25.789
cases today	320	25.500
daily case	325	24.973
southern border	535	24.027
horse dewormer	288	23.930
vaccination card	289	23.722
hospital bed	557	23.630
new coronavirus	370	23.596
covid denier	284	23.582
spike protein	299	23.165
covid virus	282	23.073
covid-19 pandemic	1492	23.054
case number	438	23.038
fda approval	421	22.866
monoclonal antibody	549	22.771
people die	350	22.638
vaccine rollout	271	22.293
covid misinformation	267	22.248
covid-19 restriction	339	21.805
exposure site	261	21.575
covid-19 testing	319	21.199
mask wear	271	21.068
covid-19 booster	249	20.831
death rate	645	20.826
beginning of the pandemic	263	20.809
cases surge	254	20.778
big pharma	383	20.688
cdc director	252	20.562
cloth mask	264	20.481
scott morrison	275	20.281
health official	657	20.151
covid rule	241	19.947
fourth wave	249	19.893
negative test	277	19.809
vaccine card	235	19.697
emergency use	286	19.660
anti vaxxer	235	19.652
wear mask	240	19.491
china virus	232	19.185
biden admin	228	19.136
infection rate	361	19.083
joe biden	510	19.031
radio host	371	18.993
red state	315	18.962
republican governor	310	18.890
face mask	577	18.858
deadly virus	274	18.833
delta outbreak	223	18.763
cdc guideline	254	18.737
severe illness	285	18.710
vaccine requirement	226	18.665
new covid	220	18.465
requiring mask	222	18.333
covid positive	218	18.264
monoclonal antibody treatment	218	18.248
severe disease	270	18.167
covid ward	216	18.124
entire pandemic	215	18.061
covid wave	214	17.979
coronavirus infection	260	17.931
third dose	220	17.885
mask in schools	212	17.856
new coronavirus case	229	17.852
pfizer covid-19 vaccine	212	17.826
death toll	638	17.744
viral load	390	17.726
mandatory vaccination	224	17.670
vaccinated person	212	17.644
killing people	327	17.611
vaccination clinic	219	17.522
vaccine clinic	211	17.455
covid-19 outbreak	322	17.388
indoor mask	205	17.312
lab leak	204	17.237
vaccine hesitancy	212	17.211
health measure	260	17.063
hard lockdown	200	16.805
contact tracing	253	16.233
covid-19 shot	191	16.169
health care worker	346	16.146
covid-19 protocol	203	16.134
pandemic situation	200	16.129
covid time	193	16.002
close contact	426	15.923
real pandemic	187	15.833
public health measure	215	15.823
spreading covid	186	15.801
related death	229	15.755
covid mandate	185	15.730
vax rate	185	15.729
mask requirement	192	15.655
vaccinated individual	185	15.506
case count	204	15.454
survival rate	446	15.406
whole pandemic	179	15.194
case rate	191	15.165
total case	201	15.067
early treatment	222	15.054
catching covid	176	15.005
vaccination site	179	15.003
covid-19 virus	217	14.991
mass vaccination	194	14.986
covid risk	177	14.981
covid-19 update	204	14.933
positive test	271	14.818
covid datum	174	14.814
covid rate	174	14.800
free vaccine	177	14.786
covid today	173	14.771
covid-19 booster shot	172	14.699
covid update	173	14.609
essential worker	209	14.546
negative covid test	170	14.531
anti vax	170	14.517
health expert	311	14.370
covid-19 treatment	176	14.370
long term effect	218	14.354
border crisis	174	14.328
term effect	228	14.274
confirmed case	322	14.255
local case	178	14.168
covid safety	169	14.157
covid-19 variant	165	14.137
delta surge	165	14.135
covid-19 vaccine booster	164	14.062
common cold	246	13.991
covid-19 delta variant	163	13.983
first lockdown	169	13.936
new infection	224	13.920
spreader event	163	13.914
school mask	162	13.897
covid19 vaccine	162	13.863
respiratory virus	180	13.858
mild symptom	189	13.858
covid delta	161	13.824
unvaccinated kid	161	13.736
vaccination drive	162	13.691
excess death	178	13.675
covid booster shot	159	13.665
covid transmission	160	13.662
care worker	397	13.644
cdc datum	164	13.635
testing site	202	13.542
covid measure	157	13.404
variant spread	154	13.259
damn mask	154	13.225
delta strain	152	13.098
full vaccination	153	13.085
hospital system	213	13.055
covid unit	152	13.049
sars-cov-2 infection	161	13.036
cdc guidance	157	13.016
coronavirus death	162	12.910
serious illness	289	12.886
anti-lockdown protest	150	12.840
vaccine shot	151	12.840
people get	260	12.779
boris johnson	279	12.728
covid spike	146	12.589
covid warrior	146	12.588
conspiracy theorist	275	12.584
community transmission	161	12.553
daily death	153	12.553
nsw govt	146	12.550
covid vaccine mandate	145	12.549
booster dose	154	12.503
experimental vaccine	153	12.460
motorcycle rally	152	12.459
anti mask	144	12.458
new covid case	144	12.452
super spreader event	144	12.416
florida hospital	151	12.403
banning mask	143	12.382
health crisis	303	12.319
covid-19 lockdown	170	12.307
heart inflammation	142	12.233
personal choice	249	12.230
zero covid	141	12.228
hospital admission	243	12.223
emergency use authorization	151	12.206
vaccination centre	142	12.205
rapid test	163	12.196
covid shit	140	12.146
safety measure	308	12.083
effective vaccine	166	12.073
nsw health	153	12.040
icu nurse	145	12.027
spreading misinformation	146	11.954
covid-19 situation	159	11.893
covid-19 vaccine dose	137	11.880
lockdown restriction	154	11.877
underlying health	160	11.849
universal mask	138	11.844
open border	195	11.843
flu shot	233	11.832
conspiracy theory	516	11.752
mild case	162	11.709
post covid	136	11.707
lambda variant	134	11.670
vaccine booster shot	133	11.588
low vaccination	135	11.575
unvaccinated person	134	11.572
covid-19 list	137	11.553
vaccine effectiveness	139	11.515
blood clot	337	11.489
pandemic hit	144	11.477
cases rise	135	11.456
covid-19 vaccine mandate	131	11.431
covid complication	131	11.411
gop governor	135	11.383
surgical mask	160	11.379
covid disinformation	130	11.354
vaccine certificate	130	11.330
pre-pandemic level	136	11.305
coronavirus pandemic	383	11.294
health minister	205	11.293
mandatory vaccine	132	11.287
mandate in schools	129	11.272
full lockdown	132	11.230
second wave	254	11.224
dan andrew	129	11.206
phil valentine	128	11.171
lindsey graham	147	11.169
covid visualization	127	11.116
cdc study	131	11.061
covid vaccine booster	126	11.036
conservative radio	135	11.035
covid-19 thanks	126	11.030
gladys berejiklian	128	11.020
same people	373	11.006
death cult	136	10.949
fox news	513	10.947
covid pass	125	10.946
mask in school	125	10.944
texas hospital	128	10.934
covid antibody	125	10.933
breaking news	315	10.928
sturgis motorcycle	127	10.894
frontline worker	149	10.819
covid origin	123	10.794
underlying condition	158	10.793
new available appointment	122	10.718
mask mandate in schools	122	10.716
got covid	122	10.714
case of covid	122	10.707
face covering	197	10.677
vaccine efficacy	130	10.624
requiring proof	125	10.604
hospitalization rate	132	10.590
breakthrough covid	120	10.558
prior infection	120	10.413
variant surge	118	10.399
other vaccine	132	10.398
public health	2788	10.389
