Item	Frequency	Score
covid	44350	38.548
covid-19	54492	38.117
pandemic	46962	35.708
coronavirus	40120	32.385
lockdown	28752	25.178
ðÿ	17467	16.444
corona	15776	14.601
distancing	12715	11.752
cases	30187	11.584
virus	13901	10.400
deaths	12964	9.938
trump	16089	9.664
mask	10870	9.034
masks	9342	8.535
covid19	7823	7.890
à	5409	5.626
wear	7993	5.524
â	5890	5.394
stay	11714	5.364
govt	4813	5.084
testing	8932	5.046
positive	9891	4.993
tested	6467	4.964
spread	7396	4.789
crisis	6834	4.468
outbreak	4423	4.424
protests	4514	4.323
rally	4201	4.042
social	15379	3.854
please	12469	3.793
wearing	4513	3.748
americans	5434	3.745
vaccine	3717	3.708
ï	3003	3.579
safe	6502	3.508
lives	7512	3.476
exams	3175	3.468
via	7666	3.355
delhi	3311	3.348
cdc	2661	3.157
today	11851	3.156
people	39227	3.151
reopening	2520	3.148
during	21843	3.097
tests	4145	3.067
patients	6867	3.061
quarantine	2468	3.059
amid	2723	3.035
spike	2660	3.026
china	6129	2.995
hospitals	3091	2.985
health	15441	2.946
economy	5034	2.935
u	3489	2.931
due	9423	2.882
hospital	5269	2.882
flu	2432	2.868
infected	2521	2.866
india	5506	2.847
protest	2804	2.840
racism	2476	2.833
shit	2565	2.821
fuck	2455	2.821
june	7739	2.820
workers	5109	2.810
confirmed	3310	2.799
wave	3154	2.782
fucking	2384	2.769
infections	2437	2.765
tulsa	2068	2.752
reopen	2035	2.713
why	12447	2.678
uk	5777	2.664
florida	3475	2.648
epidemic	2062	2.623
stop	5835	2.621
breaking	2695	2.609
die	3278	2.596
sick	2646	2.591
died	4740	2.559
death	6755	2.546
news	7869	2.545
ca	7989	2.544
fight	4083	2.542
response	5420	2.524
restrictions	2415	2.514
home	14464	2.497
everyone	5764	2.489
recovered	2113	2.489
thank	4273	2.482
spreading	2030	2.478
test	6046	2.451
dying	2166	2.448
weeks	4897	2.440
ppl	1668	2.432
protect	3601	2.415
fauci	1606	2.412
toll	1910	2.412
w	2870	2.393
infection	2289	2.390
country	8254	2.375
now	24990	2.365
worst	2497	2.349
risk	5554	2.345
sir	2706	2.335
protesters	1747	2.334
yesterday	2567	2.327
