Item	Frequency	Score
coronavirus	38359	103.620
china	30502	43.391
virus	11916	28.907
outbreak	8269	23.375
corona	6885	21.261
wuhan	6434	20.168
chinese	7647	13.184
trump	6318	12.731
cdc	3367	10.504
cases	7808	10.270
epidemic	3143	9.737
infected	3206	9.472
confirmed	3371	7.963
spread	3798	7.911
ðÿ	2131	7.427
quarantine	2199	7.339
covid-19	2771	7.252
flu	2213	6.987
deaths	2314	6.363
hong	2043	5.827
cruise	1947	5.708
pandemic	1906	5.667
masks	1611	5.400
kong	1843	5.365
korea	1961	5.304
novel	2311	5.070
via	3548	5.047
breaking	1806	4.973
spreading	1394	4.616
japan	2022	4.513
hospital	2594	4.494
quarantined	1155	4.452
hoax	1176	4.438
ship	1973	4.361
toll	1269	4.331
tested	1529	4.146
amid	1207	4.133
fears	1218	4.074
death	3299	3.999
hubei	981	3.940
pence	994	3.891
vaccine	1156	3.881
americans	1631	3.819
health	5926	3.795
deadly	1093	3.793
disease	2100	3.705
iran	1333	3.704
officials	1736	3.704
panic	1027	3.686
news	3476	3.673
communist	1099	3.655
govt	914	3.634
sick	1175	3.526
sars	819	3.430
passengers	1039	3.399
infection	1067	3.334
stop	2245	3.307
province	1130	3.271
mainland	831	3.238
crisis	1340	3.199
mask	913	3.196
countries	2224	3.167
global	2551	3.156
people	11470	3.143
flights	893	3.142
ccp	725	3.138
travel	1824	3.137
positive	1684	3.115
democrats	955	3.103
infections	838	3.092
patients	2031	3.084
citizens	1209	3.039
feb	793	3.034
says	3446	3.029
threat	1111	3.027
hospitals	909	2.992
symptoms	1066	2.986
die	1154	2.984
beijing	796	2.983
died	1670	2.976
italy	1008	2.969
response	1908	2.944
medical	2251	2.903
economy	1437	2.873
xi	690	2.866
suspected	746	2.845
reports	1611	2.828
update	1265	2.817
doctor	1132	2.799
russia	1065	2.798
confirms	658	2.795
doctors	876	2.758
fight	1325	2.755
ban	792	2.754
racist	672	2.740
us	7733	2.723
border	972	2.702
hk	585	2.702
reported	1543	2.687
latest	1420	2.685
country	2772	2.679
patient	1212	2.668
li	647	2.663
w	962	2.639
due	2488	2.626
ebola	565	2.618
