Item	Frequency	Score
social distancing	1116	7.582
covid-19 case	387	3.283
covid-19 pandemic	368	3.171
covid case	350	3.064
public health	348	3.053
new case	332	2.958
coronavirus pandemic	322	2.899
coronavirus case	290	2.711
covid death	289	2.705
global pandemic	272	2.604
united states	270	2.593
corona virus	258	2.522
donald trump	229	2.351
middle of a pandemic	220	2.298
death toll	203	2.197
face mask	200	2.180
wearing mask	195	2.150
nursing home	189	2.115
new zealand	189	2.115
health care	179	2.056
covid test	177	2.044
social distance	176	2.038
ðÿ ̃	176	2.038
president trump	174	2.026
coronavirus death	163	1.961
covid-19 death	162	1.956
death rate	156	1.920
other country	155	1.914
mental health	151	1.891
covid-19 vaccine	150	1.885
last week	148	1.873
coronavirus vaccine	148	1.873
many people	147	1.867
pandemic situation	147	1.867
white house	142	1.838
neet exam	140	1.826
young people	136	1.802
students life	134	1.790
joe biden	132	1.779
small business	130	1.767
china virus	126	1.743
trump administration	125	1.737
last night	120	1.708
first time	119	1.702
covid-19 test	117	1.690
social medium	113	1.667
covid patient	113	1.667
active case	111	1.655
jee exam	110	1.649
postal service	109	1.643
pandemic response	109	1.643
ï ̧	108	1.637
confirmed case	108	1.637
herd immunity	108	1.637
aged care	107	1.631
family member	106	1.625
loved one	103	1.608
american people	102	1.602
million of students	102	1.602
corona case	101	1.596
covid relief	100	1.590
stay home	99	1.584
deadly pandemic	97	1.572
coronavirus relief	97	1.572
post office	96	1.566
conducting exam	95	1.560
covid-19 patient	93	1.549
last year	90	1.531
coronavirus outbreak	90	1.531
new york	89	1.525
supreme court	89	1.525
new coronavirus	88	1.519
test result	87	1.513
covid pandemic	87	1.513
covid vaccine	82	1.484
covid-19 crisis	82	1.484
public transport	82	1.484
unemployment benefit	81	1.478
high school	80	1.472
second wave	80	1.472
care home	77	1.454
single day	77	1.454
relief bill	77	1.454
positive case	77	1.454
covid crisis	76	1.448
mask mandate	76	1.448
social security	76	1.448
total number	75	1.442
other people	73	1.431
dr. fauci	73	1.431
south korea	73	1.431
economic crisis	72	1.425
climate change	71	1.419
lakh of students	71	1.419
modi govt	71	1.419
positivity rate	70	1.413
same time	70	1.413
good news	69	1.407
few month	68	1.401
executive order	67	1.395
college football	67	1.395
federal government	67	1.395
infectious disease	67	1.395
coronavirus response	67	1.395
spread of #covid19	67	1.395
health official	65	1.383
covid-19 testing	64	1.377
exam centre	64	1.377
human right	64	1.377
task force	64	1.377
next week	63	1.372
convalescent plasma	63	1.372
need #blood type	62	1.366
need #blood	62	1.366
school district	62	1.366
new death	62	1.366
blood component	62	1.366
speedy recovery	62	1.366
covid situation	61	1.360
clinical trial	61	1.360
final year	61	1.360
bill gates	60	1.354
case of coronavirus	60	1.354
hunger strike	60	1.354
conspiracy theory	59	1.348
covid-19 outbreak	59	1.348
press conference	59	1.348
health crisis	58	1.342
ten of thousands	58	1.342
total case	58	1.342
next year	58	1.342
compartment exam	57	1.336
coronavirus infection	57	1.336
ve #covid19 recovered patient	56	1.330
ve #covid19	56	1.330
high risk	56	1.330
covid response	56	1.330
life of students	56	1.330
number of cases	55	1.324
boris johnson	55	1.324
coronavirus crisis	55	1.324
many student	55	1.324
lakh student	55	1.324
corona pandemic	54	1.319
number of people	54	1.319
few week	54	1.319
health expert	54	1.318
covid19 pandemic	53	1.313
covid-19 infection	53	1.313
healthcare worker	53	1.313
long term	52	1.307
blue state	52	1.307
covid testing	52	1.307
prime minister	52	1.307
coronavirus test	51	1.301
new coronavirus case	50	1.295
infection rate	50	1.295
only thing	50	1.295
community transmission	50	1.295
relief package	50	1.295
first day	49	1.289
face covering	49	1.289
south africa	49	1.289
hong kong	49	1.289
entrance exam	49	1.289
jee neet	49	1.289
physical distancing	48	1.283
american life	48	1.283
covid outbreak	48	1.283
positive test	48	1.283
care worker	47	1.277
few day	47	1.277
mortality rate	47	1.277
immune system	47	1.277
coronavirus testing	46	1.271
herman cain	46	1.271
mail-in voting	46	1.271
pandemic p	46	1.271
new study	45	1.265
hard time	45	1.265
bts lockdown	44	1.260
cause of death	44	1.260
long time	44	1.260
kamala harris	44	1.260
cases today	43	1.254
tax cut	43	1.254
close contact	43	1.254
many state	43	1.254
humble request	43	1.254
novel coronavirus	43	1.254
right thing	43	1.254
midst of a pandemic	43	1.254
breaking news	43	1.254
