Item	Frequency	Score
white house	805	5.663
social distancing	732	5.240
president trump	519	4.006
donald trump	467	3.705
new case	418	3.421
covid case	407	3.357
covid-19 case	395	3.288
public health	395	3.288
joe biden	386	3.236
coronavirus case	365	3.114
covid test	356	3.062
health care	314	2.819
covid-19 pandemic	296	2.714
covid relief	289	2.674
covid death	283	2.639
mental health	264	2.529
united states	255	2.477
coronavirus pandemic	254	2.471
herd immunity	253	2.465
global pandemic	239	2.384
american people	228	2.321
many people	208	2.205
covid patient	207	2.199
middle of a pandemic	206	2.193
wearing mask	192	2.112
last week	185	2.072
covid-19 palliative	179	2.037
trump administration	171	1.990
nursing home	166	1.961
corona virus	164	1.950
national lockdown	163	1.944
task force	162	1.938
new coronavirus	150	1.869
second wave	148	1.857
first time	147	1.851
covid-19 test	147	1.851
social distance	146	1.846
small business	145	1.840
face mask	144	1.834
dr. fauci	144	1.834
covid-19 vaccine	144	1.834
loved one	142	1.822
super spreader	138	1.799
boris johnson	137	1.794
last night	130	1.753
relief bill	128	1.741
new zealand	124	1.718
covid-19 death	124	1.718
trump campaign	124	1.718
next week	116	1.672
death toll	116	1.672
pandemic response	114	1.660
positive test	113	1.655
mask mandate	113	1.655
social medium	111	1.643
mike pence	110	1.637
death rate	110	1.637
first lady	109	1.631
walter reed	109	1.631
new coronavirus case	104	1.602
china virus	104	1.602
hope hicks	103	1.597
test result	102	1.591
supreme court	102	1.591
mitch mcconnell	102	1.591
contact tracing	101	1.585
trump rally	100	1.579
other country	99	1.573
coronavirus relief	98	1.568
covid-19 relief	97	1.562
lindsey graham	97	1.562
covid-19 patient	96	1.556
covid vaccine	93	1.539
close contact	90	1.521
young people	90	1.521
election day	89	1.515
coronavirus vaccine	89	1.515
few day	88	1.510
climate change	86	1.498
active case	85	1.492
coronavirus outbreak	83	1.481
care home	81	1.469
covid response	80	1.463
last month	80	1.463
other people	79	1.458
speedy recovery	79	1.458
covid restriction	78	1.452
infectious disease	78	1.452
new death	78	1.452
coronavirus infection	78	1.452
coronavirus task force	78	1.452
last year	77	1.446
few week	76	1.440
presidential debate	76	1.440
family member	75	1.434
health expert	75	1.434
amy coney barrett	74	1.429
covid crisis	74	1.429
positivity rate	74	1.429
pre-existing condition	74	1.429
senate republicans	74	1.429
covid outbreak	73	1.423
cdc guideline	73	1.423
circuit breaker	72	1.417
stay home	72	1.417
big deal	72	1.417
infection rate	72	1.417
confirmed case	72	1.417
few month	72	1.417
good news	71	1.411
chris christie	71	1.411
positive case	71	1.411
health official	70	1.405
new york	70	1.405
coronavirus test	69	1.400
fox news	68	1.394
relief package	68	1.394
same time	67	1.388
covid pandemic	66	1.382
secret service	66	1.382
healthcare worker	65	1.376
president donald trump	65	1.376
covid infection	65	1.376
chief of staff	65	1.376
single day	65	1.376
covid relief bill	65	1.376
fake news	65	1.376
president @realdonaldtrump	64	1.371
coronavirus death	64	1.371
last time	64	1.371
covid-19 infection	63	1.365
negative test	63	1.365
covid-19 outbreak	63	1.365
new study	63	1.365
kamala harris	63	1.365
only thing	63	1.365
coronavirus task	63	1.365
second lockdown	62	1.359
deadly pandemic	61	1.353
covid19 palliative	61	1.353
conspiracy theory	60	1.348
prime minister	60	1.348
contact trace	59	1.342
hundred of thousands	59	1.342
deadly virus	59	1.342
full lockdown	59	1.342
human right	57	1.330
kellyanne conway	57	1.330
federal government	56	1.324
flu season	56	1.324
stephen miller	56	1.324
ðÿ ̃	56	1.324
excess death	55	1.319
high risk	55	1.319
pcr test	54	1.313
press conference	54	1.313
trump admin	53	1.307
vaccine trial	52	1.301
supreme court nominee	52	1.301
covid-19 restriction	51	1.295
spreader event	51	1.295
superspreader event	50	1.290
coronavirus response	50	1.290
health insurance	50	1.290
coronavirus restriction	50	1.290
immune system	50	1.290
face covering	49	1.284
number of people	49	1.284
antibody cocktail	49	1.284
new lockdown	49	1.284
jared kushner	49	1.284
breaking news	49	1.284
nancy pelosi	48	1.278
ten of thousands	48	1.278
mark meadows	48	1.278
next year	48	1.278
people''s life	48	1.278
trump supporter	48	1.278
republican party	47	1.272
new england journal	47	1.272
super spreader event	47	1.272
campaign rally	47	1.272
high school	47	1.272
lot of people	47	1.272
world leader	47	1.272
cases today	47	1.272
