Item	Frequency	Score
omicron	6462	3326.277
covid	17660	1972.380
ðÿ	939	534.152
unvaccinated	1024	472.697
vaccinate	2896	444.124
vaxxed	492	292.303
vax	534	246.220
vaccine	9207	225.788
fauci	477	209.419
lockdown	2017	182.684
booster	1786	173.504
pfizer	764	163.284
jab	841	148.271
pandemic	5037	145.528
covid19	265	114.422
unvaxxed	185	112.613
cdc	1453	111.640
moderna	244	111.292
n95	240	106.395
variant	3164	99.315
hospitalisation	231	96.286
biden	1337	87.080
covid-19	4189	83.771
anti-vaxxer	141	78.645
vaccination	1180	76.813
al-yamani	123	74.674
vaxed	118	72.044
corona	422	71.892
hospitalization	439	68.430
govt	512	67.543
sars-cov-2	184	62.123
ivermectin	116	59.289
icu	294	57.081
boris	506	57.068
ppl	268	56.856
mask	2814	54.895
transmissible	114	54.746
desantis	130	54.344
retweet	139	54.045
breaking	450	53.964
xmas	198	50.801
myocarditis	92	49.316
passport	1008	48.736
mandate	1770	48.252
vaxx	75	46.193
pcr	321	45.306
downing	199	43.646
quarantine	448	43.590
anti-vax	73	42.761
nasser	139	41.712
asymptomatic	158	41.008
immunity	619	40.024
pre-pandemic	73	39.060
coronavirus	866	38.615
anti-vaccine	70	37.848
jandj	61	37.807
rogan	87	37.470
gov	190	35.705
kn95	58	35.390
at-home	98	34.755
mild	904	34.000
unvaxed	54	33.550
âtm	55	33.417
contagious	183	33.346
ðÿš	53	32.975
whitty	60	32.041
misinformation	177	31.415
ï	164	31.367
covid-related	56	31.061
distancing	224	30.674
hospitalise	77	30.661
mrna	182	30.415
flu	547	30.151
delta	784	29.355
reinfection	53	29.226
aktu	47	29.191
ðÿtm	47	29.117
âœ	47	28.816
yoongi	49	28.614
hospitalize	173	28.243
psaki	48	28.087
hcw	47	26.835
tory	261	26.729
ट	43	25.847
इन_पर	41	25.751
एक	41	25.559
biontech	45	25.488
n95s	41	25.433
no10	42	25.290
virus	1565	25.250
non-covid	41	24.941
ffp2	40	24.871
monoclonal	89	24.780
य	45	24.745
antivaxxer	39	24.303
positivity	101	24.276
ष	41	24.270
maskless	40	24.236
sunak	43	24.171
immunocompromised	50	23.921
javid	49	23.905
क	46	23.605
starmer	44	23.574
omarion	38	23.211
post-covid	42	22.796
wuhan	84	22.768
omnicron	36	22.668
infect	394	22.480
mutate	119	21.917
astrazeneca	60	21.913
gauteng	49	21.658
lmao	56	21.583
tories	86	21.066
perrottet	34	20.873
usafacts	33	20.873
spreader	59	20.691
outbreak	537	20.652
pharma	167	20.500
surge	484	20.480
dose	943	19.603
polio	100	19.438
hesitancy	41	19.370
nhs	525	19.108
suga	36	19.040
kyrie	47	19.019
namjoon	31	18.954
icus	35	18.932
symptomatic	89	18.882
vaers	32	18.826
paxlovid	29	18.507
ðÿž	29	18.466
vaxxer	29	18.419
rt	216	18.326
lft	32	18.285
christma	61	18.220
post-pandemic	33	18.111
yall	42	18.033
superspreader	29	18.008
virologist	34	17.824
drakeford	30	17.792
transmissibility	30	17.752
wtf	83	17.604
mccullough	51	17.573
idk	53	17.555
antigen	131	17.542
pre-covid	31	17.522
sniffle	41	17.498
c19	31	17.371
ventilator	74	17.232
manchin	35	17.200
sajid	35	17.088
fck	28	17.064
epidemiologist	50	16.925
bullshit	128	16.917
lockdowns	27	16.904
non-arab	31	16.779
unjabbed	26	16.695
smh	37	16.503
ramaphosa	31	16.403
cases	52	16.339
maga	36	16.207
à	101	16.131
imam	140	15.991
moronic	36	15.909
restriction	880	15.838
anti-lockdown	25	15.760
fuck	776	15.749
pro-vaccine	25	15.681
ð	30	15.592
nyc	262	15.543
infection	1071	15.516
hysteria	75	15.473
kf94	24	15.466
ffs	37	15.428
rollout	80	15.382
moron	78	15.274
postpone	206	15.256
sturgeon	67	15.228
hosp	31	15.165
tfg	27	15.081
disinformation	64	15.072
shit	436	14.961
bts	49	14.936
scaremongering	27	14.674
hepa	34	14.667
candace	39	14.652
self-isolation	29	14.646
anti	164	14.485
sick	728	14.403
airborne	146	14.398
confirmed	37	14.379
ðÿ1	22	14.275
eua	26	14.269
mahdi	40	14.247
âž	22	14.236
anti-covid	22	14.156
pls	35	14.068
antiviral	53	13.714
long-covid	21	13.654
novavax	22	13.614
walensky	21	13.566
antibody	252	13.551
anti-vaxx	21	13.522
bioweapon	24	13.364
infected	168	13.204
ukhsa	20	13.074
p_mcculloughmd	20	13.074
rort	21	12.998
tryna	22	12.942
msm	71	12.908
antivax	20	12.904
ppe	57	12.893
christmas	1305	12.885
nigga	31	12.876
coronaviruse	23	12.802
clot	88	12.750
rishi	33	12.695
epidemic	211	12.675
ग	21	12.630
spread	1583	12.480
कररह	19	12.470
lebron	54	12.445
boostered	19	12.429
neutralization	27	12.385
qr	65	12.378
icymi	20	12.124
deadly	312	12.069
ल	21	12.059
self-isolate	23	12.004
molnupiravir	18	11.859
xma	25	11.787
tablighi	19	11.779
curfew	52	11.723
tweet	368	11.705
pfizer-biontech	18	11.683
morrison	136	11.638
sinovac	18	11.611
irresponsible	77	11.583
tyranny	86	11.582
isolation	260	11.554
raab	24	11.552
severity	164	11.385
hochul	18	11.384
mongering	24	11.319
gqp	17	11.241
bruh	18	11.221
allaah	31	11.212
coetzee	22	11.207
hydroxychloroquine	21	11.098
pericarditis	19	11.080
denier	40	11.034
blasio	30	11.030
swab	45	10.980
cancel	532	10.890
profiteer	30	10.855
kroger	30	10.851
keir	23	10.812
gop	179	10.789
anti-science	20	10.634
aspirant	37	10.633
nsw	245	10.626
unscientific	27	10.620
tracing	38	10.598
indoors	102	10.595
र	21	10.585
ji	56	10.552
regeneron	18	10.551
covaxin	16	10.539
floridian	27	10.539
mohammed	121	10.529
smallpox	42	10.487
selfish	108	10.480
super-spreader	16	10.411
covid-positive	16	10.406
anti-mask	16	10.402
reinfected	16	10.353
listerine	17	10.340
infectious	166	10.310
nah	45	10.251
preventable	46	10.237
merry	118	10.203
wk	32	10.201
incompetence	51	10.200
idiot	161	10.115
authoritarianism	29	10.109
tyrannical	31	10.071
pro-covid	15	10.054
varient	16	10.054
unvax	15	10.051
positive	1632	10.002
fda	234	9.995
symptom	779	9.969
ã	16	9.946
ffp3	15	9.942
plandemic	15	9.905
modi	93	9.791
stfu	17	9.780
scotus	24	9.739
omg	59	9.718
c-19	15	9.713
cough	153	9.701
intubate	17	9.681
fearmongering	16	9.656
ontarians	17	9.629
ccp	43	9.628
lnp	20	9.628
immunize	26	9.600
bro	66	9.571
dems	50	9.547
nft	16	9.509
re-infection	15	9.475
precaution	114	9.464
nye	30	9.459
comirnaty	14	9.451
ltc	26	9.436
lmfao	16	9.420
covidiot	14	9.411
respirator	31	9.408
az	77	9.405
sciencetm	14	9.398
sa	162	9.383
disgusting	66	9.377
furlough	37	9.339
marjorie	38	9.339
amid	204	9.301
jin	54	9.298
neg	21	9.260
fyi	40	9.256
johnson	674	9.255
ventilation	107	9.248
shameful	49	9.244
ventilate	37	9.230
fentanyl	29	9.228
virulent	28	9.201
leyen	16	9.177
test	3992	9.138
frontline	68	9.119
runny	25	9.100
rapid	473	9.082
preprint	21	9.054
pathetic	74	9.046
prolong	54	9.045
gaslighting	15	8.997
wh	39	8.986
birx	14	8.952
angelique	19	8.945
measles	53	8.935
rampant	67	8.924
panic	197	8.924
omicron-related	13	8.848
kep1er	13	8.848
ocgn	13	8.843
oðÿ	13	8.842
aande	13	8.841
yr	113	8.838
nicola	51	8.835
comorbiditie	21	8.802
kenney	26	8.766
gonna	291	8.755
welp	15	8.753
rees-mogg	15	8.740
nightclub	68	8.737
malone	44	8.728
brentford	25	8.722
unwell	28	8.718
immune	285	8.677
trudeau	44	8.677
rn	75	8.645
mask-wearing	14	8.631
mp	316	8.628
defund	20	8.601
sars	28	8.582
vacc	13	8.535
stupidity	52	8.531
umar	30	8.513
armys	13	8.500
hoax	55	8.481
unmask	28	8.436
shot	953	8.427
rabi	16	8.423
dec	249	8.386
conspiracy	202	8.353
gvt	13	8.350
breakthrough	132	8.300
merck	34	8.291
kellogg	34	8.282
rule-breaking	13	8.275
socialise	29	8.267
coercion	43	8.257
meadows	55	8.249
al-yemeni	12	8.226
jee	19	8.213
qanon	14	8.173
trump	982	8.113
nyt	33	8.068
reminder	205	8.067
awwal	12	8.045
hospital	1625	8.020
isolating	19	8.016
zahawi	12	8.014
appt	18	8.009
boost	480	7.988
dem	55	7.957
isolate	230	7.944
mandatory	204	7.935
jimin	13	7.921
â	210	7.906
internment	27	7.876
niaid	16	7.868
mf	37	7.861
theorist	65	7.849
upsc	17	7.826
walk-in	51	7.821
yg	14	7.793
postponement	25	7.786
remdesivir	13	7.783
self-quarantine	13	7.766
tf	38	7.766
underreport	16	7.741
downplay	35	7.740
efficacy	124	7.674
ivm	12	7.663
pox	20	7.658
neutralize	46	7.657
sotrovimab	11	7.641
pre-omicron	11	7.641
mouthwash	17	7.635
pro-lockdown	11	7.634
sars2	11	7.629
scamdemic	11	7.612
ace2	12	7.607
weverse	11	7.603
overwhelmed	21	7.589
anagram	18	7.587
lakh	64	7.566
nvax	11	7.546
testing	766	7.544
atagi	11	7.542
newsom	23	7.524
potus	17	7.498
death	2492	7.488
