Item	Frequency	Score
covid	11987	2220.688
vaccinate	2134	542.796
unvaccinated	535	409.757
vax	457	349.207
fauci	303	220.620
vaxxed	214	211.167
pandemic	4358	208.833
ivermectin	244	204.787
lockdown	1295	194.547
covid19	259	185.059
vaccine	4465	181.637
ðÿ	188	178.022
moderna	193	145.786
pfizer	393	139.375
jab	462	135.134
covid-19	3985	132.169
vaccination	1133	122.275
wuhan	263	116.397
unvaxxed	85	86.063
vaxx	83	83.962
cdc	651	83.002
corona	289	81.630
desantis	115	79.422
booster	489	78.886
anti-vaxxer	81	74.984
myocarditis	82	72.494
icu	221	71.095
govt	309	67.616
sars-cov-2	118	66.049
hospitalization	235	60.791
pre-pandemic	69	60.749
retweet	92	59.273
vaxed	58	58.923
jandj	57	58.050
mask	1775	57.436
gain-of-function	59	55.987
yg	60	50.365
biden	450	48.664
post-pandemic	55	48.543
coronavirus	647	47.837
misinformation	163	47.835
distancing	210	47.575
breaking	238	47.367
mandate	1029	46.533
ppl	131	46.165
hospitalisation	66	45.993
immunity	421	45.140
flu	482	44.028
merck	113	43.970
sajid	54	42.529
javid	53	42.269
anti-vax	42	40.852
n95	53	39.435
hospitalize	138	37.284
immunocompromised	47	36.869
immensa	36	36.819
gov	113	35.227
bolsonaro	56	34.796
ivm	36	34.437
molnupiravir	32	33.023
pre-covid	36	32.929
passport	409	32.828
rogan	45	32.248
icymi	33	31.572
covid-related	34	31.276
post-covid	34	30.313
non-covid	30	30.065
unvaxed	28	28.995
ecohealth	29	28.795
pcr	122	28.648
psaki	29	28.146
powell	236	25.998
anti-vaxx	25	25.738
disinformation	65	25.131
quarantine	155	25.085
dewormer	25	24.790
hospitalise	37	24.570
virus	912	24.408
rt	172	24.161
birx	24	23.711
hydroxychloroquine	28	23.561
pharma	113	22.984
anti-covid	22	22.828
biontech	24	22.652
plz	45	22.570
sunak	24	22.444
vaers	23	22.267
kyrie	33	22.044
tory	129	21.944
outbreak	341	21.750
starmer	24	21.410
asymptomatic	49	21.302
c19	23	21.175
hesitancy	27	21.090
blackpink	21	20.974
coronaviruse	23	20.669
anti-lockdown	20	20.593
cavuto	23	20.480
ó	70	20.454
bvlgari	22	20.355
fda	288	20.331
maskless	20	20.265
preventable	55	19.953
monoclonal	43	19.949
cop26	20	19.936
walensky	19	19.864
pfizer-biontech	19	19.717
cases	38	19.699
billionaire	96	19.315
jcvi	19	19.295
anti-vaccine	21	19.274
ffs	28	19.198
jair	23	19.018
intubate	21	18.936
lisa	267	18.875
harries	21	18.865
dose	544	18.759
nih	123	18.642
delta	299	18.593
anti-mask	18	18.566
infect	195	18.472
mrna	65	18.130
polio	56	18.079
jacinda	22	18.058
ventilator	46	17.757
nhs	294	17.753
ji	57	17.607
boris	93	17.528
perrottet	17	17.477
ardern	24	17.439
lmao	27	17.385
myeloma	32	17.347
fluvoxamine	17	17.223
newsom	33	17.210
maga	23	17.133
eua	19	17.115
unmask	35	16.986
antivaxxer	16	16.855
reinfection	18	16.851
ppe	45	16.772
colin	167	16.756
antiviral	39	16.648
antibody	186	16.571
epidemic	166	16.511
transmissible	20	16.488
kavanaugh	43	16.185
berejiklian	17	16.115
comorbiditie	24	16.110
leni	19	16.022
pro-covid	15	16.018
usafact	15	16.015
daszak	15	15.735
bts	31	15.650
namo	17	15.641
contagious	51	15.576
clot	65	15.569
icus	17	15.420
infection	639	15.356
ucp	18	15.113
youngkin	14	14.955
nsw	205	14.721
abbott	78	14.615
yall	20	14.387
crore	101	14.128
positivity	35	14.121
tritt	14	14.115
remdesivir	15	14.093
ðÿš	13	14.009
variant	268	13.998
oan	14	13.990
vaxxer	13	13.951
shib	13	13.820
plandemic	13	13.809
restriction	462	13.797
draconian	31	13.772
rollout	43	13.748
sushant	15	13.708
lockdowns	13	13.697
brexit	149	13.594
spreader	23	13.579
ù	13	13.541
mishandle	23	13.521
symptomatic	38	13.474
merch	19	13.455
floridian	21	13.420
pls	20	13.367
vaccine-induced	13	13.364
virologist	15	13.265
hcq	13	13.173
virology	20	13.136
drakeford	13	13.051
shortage	190	13.045
atandt	12	12.985
covidiot	12	12.960
al-yamani	12	12.916
globalist	21	12.905
ccp	35	12.874
covaxin	12	12.870
clarida	12	12.749
gladys	28	12.685
msm	42	12.671
frontline	57	12.595
c-19	12	12.573
ay	28	12.557
gaslighting	13	12.543
robredo	13	12.533
armys	12	12.505
tyranny	56	12.493
airborne	76	12.454
wtf	35	12.417
mismanagement	28	12.368
denier	27	12.302
ventilation	86	12.283
द	13	12.255
i-mask	11	12.013
politicize	19	11.998
tories	29	11.959
bullshit	54	11.903
lifesite	11	11.843
astrazeneca	19	11.790
wef	15	11.755
super-spreader	11	11.736
sputnik	20	11.666
jimin	12	11.653
diwali	22	11.529
qr	36	11.396
sick	347	11.394
measles	41	11.389
heartbreaking	32	11.291
draymond	12	11.230
facemask	13	11.210
defund	16	11.198
nypd	24	11.173
oct	176	11.153
yr	86	11.124
mismanage	15	11.045
obr	12	11.032
pandemic-related	11	11.017
surveyj	10	11.014
longcovid	10	11.013
unvax	10	11.009
gqp	10	10.992
hcw	11	10.977
authoritarianism	19	10.939
hoax	43	10.924
rolovich	10	10.923
inoculate	20	10.891
moh	15	10.871
epidemiologist	19	10.869
gof	12	10.836
tedros	11	10.793
ltc	18	10.752
infected	82	10.715
death	2148	10.704
aspirin	33	10.643
pincode	10	10.627
anti-science	12	10.587
vic	59	10.570
kenney	19	10.514
curfew	28	10.509
shit	184	10.490
tfg	11	10.474
nigga	15	10.464
pill	124	10.460
at-home	17	10.412
breakthrough	100	10.404
omg	38	10.364
rona	13	10.305
deadly	160	10.276
tweet	194	10.242
surge	145	10.213
न	11	10.152
bro	42	10.089
sars	20	10.080
frydenberg	10	10.067
pneumonia	46	10.054
cov	11	10.029
mixandmatch	9	10.011
aande	9	10.004
insurrectionist	10	9.996
sicken	18	9.982
ह	10	9.974
pox	16	9.970
anti-masker	9	9.943
nphet	9	9.920
albertan	11	9.912
ventilate	24	9.901
antivax	9	9.882
spread	754	9.863
anti	67	9.862
âœ	9	9.822
gop	98	9.807
retweeting	10	9.797
vallance	10	9.785
mayorkas	9	9.736
reinfected	9	9.725
tyrannical	18	9.719
qld	28	9.684
insan	9	9.681
ø	16	9.606
burr	29	9.593
overreach	16	9.582
phe	13	9.568
mazi	9	9.564
stfu	10	9.564
smallpox	23	9.563
respirator	19	9.556
hepa	13	9.551
bioweapon	10	9.503
mcauliffe	13	9.409
tbh	16	9.380
manchin	11	9.339
cnn	94	9.284
ahs	14	9.276
whistleblower	35	9.259
flatten	51	9.239
smh	12	9.205
pediatrician	24	9.150
trudeau	28	9.141
mix-and-match	9	9.134
shameful	29	9.081
wk	17	9.049
mitigation	75	9.047
complication	126	9.027
lft	9	9.011
comirnaty	8	9.011
icac	10	9.004
fully-vaccinated	8	8.998
stay-at-home	16	8.997
rsv	13	8.996
priti	9	8.974
covishield	8	8.968
panic	119	8.941
nft	9	8.932
ladapo	8	8.923
modi	51	8.922
coercion	28	8.894
dems	28	8.890
capita	46	8.853
bbmp	9	8.841
sinovac	8	8.817
immuno-compromised	8	8.809
endemic	45	8.809
jungkook	9	8.805
covid-positive	8	8.797
immune	174	8.787
pfw	8	8.765
coverup	11	8.748
walgreens	13	8.706
mercifully	13	8.706
hysteria	25	8.705
jabs	8	8.702
die	1612	8.697
wear	968	8.663
drugmaker	10	8.653
fuck	256	8.633
fatality	47	8.621
whitty	9	8.619
anti-viral	10	8.616
incl	12	8.610
post-lockdown	8	8.594
irresponsible	34	8.549
rishi	13	8.506
viganò	8	8.501
nyt	21	8.495
shot	579	8.493
salmonella	20	8.487
backlog	28	8.474
davante	8	8.450
wh	22	8.432
presser	11	8.419
morrison	59	8.414
incompetence	25	8.354
mump	9	8.350
dystopian	16	8.349
nuremberg	20	8.347
fear-mongering	9	8.286
lazard	9	8.285
moron	25	8.269
coerce	24	8.080
toll	119	8.047
disgusting	34	8.046
pmoi	8	8.032
kainkariyam	7	8.010
balaji187-1	7	8.010
okhdfcbank	7	8.009
pericarditis	8	8.006
keir	10	8.000
enhypen	7	7.990
complicit	17	7.989
in-n-out	8	7.988
airlines	67	7.981
misinform	13	7.978
pandemic-era	7	7.958
bnt162b2	7	7.938
jisoo	7	7.919
य	8	7.917
covid-free	7	7.904
antiscience	7	7.894
cv19	7	7.888
bs	51	7.887
melb	8	7.881
shambolic	8	7.869
aerosol	32	7.861
ï	24	7.852
propaganda	100	7.851
nahi	8	7.842
insurrection	19	7.830
nnamdi	8	7.826
bombshell	14	7.798
covid-19-related	8	7.789
infectious	75	7.752
alberta	89	7.749
influenza	47	7.730
randox	7	7.730
hosp	9	7.702
sweden	126	7.699
covid-safe	7	7.649
willfully	15	7.639
plummet	27	7.634
fck	7	7.634
skiba	7	7.625
mandatory	118	7.616
sept	45	7.608
jnj	7	7.560
incompetent	29	7.542
tracing	16	7.535
idiot	72	7.530
exemption	97	7.529
nonsense	65	7.518
immunize	12	7.484
life-saving	19	7.463
crowdfund	7	7.436
viral	80	7.435
g20	21	7.391
unscientific	11	7.376
lnp	9	7.373
inequity	20	7.358
sinema	7	7.358
reopen	76	7.357
wane	29	7.356
potus	10	7.332
doocy	7	7.319
mongering	9	7.317
dumbass	9	7.315
authoritarian	31	7.312
ipob	7	7.311
complacent	15	7.304
indoors	42	7.290
nah	19	7.289
icmr	7	7.258
avoidable	14	7.246
liar	42	7.245
kanu	8	7.230
untested	13	7.228
dem	30	7.222
furlough	17	7.213
น	7	7.183
disha	7	7.167
perumal	7	7.127
fact-check	7	7.107
mislead	81	7.105
insane	62	7.099
herd	75	7.082
jen	26	7.078
disinfo	7	7.076
congratulations	13	7.070
bungle	10	7.053
vaxd	6	7.008
y145h	6	7.008
economically-catastrophic	6	7.008
unjabbed	6	7.008
kmedia	6	7.007
vaxxing	6	7.006
zero-covid	6	7.003
school-aged	9	7.001
ysl	7	6.993
ssr	12	6.988
abt	15	6.984
tandt	6	6.982
wanna	58	6.973
normalcy	12	6.973
vrbpac	6	6.972
loadshedding	6	6.942
half-term	7	6.941
jennie	14	6.920
ke	17	6.913
anti-vaxer	6	6.901
asap	28	6.890
kn95	6	6.887
nasser	13	6.886
politicization	8	6.872
conspiracy	100	6.872
weaponized	8	6.871
cough	65	6.867
rikers	7	6.866
kwarteng	6	6.863
brett	41	6.857
amess	6	6.856
rdif	6	6.852
evander	7	6.849
saskatchewan	36	6.828
superspreader	6	6.819
ang	14	6.817
needlessly	13	6.806
pres	12	6.805
antigen	30	6.800
scaremongering	7	6.794
all-cause	8	6.787
lol	137	6.786
confirmed	10	6.786
texans	22	6.785
hospital	826	6.763
vacc	6	6.761
punjabi	14	6.741
shri	20	6.740
scandinavia	17	6.733
insanity	28	6.731
co-morbiditie	7	6.729
vigano	6	6.727
sanjay	14	6.708
ur	37	6.687
markson	6	6.685
polsky	6	6.683
day1	6	6.682
kid	791	6.675
downplay	18	6.654
niaid	8	6.651
disgrace	29	6.637
fyi	17	6.634
gp	88	6.629
mutate	21	6.628
scalper	7	6.617
nz	61	6.585
masker	6	6.580
single-day	7	6.567
cbc	33	6.567
gunfire	17	6.562
rn	34	6.547
reminder	100	6.540
yep	37	6.539
normalise	10	6.522
dey	11	6.518
buying	49	6.512
milestone	73	6.503
journo	7	6.495
ve	26	6.485
vit	9	6.475
esp	27	6.471
rampant	29	6.468
nope	27	6.466
contagion	12	6.417
hancock	28	6.403
idk	11	6.393
trumper	6	6.393
blame	210	6.385
sotomayor	9	6.380
stupidity	23	6.329
refuse	367	6.315
amid	83	6.301
cuz	21	6.295
weaponization	6	6.283
fully	589	6.267
fb	24	6.263
far-right	15	6.253
theorist	31	6.250
serco	7	6.236
administer	139	6.226
veritas	10	6.218
navratri	6	6.197
efficacy	60	6.180
spike	108	6.176
ivanka	8	6.146
stupid	139	6.146
irl	9	6.135
murthy	7	6.127
brainwash	15	6.126
sniffle	8	6.123
unconscionable	9	6.119
schoolchildren	12	6.117
goalpost	7	6.106
rml	6	6.104
rees-mogg	6	6.092
lga	9	6.090
mccullough	10	6.089
mp	134	6.082
recklessly	10	6.078
sayin	9	6.074
johnson	266	6.067
bharat	13	6.066
antifa	8	6.060
convivial	7	6.046
wiggins	11	6.045
nightclub	28	6.033
coronaviru	6	6.029
unproven	11	6.025
shocking	46	6.020
cking	7	6.014
bostapp	5	6.006
covid-recovered	5	6.006
lands-that	5	6.006
honsla	5	6.005
hwiyoung	5	6.005
hhs	19	6.005
bloxburg	5	6.002
vaxxine	5	6.002
武汉	5	6.001
kf94	5	5.998
yunhong	5	5.993
popn	5	5.974
sciencetm	5	5.973
clayco	5	5.971
uct	6	5.971
eff	12	5.965
pl	37	5.965
dawon	5	5.960
politicized	7	5.955
longterm	8	5.954
coz	11	5.945
attacca	5	5.936
diphtheria	8	5.932
thrombocytopenia	7	5.928
dapat	5	5.928
albertans	6	5.924
rakh	5	5.923
lifesaving	11	5.913
shehnaaz	5	5.906
natin	5	5.901
mis-c	5	5.895
baric	5	5.895
disproportionately	19	5.894
pregnant	113	5.891
nagelsmann	5	5.870
non-vaccinate	5	5.866
equitably	8	5.861
unpaid	33	5.860
once-in-a-century	5	5.860
lahat	5	5.859
pro-vaccine	5	5.854
unwell	11	5.851
inslee	7	5.842
redfield	7	5.832
sanitizer	11	5.820
lithuania	25	5.818
frontliner	5	5.808
gupta	19	5.794
immunization	24	5.793
nurse	253	5.787
aiims	6	5.761
tho	27	5.747
trillion	65	5.732
भ	5	5.717
sauda	5	5.715
halloween	61	5.714
mek	8	5.714
shill	8	5.710
trespassing	9	5.706
sa	59	5.706
ม	5	5.689
profiteer	9	5.687
cancel	167	5.686
liye	5	5.685
dhsc	5	5.678
caseload	10	5.678
transmission	207	5.674
prager	6	5.666
scotus	8	5.666
tym	5	5.665
sars-cov	5	5.662
prolong	20	5.660
censorship	31	5.660
respiratory	58	5.654
self-isolate	6	5.652
nug	5	5.651
nondisabled	5	5.646
grisham	7	5.646
immunologist	6	5.645
davao	8	5.645
clown	32	5.643
naci	5	5.635
keegan	9	5.633
droplet	20	5.627
aucklander	5	5.622
skyrocket	17	5.618
doh	10	5.616
unnecessarily	18	5.616
americans	305	5.611
wiv	5	5.610
pagel	5	5.609
yrs	11	5.604
sask	6	5.591
tl	14	5.585
precaution	40	5.565
lawmakers	5	5.564
co-morbidity	5	5.560
marbella	7	5.556
reckless	26	5.548
ग	5	5.547
apartheid	21	5.536
tamaki	6	5.533
therapeutics	19	5.522
vac	11	5.518
zerohedge	5	5.518
dera	6	5.512
damn	104	5.510
emails	8	5.499
tyrant	20	5.492
ableism	5	5.487
mask-wearing	5	5.485
immunosuppressed	5	5.484
wld	5	5.480
pre	52	5.470
bc	123	5.467
despicable	12	5.466
mortality	80	5.452
appalling	18	5.449
sanitiser	6	5.443
ipac	5	5.434
trump	396	5.431
dipshit	5	5.428
hinshaw	5	5.408
shuri	5	5.406
kamala	9	5.400
anc	13	5.400
pre-planned	6	5.399
b4	9	5.396
sheeran	7	5.393
asshole	21	5.381
sop	12	5.373
fl	52	5.364
normality	9	5.350
ill	129	5.349
illness	178	5.347
taxpayer-funded	6	5.338
mannequin	9	5.337
ontarian	5	5.332
healthcare	232	5.331
masjid	10	5.315
preprint	7	5.302
trieste	8	5.295
murdoch	17	5.285
denialism	5	5.275
ko	22	5.266
pilcher	5	5.260
gonna	105	5.260
overwhelm	49	5.248
plexiglass	6	5.247
crt	14	5.236
nejm	5	5.228
acosta	8	5.228
comorbidity	6	5.226
uk	723	5.222
bozo	6	5.216
debilitating	14	5.209
clapton	9	5.200
wow	107	5.199
marburg	6	5.189
durga	8	5.185
jaylen	5	5.180
walk-in	20	5.173
nagy	7	5.165
crisis	332	5.165
mers	6	5.163
thrombotic	5	5.157
kilian	5	5.151
isolating	7	5.149
symptom	242	5.147
lacks	5	5.142
fascistic	5	5.140
inaction	13	5.134
hgv	6	5.133
blatant	19	5.128
dengue	11	5.128
protestor	16	5.125
kyaw	5	5.125
junta	11	5.116
vibes	13	5.108
handwashing	6	5.104
yup	15	5.092
underreport	6	5.090
wannabe	10	5.080
positive	499	5.078
dido	6	5.063
psyop	5	5.053
censor	27	5.051
rubella	7	5.041
त	5	5.039
horford	5	5.038
stitt	5	5.026
congratulation	52	5.024
gofundme	6	5.010
covid-causing	4	5.006
jimtober	4	5.006
double-vaxxed	4	5.006
ukhsa	4	5.006
sotrovimab	4	5.006
double-vaccinated	4	5.005
tbadn	4	5.005
pharmally	4	5.005
kierczak	4	5.005
wave-the	4	5.005
โคว	4	5.005
enzc	4	5.004
pro-immune	4	5.004
edoziem	4	5.004
kanawut	4	5.003
giacopini	4	5.003
covid-21	4	5.002
jandk	4	5.001
catanzara	4	5.001
fansign	4	4.999
undercount	5	4.998
lalisa	4	4.997
gorsuch	6	4.996
reported	12	4.993
pro-vax	4	4.991
âž	4	4.990
survivable	5	4.989
scamdemic	4	4.987
avg	12	4.986
