Item	Frequency	Score
covid-19 vaccine	889	6.776
covid vaccine	784	6.093
covid relief	673	5.372
social distancing	499	4.242
relief bill	372	3.417
coronavirus vaccine	360	3.339
covid death	311	3.020
public health	298	2.936
new case	293	2.904
health care	285	2.852
ðÿ ̃	271	2.761
covid case	265	2.722
covid-19 case	250	2.624
small business	237	2.540
covid relief bill	226	2.468
covid-19 pandemic	220	2.429
global pandemic	218	2.416
covid test	204	2.325
many people	199	2.293
united states	189	2.228
stimulus check	186	2.208
new year	184	2.195
healthcare worker	181	2.176
coronavirus case	173	2.124
covid patient	167	2.085
american people	166	2.078
coronavirus pandemic	162	2.052
loved one	156	2.013
mitch mcconnell	153	1.994
new strain	152	1.988
death toll	149	1.968
middle of a pandemic	146	1.949
first time	145	1.942
relief package	144	1.936
ï ̧	143	1.929
covid-19 relief	140	1.910
nursing home	138	1.897
last week	136	1.884
care worker	135	1.877
white house	132	1.858
wearing mask	132	1.858
social distance	130	1.845
herd immunity	129	1.838
president trump	128	1.832
mental health	128	1.832
new coronavirus	126	1.819
corona virus	124	1.806
health care worker	124	1.806
other country	115	1.747
next year	114	1.741
new variant	114	1.741
family member	112	1.728
donald trump	108	1.702
stay home	106	1.689
next week	105	1.682
covid restriction	105	1.682
last night	104	1.676
essential worker	99	1.643
death rate	99	1.643
coronavirus relief	97	1.630
second wave	96	1.624
face mask	95	1.617
covid-19 death	94	1.611
rudy giuliani	93	1.604
trump administration	90	1.585
holiday season	90	1.585
side effect	90	1.585
pandemic relief	89	1.578
new zealand	88	1.572
covid-19 vaccination	88	1.572
covid-19 test	86	1.559
social medium	84	1.546
federal government	84	1.546
last year	83	1.539
first dose	83	1.539
same time	83	1.539
new york	82	1.533
health official	81	1.526
lot of people	81	1.526
icu bed	79	1.513
active case	78	1.507
dr. fauci	78	1.507
long term	77	1.500
unemployment benefit	77	1.500
china virus	77	1.500
front line	76	1.494
boris johnson	75	1.487
vaccine distribution	73	1.474
good news	73	1.474
south africa	73	1.474
frontline worker	73	1.474
merry christmas	71	1.461
other people	70	1.455
coronavirus death	69	1.448
mask mandate	69	1.448
emergency use	69	1.448
stimulus bill	69	1.448
covid bill	68	1.442
covid-19 patient	68	1.442
human right	66	1.429
stay-at-home order	66	1.429
pandemic response	66	1.429
direct payment	65	1.422
care home	65	1.422
new death	65	1.422
covid stimulus	65	1.422
pcr test	64	1.416
national lockdown	64	1.416
clinical trial	62	1.403
joe biden	62	1.403
few week	62	1.403
few day	62	1.403
covid pandemic	62	1.403
hundred of thousands	61	1.396
positivity rate	61	1.396
sick leave	61	1.396
allergic reaction	60	1.390
vaccine dose	60	1.390
test result	60	1.390
single day	60	1.390
few month	60	1.390
infectious disease	59	1.383
