Item	Frequency	Score
covid vaccine	918	524.563
covid case	727	397.713
delta variant	541	329.386
covid-19 vaccine	687	287.984
mask mandate	498	273.015
covid patient	415	237.302
covid death	398	233.800
covid test	295	169.938
vaccine passport	241	147.153
vaccine mandate	238	142.841
vaccinated people	236	142.365
covid-19 case	426	135.670
covid-19 vaccination	199	118.269
icu bed	204	115.410
booster shot	187	107.334
ron desantis	163	97.968
natural immunity	163	92.235
covid vaccination	150	91.625
long covid	137	83.593
covid restriction	142	80.224
eviction moratorium	136	79.775
unvaccinated people	130	78.814
new case	363	71.715
vaccine dose	126	71.622
covid surge	111	68.075
biden administration	126	67.976
covid infection	112	67.207
vaccination rate	124	64.285
covid-19 patient	143	61.942
covid hospitalization	95	58.504
global pandemic	144	56.806
wearing mask	126	56.669
president biden	89	54.058
dose1 capacity	87	53.858
dose2 capacity	87	53.858
min age limit	87	53.849
covid outbreak	89	53.821
full approval	93	53.308
rand paul	103	51.969
pcr test	92	50.883
breakthrough case	82	50.713
pfizer vaccine	83	49.876
covid variant	80	49.603
covid passport	80	49.580
greg abbott	82	49.456
proof of vaccination	81	49.340
covid pandemic	89	49.146
coronavirus vaccine	92	48.644
vaccination status	82	48.273
covid treatment	78	48.154
social distancing	287	47.639
covid-19 infection	94	45.290
pin code	87	44.179
antibody treatment	73	43.834
coronavirus case	105	42.648
herd immunity	83	41.754
middle of a pandemic	69	41.530
covid number	67	41.272
positivity rate	75	40.388
covid relief	66	40.105
first dose	81	39.735
getting covid	63	39.219
covid crisis	68	38.819
covid-19 death	71	38.521
healthcare worker	111	38.478
covid response	63	38.313
covid protocol	62	37.900
covid policy	61	37.876
active case	82	37.753
stay home	68	37.601
covid jab	60	37.414
covid testing	62	37.326
monoclonal antibody treatment	59	36.614
new death	68	36.439
pandemic response	65	36.403
start of the pandemic	63	35.876
covid-19 test	70	34.398
breakthrough infection	54	33.657
deadly pandemic	55	33.462
covid lockdown	55	33.450
positive case	78	33.382
monoclonal antibody	105	32.986
vaccine booster	52	32.358
second dose	59	32.027
southern border	94	32.013
covid shot	51	31.967
covid-19 surge	51	31.385
new variant	60	31.186
covid spread	50	31.174
covid booster	48	30.162
hospital bed	93	29.952
mrna vaccine	49	29.918
super spreader	48	29.665
covid-19 hospitalization	48	29.571
covid symptom	48	29.544
covid misinformation	47	29.529
wuhan lab	47	29.333
cases today	48	29.037
n95 mask	51	28.963
corona virus	56	28.676
pmc p	44	27.733
daily case	47	27.452
new coronavirus	56	27.121
requiring mask	43	26.617
social distance	62	26.526
vaccine card	42	26.489
biden admin	42	26.483
covid denier	42	26.473
entire pandemic	41	25.818
vaccination card	41	25.589
covid vax	40	25.299
covid mandate	40	25.293
horse dewormer	40	25.292
scott morrison	45	25.095
joe biden	87	24.625
case number	61	24.434
china virus	39	24.322
people die	49	24.121
severe disease	47	23.857
mask wear	40	23.603
covid-19 restriction	48	23.487
vax rate	36	22.862
exposure site	36	22.648
health official	97	22.646
mask requirement	37	22.560
covid virus	36	22.493
third wave	47	22.486
covid-19 pandemic	190	22.399
fda approval	54	22.386
covid-19 booster	35	22.262
new coronavirus case	37	21.785
republican governor	47	21.730
severe illness	43	21.414
radio host	55	21.396
deadly virus	41	21.378
negative test	39	21.210
beginning of the pandemic	35	21.108
new covid	33	20.983
breaking news	80	20.777
emergency use	39	20.416
third dose	33	20.324
covid risk	32	20.283
anti-lockdown protest	32	20.272
covid update	32	20.205
covid rule	32	20.189
cases surge	32	20.006
school mask	31	19.825
banning mask	31	19.821
mask in schools	31	19.801
red state	43	19.713
fourth wave	32	19.520
coronavirus infection	37	19.393
personal choice	52	19.134
local case	32	19.082
cdc director	30	18.761
covid today	29	18.608
indoor mask	29	18.602
pfizer covid-19 vaccine	29	18.556
covid wave	29	18.550
covid ward	29	18.536
death rate	75	18.516
coronavirus death	31	18.417
covid-19 treatment	30	18.396
infection rate	45	18.176
covid situation	29	18.118
delta outbreak	28	18.012
lab leak	28	17.999
case rate	30	17.983
spreader event	28	17.922
covid positive	28	17.914
heart inflammation	28	17.898
full vaccination	28	17.872
big pharma	43	17.811
vaccinated person	28	17.767
free vaccine	28	17.638
cdc guideline	31	17.504
surgical mask	33	17.427
vaxxed people	27	17.404
covid-19 booster shot	27	17.403
spike protein	29	17.380
cloth mask	29	17.311
covid measure	27	17.273
death toll	81	17.194
boris johnson	49	16.864
wear mask	27	16.863
covid as weapon	26	16.797
covid vaccine mandate	26	16.796
phil valentine	26	16.759
face mask	67	16.748
vaccine hesitancy	27	16.747
case count	29	16.681
killing people	40	16.476
full lockdown	26	16.383
border crisis	26	16.196
wife bought stock	25	16.188
whole pandemic	25	16.122
unvaccinated kid	25	16.086
health measure	32	16.067
vaccine rollout	25	15.979
motorcycle rally	26	15.967
vaccination drive	25	15.941
covid-19 testing	31	15.922
liquid oxygen	29	15.911
wuhan institute	25	15.894
conspiracy theory	92	15.882
birthday bash	28	15.857
covid safety	25	15.848
underlying condition	31	15.759
mandatory vaccination	26	15.751
covid-19 outbreak	38	15.718
contact tracing	32	15.688
cdc study	25	15.661
covid disinformation	24	15.581
case of covid	24	15.567
anti vaxxer	24	15.529
health expert	44	15.464
blood clot	60	15.454
close contact	54	15.411
positive test	37	15.404
vaccine requirement	24	15.305
mass vaccination	26	15.300
lindsey graham	27	15.295
emergency use authorization	25	15.169
common cold	35	15.126
covid-19 update	27	15.068
mandate in schools	23	14.969
caleb wallace	23	14.969
coronavirus variant	23	14.968
delta surge	23	14.966
vaccine certificate	23	14.941
covid19 vaccine	23	14.930
unvaccinated patient	23	14.927
real pandemic	23	14.915
super spreader event	23	14.909
nsw govt	23	14.880
breaking report	23	14.880
covid precaution	23	14.810
booster dose	24	14.684
respiratory virus	25	14.628
nationwide lockdown	24	14.576
religious exemption	26	14.511
first lockdown	23	14.430
ban on mask mandates	22	14.366
covid booster shot	22	14.366
covid-19 vaccine mandate	22	14.362
essential worker	27	14.346
anti vax	22	14.342
total case	25	14.340
covid unit	22	14.302
testing site	28	14.272
raging pandemic	22	14.262
daily death	23	14.254
israeli study	22	14.189
health crisis	46	14.188
vaccine shot	22	14.160
birthday party	85	14.098
conservative radio	23	14.059
excess death	24	14.038
unvaccinated child	23	14.031
survival rate	53	14.004
underlying health	25	13.957
pediatric hospital	23	13.950
requiring proof	22	13.904
term effect	29	13.871
same people	62	13.858
covid-19 response	26	13.808
icu nurse	22	13.768
covid-19 vaccine booster	21	13.758
mask mandate in schools	21	13.757
zero covid	21	13.756
covid-19 variant	21	13.754
negative covid test	21	13.749
new covid case	21	13.739
covid cases	21	13.733
covid spike	21	13.715
fear mongering	24	13.711
mandating mask	21	13.692
covid19 case	21	13.686
poison control	23	13.684
covid hospital	21	13.678
vaccination clinic	22	13.648
speedy recovery	27	13.609
fox news	84	13.608
long term effect	27	13.604
gladys berejiklian	21	13.543
early treatment	26	13.534
vaccination site	21	13.529
covid-19 protocol	22	13.500
illegal immigrant	61	13.496
mild symptom	24	13.450
andrew cuomo	22	13.329
gop governor	21	13.325
viral load	38	13.316
use authorization	22	13.277
health care worker	37	13.274
covid-19 virus	25	13.273
related death	25	13.256
serious illness	39	13.248
hospitalization rate	22	13.213
unvaccinated teacher	20	13.151
variant spread	20	13.144
moderna covid-19 vaccine	20	13.130
anti-lockdown protester	20	13.107
frontline worker	24	13.100
florida hospital	21	13.099
experimental vaccine	21	13.000
single day	76	12.963
texas hospital	20	12.844
school board	96	12.821
effective vaccine	23	12.711
cdc guidance	20	12.674
mild case	23	12.610
covid yesterday	19	12.541
covid contract	19	12.539
covid stat	19	12.535
anti mask	19	12.531
high transmission	20	12.531
mandating vaccine	19	12.524
new local case	19	12.520
covid complication	19	12.518
covid antibody	19	12.517
nursing home	118	12.511
covid fear	19	12.511
marjorie taylor greene	19	12.505
open border	27	12.468
alex berenson	19	12.460
hard lockdown	19	12.451
school board meeting	22	12.337
handling of the pandemic	19	12.301
new daily case	19	12.296
conspiracy theorist	35	12.233
cdc datum	19	12.162
strict lockdown	19	12.141
pandemic hit	20	12.104
lockdown rule	19	12.089
contact trace	23	12.082
public health measure	21	12.011
rapid test	21	12.000
new available appointment	18	11.936
breakthrough covid	18	11.936
covid delta	18	11.936
anti lockdown	18	11.927
axie infinity	18	11.924
mask in school	18	11.923
delta plus	18	11.917
exo member	18	11.887
fear porn	18	11.879
universal mask	18	11.788
flu season	27	11.771
health minister	28	11.738
tucker carlson	20	11.733
covid time	18	11.666
regional nsw	19	11.662
telling people	34	11.630
death cult	19	11.607
care worker	44	11.599
available appointment	18	11.534
total death	20	11.524
nsw health	19	11.453
mass testing	18	11.413
vaccine effectiveness	18	11.386
pandemic situation	18	11.371
saving life	29	11.346
banning mask mandate	17	11.329
indoor mask mandate	17	11.326
lambda variant	17	11.325
spread covid	17	11.325
damn vaccine	17	11.323
hospital system	24	11.322
spreading covid	17	11.318
spreading misinformation	18	11.297
covid-19 shot	17	11.297
pre covid	17	11.283
statewide lockdown	17	11.281
vaccination center	17	11.269
confirmed case	33	11.260
other variant	21	11.253
quarantine facility	18	11.242
superspreader event	17	11.225
myanmar people	17	11.210
vaccinated individual	17	11.163
health advice	21	11.151
covid-19 lockdown	20	11.131
broward county	23	11.090
playing politics	19	11.026
conservative radio host	17	11.014
people in hospital	17	10.995
lockdown measure	19	10.945
covid-19 situation	19	10.918
registration link	18	10.884
rising case	17	10.846
safety measure	36	10.824
hospital admission	28	10.815
second wave	32	10.807
health worker	46	10.799
other vaccine	18	10.779
ron johnson	18	10.766
new mask	17	10.754
covid vaccine booster	16	10.721
covid delta variant	16	10.721
vaccine booster shot	16	10.716
negative covid	16	10.715
covid-19 origin	16	10.713
covid datum	16	10.688
sars-cov-2 infection	17	10.683
cdc report	17	10.679
vaccination mandate	16	10.677
insider trading	25	10.638
straight day	20	10.589
high vaccination	16	10.588
covid-19 complication	16	10.569
covid era	16	10.557
week of school	18	10.536
public health crisis	21	10.516
modi govt	16	10.514
vaccine clinic	16	10.509
governor desantis	16	10.504
total lockdown	16	10.486
spanish flu	19	10.460
rescue dog	20	10.376
nsw government	25	10.371
school closure	21	10.367
public health	363	10.318
covid-19 spread	16	10.248
people get	27	10.245
vaccine supply	16	10.237
sky news	23	10.231
coronavirus restriction	17	10.220
face shield	20	10.201
new infection	21	10.164
flu shot	26	10.161
dick farrel	15	10.113
lying freak	15	10.110
caught covid	15	10.110
vaccinated country	15	10.107
covid pass	15	10.104
point in the pandemic	15	10.087
health ministry	24	10.082
damn mask	15	10.082
covid transmission	15	10.053
high vaccination rate	15	10.051
dan andrew	15	10.051
new cases today	15	10.049
quarantine camp	15	10.043
deaths today	15	10.011
acquired case	15	10.009
covid guideline	15	9.985
pandemic time	15	9.928
vaccination program	18	9.910
third shot	16	9.895
many death	19	9.886
underlying health condition	16	9.885
ongoing pandemic	16	9.869
public health official	22	9.866
intensive care	44	9.820
healthy people	25	9.815
day of school	23	9.801
delta wave	15	9.801
texas school	17	9.799
death count	16	9.787
daily reminder	16	9.773
pandemic restriction	15	9.750
community transmission	16	9.735
healthcare system	42	9.686
record number	35	9.681
number of deaths	26	9.651
illegal alien	36	9.643
climate crisis	28	9.633
lockdown restriction	16	9.598
national lockdown	16	9.595
year old	56	9.593
student debt	22	9.549
dose of vaccine	15	9.549
indoor space	17	9.526
junta terrorist	14	9.506
school mask mandate	14	9.505
requiring proof of vaccination	14	9.504
variant of concern	14	9.504
fucking pandemic	14	9.501
unvaccinated employee	14	9.500
severe covid	14	9.499
covid narrative	14	9.499
spread of covid	14	9.499
delta strain	14	9.499
k-12 school	20	9.498
catching covid	14	9.497
mask guidance	14	9.491
covid victim	14	9.480
covid-19 vaccine dose	14	9.480
one-day increase	14	9.463
coronavirus vaccination	14	9.459
voter suppression	18	9.459
covid-19 symptom	16	9.457
fatality rate	19	9.455
jen psaki	14	9.435
middle of a global pandemic	14	9.430
american rescue	14	9.424
covid recovery	14	9.406
post covid	14	9.405
prior infection	14	9.375
contact tracer	15	9.369
mask policy	14	9.364
moderna vaccine	14	9.361
stimulus check	15	9.355
home death	14	9.335
medical advice	25	9.325
sturgis motorcycle	14	9.316
billion dose	14	9.283
safety protocol	19	9.258
staff shortage	16	9.247
midst of a pandemic	14	9.213
covid-19 crisis	24	9.113
justin trudeau	16	9.100
number of cases	36	9.081
coronavirus pandemic	40	9.070
physical exam	21	9.057
public health expert	16	8.942
vax passport	13	8.898
new covid variant	13	8.898
covid-19 delta variant	13	8.898
fuck covid	13	8.898
vaccinated folk	13	8.898
american rescue plan	13	8.898
snap lockdown	13	8.898
covid origin	13	8.896
got covid	13	8.895
variant of the coronavirus	13	8.895
covid state	13	8.893
johnson vaccine	13	8.891
delta case	13	8.890
mandate mask	13	8.890
covid admission	13	8.886
kid rock	15	8.883
vaccine today	13	8.867
covid rate	13	8.862
federal eviction	13	8.861
requiring vaccination	13	8.858
dr fauci	13	8.840
astrazeneca vaccine	13	8.838
taking horse	13	8.836
fort detrick	14	8.833
cases yesterday	13	8.823
medical expert	22	8.822
remote learning	17	8.817
eviction ban	13	8.815
new hospitalization	13	8.805
face covering	21	8.801
elective surgery	16	8.797
weekly testing	13	8.795
sturgis motorcycle rally	13	8.792
texas governor greg abbott	13	8.764
stage of the pandemic	13	8.754
