Item	Frequency	Score
social distancing	616	4.956
covid case	400	3.569
public health	396	3.543
covid-19 case	382	3.453
new case	368	3.363
covid-19 vaccine	362	3.325
coronavirus case	352	3.261
covid vaccine	310	2.991
covid death	283	2.818
covid test	242	2.554
joe biden	229	2.471
covid-19 pandemic	229	2.471
covid relief	220	2.413
global pandemic	218	2.400
health care	203	2.304
coronavirus vaccine	199	2.278
many people	199	2.278
middle of a pandemic	195	2.252
mental health	192	2.233
united states	188	2.207
small business	185	2.188
task force	182	2.169
loved one	180	2.156
coronavirus pandemic	178	2.143
white house	175	2.124
donald trump	166	2.066
last week	165	2.060
covid patient	155	1.995
new coronavirus	152	1.976
mask mandate	146	1.938
first time	144	1.925
social distance	142	1.912
stay home	140	1.899
second wave	139	1.893
corona virus	138	1.886
nursing home	133	1.854
ðÿ ̃	132	1.848
wearing mask	127	1.816
covid-19 death	127	1.816
second lockdown	126	1.809
climate change	123	1.790
president trump	123	1.790
death toll	123	1.790
trump administration	117	1.751
new coronavirus case	117	1.751
american people	117	1.751
national lockdown	116	1.745
healthcare worker	115	1.739
last night	114	1.732
death rate	112	1.719
covid-19 test	107	1.687
covid restriction	102	1.655
next week	96	1.617
active case	95	1.610
new death	95	1.610
next year	94	1.604
boris johnson	92	1.591
pandemic response	92	1.591
kelly loeffler	89	1.572
el paso	88	1.565
deadly pandemic	88	1.565
ï ̧	86	1.552
election day	85	1.546
supreme court	84	1.539
south dakota	82	1.527
family member	82	1.527
lot of people	80	1.514
social medium	79	1.507
conspiracy theory	79	1.507
good news	79	1.507
new york	78	1.501
covid-19 patient	78	1.501
super spreader	78	1.501
face mask	77	1.495
single day	77	1.495
health official	76	1.488
covid response	75	1.482
coronavirus task force	75	1.482
covid-19 infection	74	1.475
coronavirus death	74	1.475
dr. fauci	73	1.469
herd immunity	72	1.462
infection rate	71	1.456
covid pandemic	71	1.456
few day	71	1.456
first lockdown	70	1.450
positivity rate	69	1.443
covid testing	68	1.437
front line	68	1.437
care home	67	1.430
new #covid19	67	1.430
few week	67	1.430
trump supporter	67	1.430
holiday season	66	1.424
covid-19 restriction	66	1.424
other people	65	1.417
federal government	65	1.417
blood component	65	1.417
need #blood type	64	1.411
