Item	Frequency	Score
covid vaccine	577	446.026
covid-19 vaccine	590	334.358
delta variant	330	271.890
wuhan lab	327	267.648
covid case	269	199.461
covid death	247	196.378
covid-19 vaccination	189	151.629
covid patient	157	121.865
lab leak	146	120.873
vaccine dose	150	114.745
covid test	146	114.052
covid restriction	147	111.944
covid vaccination	122	100.680
matt hancock	116	91.527
third wave	140	88.277
social distancing	380	85.087
covid pandemic	113	83.746
covid-19 case	190	82.039
heart inflammation	99	81.823
corona warrior	95	78.709
wuhan institute	89	72.775
covid relief	85	69.126
second dose	94	68.002
second wave	154	67.421
mrna vaccine	82	66.480
coronavirus vaccine	93	66.185
global pandemic	123	65.519
vaccinated people	77	63.367
new case	236	63.092
active case	101	62.391
covid rule	74	61.037
corona virus	87	59.346
pandemic situation	72	57.309
long covid	64	53.176
positivity rate	73	52.888
lab leak theory	63	52.762
stay home	71	52.727
leak theory	62	51.931
covid jab	61	51.066
vaccination rate	72	50.660
new death	69	49.682
covid-19 death	67	48.919
vaccine rollout	59	48.835
first dose	73	48.256
covid crisis	62	47.651
gain of function	58	47.269
covid origin	56	46.999
boris johnson	103	46.930
covid protocol	56	46.077
covid shot	54	45.342
new variant	65	45.302
spike protein	57	44.651
covid wave	52	43.563
vaccination drive	52	43.056
mask mandate	57	43.020
covid infection	52	42.560
social distance	74	42.394
china virus	51	42.255
wuhan lab leak	50	42.081
vaccination appointment	50	41.875
pandemic response	55	41.526
modi govt	50	41.268
covid variant	49	41.259
vaccine passport	49	41.185
middle of a pandemic	50	40.718
pandemic p	48	40.430
total lockdown	49	40.355
covid-19 vaccination appointment	47	39.617
covid outbreak	48	39.520
herd immunity	57	38.836
peter daszak	46	38.663
wearing mask	63	38.555
start of the pandemic	50	38.438
pm modi	57	37.459
offline exam	44	37.045
coronavirus case	67	36.893
biden administration	50	36.885
covid-19 pandemic	231	36.703
covid-19 infection	56	36.640
wuhan virus	44	36.152
frontline worker	51	36.071
natural immunity	46	35.771
ल कर	42	35.509
pandemic shit	42	35.508
health secretary	52	35.455
covid situation	43	35.352
big tech	55	35.188
dose1 capacity	41	34.687
dose2 capacity	41	34.687
min age limit	41	34.682
covid response	41	33.837
corona pandemic	41	33.730
social distancing rule	42	32.613
covid-19 patient	55	32.556
chinese virus	39	32.401
cleanliness worker	38	32.217
ambulance driver	43	32.208
distancing rule	42	32.114
positive case	55	31.865
board exam	45	31.750
new coronavirus	47	30.679
ए बह	36	30.579
variant of concern	36	30.573
gain-of-function research	36	30.435
covid treatment	36	30.430
lockdown restriction	40	30.318
pandemic time	36	30.017
pin code	43	29.802
covid warrior	35	29.661
pfizer vaccine	36	29.656
president biden	35	29.209
covid time	35	29.084
excess death	38	29.030
dss volunteer	34	28.935
unvaccinated people	34	28.513
covid-19 vaccine dose	33	28.038
covid testing	34	27.931
covid-19 restriction	42	27.650
coronavirus variant	32	27.282
covid-19 origin	32	27.271
indian variant	32	27.135
vaccine hesitancy	33	27.052
covid-19 test	40	26.761
lock down	32	26.720
pcr test	35	26.613
covid contract	31	26.461
hotel quarantine	32	26.411
freedom day	32	26.187
healthcare worker	55	25.969
mask wear	32	25.459
coronavirus death	32	25.343
new coronavirus case	32	25.323
health minister	46	25.282
nhs staff	38	25.104
death rate	75	24.900
wear mask	30	24.851
death toll	86	24.538
face mask	72	24.158
fauci email	28	24.005
covid victim	28	23.942
whole pandemic	28	23.906
daily case	30	23.824
covid lockdown	28	23.332
positive test	42	23.296
cases today	28	23.110
post covid	27	22.938
next pandemic	27	22.449
lockdown rule	27	22.345
confirmed case	49	22.071
lab-leak theory	25	21.541
health official	68	21.489
coronavirus pandemic	71	21.269
beginning of the pandemic	26	21.201
big pharma	38	21.158
mass vaccination	27	21.118
infection rate	38	20.666
dr fauci	24	20.583
vaccination clinic	25	20.464
michael gove	28	20.414
experimental vaccine	25	20.354
deadly pandemic	24	20.145
modi government	29	20.018
first lockdown	24	19.966
coronavirus research	23	19.691
vaccination site	23	19.566
panic buy	23	19.519
covid-19 protocol	24	19.469
full lockdown	23	19.407
anthony fauci	23	19.265
emergency use	27	19.167
covid-19 variant	22	19.069
lab origin	22	19.055
covid19 vaccine	22	19.020
chinese lab	22	18.966
conspiracy theory	81	18.857
care home	65	18.851
red list	25	18.810
covid virus	22	18.760
vaccine clinic	22	18.700
conspiracy theorist	40	18.606
stay safe	23	18.581
covid vax	21	18.252
covid risk	21	18.113
vaccination centre	21	18.098
emergency meeting	27	17.915
free vaccination	21	17.859
health ministry	32	17.660
cm sir	20	17.429
variant spread	20	17.423
gain of function research	20	17.419
namo app	20	17.369
function research	20	17.365
real pandemic	20	17.364
pandemic end	20	17.197
appropriate behaviour	21	17.173
private hospital	33	17.160
vaccine mandate	20	17.103
black fungus	20	17.096
ron desantis	20	17.073
total case	22	16.897
aged care	38	16.854
total death	22	16.716
yan report	19	16.604
extra attempt	19	16.545
covid positive	19	16.521
astrazeneca vaccine	19	16.499
covid recovery	19	16.437
vaccine shot	19	16.372
bio weapon	19	16.317
covid symptom	19	16.271
great reset	19	16.009
oxygen concentrator	20	15.940
close contact	41	15.812
covid prisoner	18	15.789
lockdown lifting	18	15.778
covid fund	18	15.770
vaccine appointment	18	15.757
covid-19 outbreak	28	15.664
quarantine facility	19	15.645
vaccination programme	20	15.489
time of pandemic	18	15.471
home order	19	15.379
rahul gandhi	23	15.366
lockdown measure	20	15.211
vaccination status	18	14.998
health measure	22	14.993
coronavirus restriction	19	14.985
covid-19 shot	17	14.926
new covid	17	14.921
doug ford	18	14.907
coronavirus vaccination	17	14.894
travel restriction	26	14.867
covid issue	17	14.867
anti-lockdown protest	17	14.843
scott morrison	19	14.709
recovery rate	22	14.554
covid-19 relief	18	14.543
covid-19 situation	19	14.458
coronavirus infection	20	14.398
gun violence	38	14.371
covid-19 virus	20	14.292
survival rate	40	14.285
public health official	24	14.230
व बर	16	14.146
यरस स	16	14.146
covid vaccine dose	16	14.145
covid passport	16	14.139
covid duty	16	14.130
sars-cov-2 infection	17	14.115
vaccine death	16	14.108
corona epidemic	16	14.105
covid policy	16	14.077
covid19 case	16	14.072
covid care	16	14.068
online class	28	14.059
vaccine efficacy	17	14.005
modi ji	16	13.966
wet market	17	13.923
handling of the pandemic	16	13.872
awareness drive	16	13.856
case number	25	13.828
icu bed	17	13.826
university exam	16	13.780
blood clot	39	13.635
future pandemic	16	13.517
rise in cases	16	13.517
eviction moratorium	16	13.495
sant shri asharamji bapu	15	13.325
condition of pandemic	15	13.322
delta strain	15	13.315
delta plus	15	13.303
moderna covid-19 vaccine	15	13.303
covid death rate	15	13.303
vaccine today	15	13.278
lockdown easing	15	13.264
covid surge	15	13.254
bat coronavirus	15	13.249
quarantine hotel	15	13.245
live bat	15	13.202
bjp govt	15	13.191
g7 summit	16	13.177
first wave	31	13.145
vaccinated individual	15	13.130
prisoner right	15	13.113
super spreader	15	13.105
relief fund	19	13.065
healthy people	25	13.059
free vaccine	15	13.048
deadly virus	18	13.028
race theory	17	12.999
self isolate	15	12.954
g7 leader	15	12.897
online counsel	15	12.883
joe biden	33	12.854
pandemic restriction	15	12.846
worldwide pandemic	15	12.844
n95 mask	16	12.809
care worker	36	12.789
vaccine supply	15	12.723
health crisis	30	12.571
jon stewart	19	12.524
covid19 vaccination	14	12.499
emergency covid	14	12.490
new covid case	14	12.485
getting covid	14	12.485
covid complication	14	12.478
covid management	14	12.476
gb news	14	12.472
covid hospitalization	14	12.457
covid hospital	14	12.429
corona case	14	12.427
hard lockdown	14	12.410
surgical mask	17	12.392
public health measure	16	12.349
essential worker	17	12.337
rare heart	14	12.336
related death	17	12.256
covid-19 update	16	12.247
coronavirus outbreak	22	12.239
spread of the virus	20	12.215
wave of the pandemic	14	12.168
community transmission	15	12.100
vaccination campaign	16	12.068
front line worker	14	12.053
dominic cummings	14	12.039
live update	17	11.975
aids epidemic	19	11.906
daily death	14	11.902
chinese communist party	14	11.794
panic buying	14	11.744
people die	17	11.733
sars-cov-2 virus	14	11.733
state govt	14	11.718
fake news	40	11.697
case rate	14	11.694
inventor of mrna	13	11.681
tory mp	17	11.681
coronavirus survival rate	13	11.680
bat coronavirus research	13	11.678
lakh dose	13	11.675
coronavirus survival	13	11.674
anti lockdown	13	11.673
indoor mask	13	11.670
variant case	13	11.667
former guy	13	11.666
covid-19 jab	13	11.664
lockdown extension	13	11.653
corona vaccine	13	11.640
covid rate	13	11.634
asymptomatic spread	13	11.624
chinese vaccine	13	11.609
exposure site	13	11.567
deaths today	13	11.563
asha worker	13	11.510
ongoing pandemic	14	11.509
height of the pandemic	13	11.474
vaccine shortage	13	11.448
nsw health	14	11.416
vaccination effort	13	11.408
antigen test	14	11.403
case of heart	13	11.398
kind of job	15	11.367
humble request	13	11.321
corona crisis	13	11.294
jon rahm	13	11.244
central govt	13	11.224
virus spread	14	11.168
impact of the pandemic	14	11.100
line worker	14	11.077
vaccination program	15	11.062
many life	26	10.982
full video	15	10.869
covid delta	12	10.860
delta coronavirus variant	12	10.860
lab leak hypothesis	12	10.859
case of heart inflammation	12	10.858
covid hospitalisation	12	10.857
delta coronavirus	12	10.851
corona period	12	10.849
distributing fruit	12	10.847
covid-19 lab	12	10.843
covid datum	12	10.826
vaccine patent	12	10.826
corona time	12	10.824
tony fauci	12	10.823
covid ward	12	10.811
vaccine procurement	12	10.810
health advice	15	10.799
zinc treatment	12	10.795
post pandemic	12	10.776
houston hospital	12	10.761
covid number	12	10.747
early treatment	15	10.736
covid guideline	12	10.722
moderna vaccine	12	10.694
flu season	18	10.679
judicial watch	14	10.659
pandemic relief	12	10.643
communist china	14	10.543
mild case	14	10.529
severe illness	15	10.519
number of cases	31	10.510
good morning	37	10.507
health worker	33	10.488
border crisis	12	10.471
hospital admission	20	10.468
pandemic unemployment	12	10.459
covid19 pandemic	12	10.458
new infection	16	10.451
second shot	16	10.439
mask requirement	12	10.434
stay-at-home order	15	10.408
mass testing	12	10.383
assam government	12	10.333
exam centre	12	10.331
railway employee	12	10.323
cdc guideline	13	10.309
covid-19 response	14	10.279
natural infection	12	10.273
flow test	12	10.260
adverse reaction	24	10.206
emergency power	15	10.163
lemon water	12	10.137
pandemic preparedness	12	10.137
saving life	19	10.122
hunter biden	13	10.060
treatments increased coronavirus	11	10.038
treatments increased coronavirus survival	11	10.038
rare heart inflammation	11	10.038
ल म	11	10.038
wuhan lab theory	11	10.038
lockdown delay	11	10.035
crore dose	11	10.033
covid money	11	10.031
vaccine incentive	11	10.030
coronavirus vaccine dose	11	10.029
sars-cov-2 variant	11	10.029
day of a positive test	11	10.026
pfizer covid vaccine	11	10.020
covid relief fund	11	10.020
lockdown protest	11	10.016
upsc aspirant	11	10.015
covid quarantine	11	9.998
loved one	86	9.984
getting vaccine	11	9.960
extended lockdown	11	9.956
milkha singh	11	9.955
heart issue	12	9.930
lockdown end	11	9.926
vaccination card	11	9.913
mask rule	11	9.909
covid-19 lockdown	13	9.887
low vaccination	11	9.886
virus research	11	9.854
many death	14	9.853
ron johnson	12	9.795
cases rise	11	9.784
study show	15	9.759
post-pandemic world	11	9.749
guarantee scheme	12	9.731
food packet	11	9.729
crore people	11	9.634
tokyo olympics	12	9.632
total recovery	11	9.605
covid-19 treatment	11	9.604
covid-19 symptom	12	9.579
fear mongering	12	9.556
great news	30	9.521
dose of the vaccine	11	9.513
hospital bed	21	9.508
oxygen cylinder	11	9.434
full investigation	13	9.425
runny nose	14	9.419
additional death	11	9.380
local case	11	9.370
breaking news	26	9.366
million of lives	13	9.278
pandemic hit	11	9.239
covid-19 crisis	18	9.235
delta plus variant	10	9.216
covid-19 delta variant	10	9.216
stole ssr patents	10	9.216
covid delta variant	10	9.216
report of heart inflammation	10	9.216
zinc treatments increased coronavirus	10	9.216
leak hypothesis	10	9.215
secrecy kill	10	9.215
second covid wave	10	9.213
variant of coronavirus	10	9.213
variant of the coronavirus	10	9.213
vaccine equity	10	9.213
spread of covid	10	9.210
lab theory	10	9.209
new outbreak	11	9.209
breaking social distancing rule	10	9.208
breaking social distancing	10	9.203
covid denier	10	9.201
report of heart	10	9.199
free treatment	11	9.191
entire pandemic	10	9.184
pre covid	10	9.180
covid hit	10	9.175
covid thing	10	9.164
covid transmission	10	9.161
experimental gene	10	9.146
oxygen plant	10	9.115
vaccine side effect	10	9.112
covid update	10	9.110
vaccine side	10	9.107
pandemic recovery	10	9.096
origin of the virus	10	9.092
ecohealth alliance	10	9.089
us cdc	10	9.086
post lockdown	10	9.079
public health	236	9.077
covid era	10	9.075
respiratory virus	11	9.070
health secretary matt hancock	10	9.039
covid safety	10	9.022
week delay	10	8.990
positive patient	11	8.983
chinese scientist	11	8.976
tucker carlson	11	8.955
mental pressure	10	8.946
people in hospital	10	8.945
mandatory mask	10	8.937
cdc datum	10	8.936
jeff bezos	12	8.877
diploma student	10	8.829
fatality rate	13	8.805
health expert	18	8.804
lost track	12	8.797
proper study	10	8.752
kumbh mela	10	8.712
online exam	11	8.694
thousand of lives	13	8.675
emergency use authorization	10	8.636
lateral flow	10	8.622
g7 country	10	8.620
same people	28	8.603
morrison government	10	8.592
border closure	10	8.539
may allah	11	8.532
board examination	10	8.508
common cold	14	8.494
long term effect	12	8.488
medical worker	11	8.486
health care worker	17	8.462
chris paul	11	8.460
congressional investigation	11	8.458
biological weapon	16	8.442
death count	10	8.414
covid-19 lab leak	9	8.395
wuhan lab partner	9	8.395
wuhan lab-leak	9	8.395
delta covid-19 variant	9	8.395
delta covid variant	9	8.395
inventor of mrna vaccines	9	8.395
moderna covid vaccine	9	8.393
covid survival	9	8.391
covid today	9	8.390
vaccinated country	9	8.389
catching covid	9	8.387
pre pandemic	9	8.385
covid-19 survival	9	8.384
full congressional investigation	9	8.383
covid death toll	9	8.382
alpha variant	9	8.379
vaccination camp	9	8.373
lisbon court	9	8.372
day lockdown	9	8.371
hospitalization risk	9	8.371
biowarfare program	9	8.368
lockdown day	9	8.367
chris whitty	9	8.365
week lockdown	9	8.363
conducting exam	9	8.355
middle of the pandemic	9	8.354
experimental gene therapy	9	8.348
covid spread	9	8.340
frontline doctor	9	8.337
inflammation follow	9	8.334
virus variant	9	8.322
covid-19 wave	9	8.322
free ration	9	8.320
verified case	9	8.316
pandemic era	9	8.314
covid regulation	9	8.310
houston methodist hospital	9	8.288
top story	12	8.267
closing border	9	8.265
education minister	12	8.264
case count	10	8.257
