Item	Frequency	Score
nahi	12	8.404
ve	47	8.371
self-isolate	13	8.368
qanon	12	8.349
bro	48	8.347
az	57	8.341
à	43	8.334
cnn	117	8.334
yr	89	8.325
antibody	129	8.323
unmask	23	8.289
merkel	36	8.285
asap	47	8.281
migrant	175	8.223
wanna	95	8.206
stimmy	10	8.202
fatality	62	8.201
vigilant	37	8.197
nyt	28	8.174
covishield	10	8.174
sinophobia	10	8.145
unscientific	17	8.142
johnson	496	8.141
post-covid-19	11	8.121
complicit	24	8.117
moron	34	8.107
cv19	10	8.089
ang	23	7.984
cvs	34	7.965
profiteer	18	7.943
infected	84	7.940
shameful	35	7.934
slavitt	10	7.927
merrick	17	7.912
ruto	11	7.869
azn	10	7.843
efficacy	106	7.836
kenyan	39	7.746
indoors	62	7.741
naman	10	7.722
parton	18	7.696
selfish	66	7.695
re-opening	18	7.686
disgusting	45	7.682
bhi	12	7.670
hahaha	20	7.652
grammys	14	7.635
toll	156	7.603
admin	123	7.594
eligible	321	7.584
mongering	13	7.584
postpone	85	7.583
frm	12	7.582
symptomatic	29	7.562
spread	801	7.550
death	2098	7.532
pandemic-related	10	7.531
melania	14	7.521
serco	12	7.517
deshmukh	11	7.501
incompetent	40	7.495
nicola	36	7.495
ex-cdc	9	7.490
democrat	230	7.479
covid-infected	9	7.474
prioritized	24	7.469
protestor	33	7.469
tryna	10	7.443
covid-era	9	7.432
qanda	9	7.421
na	90	7.410
immunocompromised	12	7.407
kenney	18	7.342
merck	25	7.331
retweeting	10	7.306
frontliner	9	7.244
ल	10	7.241
c-19	9	7.237
reminder	153	7.201
armys	9	7.197
uddhav	10	7.196
kya	12	7.154
kushner	18	7.154
asshole	39	7.116
tf	29	7.110
asian-american	12	7.100
politicize	15	7.081
hai	30	7.080
spike	172	7.076
gonna	196	7.056
dumbass	12	7.054
roll-out	18	7.026
shitty	24	7.025
ontarians	10	7.022
eua	10	7.019
uptick	19	7.018
sanitize	23	7.009
pombe	9	7.006
donut	29	6.999
zeneca	9	6.993
walgreen	10	6.929
macron	23	6.919
bc	216	6.904
manaus	10	6.902
walgreens	14	6.893
त	10	6.890
sinema	9	6.882
ig	28	6.882
hypocrisy	40	6.871
goi	11	6.859
tho	45	6.858
infection	395	6.851
confirmed	14	6.838
senate	407	6.833
tamilnadu	13	6.832
fucker	15	6.832
brampton	15	6.816
mutate	30	6.812
goalpost	11	6.811
nairobi	38	6.775
cupsleeve	8	6.770
ðÿ1	8	6.767
fully-vaccinated	8	6.760
ron	164	6.759
disgrace	41	6.755
sick	285	6.754
âž	8	6.749
blame	308	6.743
o-positive	8	6.741
kpop	9	6.741
fyi	24	6.740
administer	209	6.739
vaxxer	8	6.738
avg	23	6.737
nagpur	14	6.732
supremacist	23	6.723
briefing	87	6.706
payrise	8	6.683
vibes	24	6.673
plandemic	8	6.670
mpesa	8	6.669
ipsos	12	6.668
disproportionately	30	6.663
inequity	25	6.660
bossche	8	6.636
duque	10	6.606
wfh	9	6.605
unsanitary	11	6.598
airborne	55	6.570
facemask	10	6.568
mcconnell	32	6.564
single-shot	9	6.559
life-saving	23	6.556
texas	616	6.550
crony	20	6.544
piers	16	6.532
bill	1361	6.527
ž	8	6.523
urgently	38	6.508
heartbreaking	25	6.503
lock-down	9	6.493
š	9	6.490
ameen	9	6.487
non-essential	16	6.482
despicable	20	6.478
covid-19-related	9	6.476
haruto	8	6.472
boondoggle	10	6.463
bidens	9	6.442
reckless	42	6.422
venmo	9	6.414
xenophobia	15	6.406
bruh	8	6.402
flout	14	6.368
hysteria	25	6.364
masker	8	6.357
र	10	6.356
scaremongering	9	6.355
vaccinator	8	6.349
naija	8	6.345
