Item	Frequency	Score
social distancing	470	9.736
coronavirus pandemic	203	4.773
corona virus	151	3.807
president trump	136	3.528
united states	101	2.877
global pandemic	98	2.822
covid-19 pandemic	97	2.803
new case	95	2.766
coronavirus case	87	2.617
coronavirus death	87	2.617
death toll	87	2.617
public health	83	2.543
stay home	81	2.506
stay-at-home order	81	2.506
coronavirus outbreak	79	2.468
new york	77	2.431
health care	75	2.394
coronavirus crisis	75	2.394
fake news	65	2.208
covid-19 case	59	2.097
home order	59	2.097
white house	58	2.078
trump administration	57	2.059
front line	57	2.059
nursing home	56	2.041
donald trump	55	2.022
small business	52	1.967
covid-19 patient	51	1.948
other country	51	1.948
care worker	51	1.948
social medium	50	1.929
task force	50	1.929
healthcare worker	49	1.911
covid-19 death	47	1.874
federal government	46	1.855
confirmed case	46	1.855
many people	45	1.836
n95 mask	45	1.836
health worker	45	1.836
coronavirus lockdown	45	1.836
mental health	44	1.818
last week	44	1.818
covid-19 crisis	44	1.818
coronavirus patient	44	1.818
dr. fauci	42	1.781
coronavirus response	42	1.781
last night	42	1.781
death rate	42	1.781
medical supply	41	1.762
social distance	40	1.743
face mask	40	1.743
press conference	40	1.743
climate change	39	1.725
chinese virus	36	1.669
bill gates	36	1.669
health care worker	36	1.669
middle of a pandemic	35	1.651
world health organization	35	1.651
coronavirus task force	35	1.651
care home	34	1.632
family member	34	1.632
president @realdonaldtrump	33	1.613
health official	33	1.613
boris johnson	33	1.613
novel coronavirus	33	1.613
good news	33	1.613
south korea	33	1.613
new death	32	1.595
covid patient	32	1.595
joe biden	32	1.595
case of coronavirus	31	1.576
first time	31	1.576
wuhan virus	31	1.576
migrant worker	30	1.558
covid-19 outbreak	29	1.539
essential worker	29	1.539
american people	29	1.539
fox news	29	1.539
press briefing	28	1.520
nhs staff	28	1.520
mortality rate	28	1.520
positive case	28	1.520
ðÿ ̃	28	1.520
case of #covid19	28	1.520
test kit	27	1.502
difficult time	27	1.502
coronavirus test	27	1.502
herd immunity	27	1.502
china virus	27	1.502
human right	26	1.483
coronavirus vaccine	26	1.483
travel ban	26	1.483
new coronavirus	26	1.483
nancy pelosi	26	1.483
coronavirus briefing	25	1.465
rest of the world	25	1.465
hong kong	25	1.465
wuhan lab	24	1.446
covid death	24	1.446
coronavirus testing	24	1.446
ï ̧	23	1.428
infectious disease	23	1.428
next week	23	1.428
spread of #covid19	23	1.428
new zealand	22	1.409
communist party	22	1.409
black people	22	1.409
us coronavirus	22	1.409
loved one	22	1.409
pandemic response	22	1.409
spread of coronavirus	22	1.409
health crisis	22	1.409
covid-19 lockdown	22	1.409
jared kushner	22	1.409
same time	22	1.409
only way	21	1.390
stay safe	21	1.390
chinese government	20	1.372
good morning	20	1.372
last year	20	1.372
testing kit	20	1.372
supply chain	20	1.372
new york city	20	1.372
coronavirus relief	20	1.372
staying home	20	1.372
covid case	19	1.353
right thing	19	1.353
first responder	19	1.353
covid-19 test	19	1.353
coronavirus task	19	1.353
last month	19	1.353
protective equipment	19	1.353
protective gear	19	1.353
frontline worker	19	1.353
distancing rule	18	1.335
antibody test	18	1.335
new york times	18	1.335
pm modi	18	1.335
covid-19 relief	18	1.335
great job	18	1.335
south africa	18	1.335
ten of thousands	18	1.335
healthcare system	18	1.335
new case of coronavirus	18	1.335
social distancing rule	18	1.335
few week	18	1.335
few day	18	1.335
prime minister	18	1.335
health expert	18	1.335
coronavirus death toll	17	1.316
grocery store	17	1.316
total number	17	1.316
death certificate	17	1.316
relief fund	17	1.316
new yorkers	17	1.316
distancing guideline	17	1.316
spanish flu	17	1.316
stimulus check	17	1.316
deadly pandemic	17	1.316
second wave	17	1.316
young people	17	1.316
handling of the coronavirus	17	1.316
other people	16	1.297
common sense	16	1.297
us coronavirus death	16	1.297
medical professional	16	1.297
total case	16	1.297
conspiracy theory	16	1.297
testing site	16	1.297
heart attack	16	1.297
first case	16	1.297
number of deaths	16	1.297
dr. birx	16	1.297
pm @narendramodi	16	1.297
cruise ship	16	1.297
breaking news	16	1.297
social distancing guideline	16	1.297
lockdown period	15	1.279
health minister	15	1.279
light on climate change	15	1.279
wet market	15	1.279
communist china	15	1.279
flu pandemic	15	1.279
hundred of thousands	15	1.279
other nation	15	1.279
domestic abuse	15	1.279
medical staff	15	1.279
health insurance	15	1.279
virus outbreak	15	1.279
other state	15	1.279
injecting disinfectant	15	1.279
coronavirus stimulus	15	1.279
practicing social distancing	14	1.260
bbc news	14	1.260
intensive care	14	1.260
world leader	14	1.260
global health	14	1.260
only thing	14	1.260
executive order	14	1.260
physical distancing	14	1.260
challenging time	14	1.260
dr. anthony fauci	14	1.260
lot of people	14	1.260
million of people	14	1.260
lockdown rule	14	1.260
corona crisis	14	1.260
many life	14	1.260
washington post	14	1.260
key worker	14	1.260
first place	14	1.260
covid-19 testing	13	1.242
spread of the coronavirus	13	1.242
people''s life	13	1.242
good job	13	1.242
big difference	13	1.242
active case	13	1.242
death count	13	1.242
north carolina	13	1.242
high risk	13	1.242
deadly virus	13	1.242
state government	13	1.242
covid-19 vaccine	13	1.242
spread of #coronavirus	13	1.242
health system	13	1.242
coronavirus update	13	1.242
working class	13	1.242
coronavirus infection	13	1.242
distancing measure	12	1.223
covid19 patient	12	1.223
same thing	12	1.223
american life	12	1.223
side effect	12	1.223
covid crisis	12	1.223
health emergency	12	1.223
last time	12	1.223
long time	12	1.223
face covering	12	1.223
virus pandemic	12	1.223
testing capacity	12	1.223
new jersey	12	1.223
air pollution	12	1.223
test result	12	1.223
medical care	12	1.223
medical equipment	12	1.223
food supply	12	1.223
spread of the virus	12	1.223
uk government	12	1.223
health condition	12	1.223
great news	12	1.223
jim jordan	12	1.223
saving life	12	1.223
travel history	12	1.223
mainstream medium	12	1.223
new case of #covid19	12	1.223
covid-19 virus	11	1.204
