Item	Frequency	Score
covid	12059	1549.222
lockdown	4368	454.836
ðÿ	686	449.014
covid19	540	267.238
pandemic	7021	233.298
covid-19	6179	142.109
vaccine	4851	136.854
corona	635	124.228
vaccinate	680	120.137
fauci	236	119.492
coronavirus	2230	114.231
biden	1456	109.051
wuhan	299	91.856
vaccination	1094	81.908
distancing	437	68.552
govt	435	66.012
pfizer	249	61.433
mask	2567	57.599
moderna	104	54.945
rollout	251	54.698
sars-cov-2	140	54.439
icu	241	53.839
retweet	112	50.137
ppl	193	47.156
boris	342	44.408
quarantine	372	41.641
stay-at-home	109	40.534
gov	183	39.523
post-covid	64	39.304
maskless	56	38.440
insurrection	136	37.315
n95	72	37.192
ppe	144	36.772
breaking	261	36.068
cdc	396	35.085
jab	170	34.698
capitol	499	33.736
cuomo	142	32.763
anti-lockdown	46	32.261
ivermectin	54	32.135
astrazeneca	77	32.067
ग	46	30.418
maga	59	29.922
pre-covid	47	29.896
ccp	119	29.868
frontline	196	29.732
virus	1574	29.206
lockdowns	41	28.796
superspreader	41	28.676
birx	42	28.571
b117	40	28.565
post-pandemic	46	28.517
variant	767	27.730
vax	51	27.726
denier	89	27.555
inauguration	157	27.099
transmissible	48	26.919
president-elect	111	26.730
curfew	100	25.493
biontech	39	25.411
yall	52	25.390
starmer	40	24.611
ž	34	23.711
contagious	112	23.563
nhs	550	23.013
covaxin	32	22.959
pre-pandemic	36	22.532
impeach	83	22.183
incompetence	98	22.157
ltc	55	22.150
covid-related	34	21.961
hospitalization	121	21.871
insurrectionist	33	21.706
desantis	44	21.574
âtm	30	21.330
rt	215	20.962
pcr	128	20.906
positivity	75	20.792
spreader	51	20.576
icus	33	20.460
misinformation	98	20.113
स	32	20.053
flu	315	20.003
lmao	45	19.996
coronaviru	32	19.977
ffs	42	19.943
anti-vaxxer	30	19.937
sceptic	49	19.799
ï	89	19.698
trudeau	87	19.333
outbreak	434	19.203
jayapal	28	19.054
asymptomatic	63	19.038
hoax	109	19.015
icymi	28	18.958
ðÿtm	26	18.888
self-isolate	32	18.726
dey	48	18.624
ji	87	18.618
pro-trump	30	18.299
newsom	50	18.057
sturgeon	69	17.970
र	32	17.970
tory	150	17.727
dose	738	17.650
swab	63	17.443
sinovac	24	17.285
bharat	56	17.259
pelosi	89	17.164
non-covid	24	17.110
य_मह	23	16.971
घ_ग	23	16.971
त_आर	23	16.971
डप	23	16.967
जर	23	16.930
ventilator	63	16.883
furlough	59	16.796
mco	29	16.757
non-essential	45	16.669
psaki	24	16.552
loeffler	27	16.429
fuck	701	16.363
smh	31	15.930
ramaphosa	26	15.853
rioter	39	15.806
hospitalize	83	15.706
wtf	64	15.653
covid-free	21	15.378
infect	233	15.321
hcq	22	15.296
gop	217	15.006
incite	82	14.846
tweet	406	14.840
pls	32	14.762
tbh	37	14.709
priti	22	14.589
trump	1532	14.547
wh	55	14.348
moron	63	14.213
covidiot	19	14.132
undercount	23	14.121
kamala	36	14.023
whitty	22	14.011
pfizer-biontech	19	13.974
vaccinator	20	13.961
reinfection	21	13.802
antifa	28	13.748
manaus	22	13.678
tories	48	13.667
deadly	307	13.652
heartbreaking	56	13.629
impeachment	105	13.578
covishield	18	13.434
reopen	200	13.347
thalapathy	18	13.284
hydroxychloroquine	22	13.207
virology	29	13.205
billionaire	94	13.179
c19	20	13.118
anti-vaccine	20	13.026
biden-harris	18	12.977
mcconnell	67	12.953
nigga	27	12.899
qanon	20	12.874
dems	59	12.849
eviction	80	12.754
disgraceful	37	12.735
sunak	19	12.726
mrna	65	12.656
epidemic	183	12.645
roll-out	34	12.364
pl	112	12.349
immunity	164	12.272
snp	55	12.262
toll	262	12.251
unmask	36	12.251
covid-safe	17	12.229
azar	22	12.187
e484k	16	12.110
bruh	17	12.109
piers	32	12.094
anti-masker	16	12.026
mutate	56	12.001
mismanagement	39	11.960
seditionist	16	11.890
dcgi	16	11.863
super-spreader	16	11.829
kenney	31	11.827
keir	22	11.823
downplay	47	11.765
flatten	94	11.759
virologist	19	11.753
disinformation	43	11.735
mismanage	23	11.701
trumper	17	11.680
intubate	18	11.604
xmas	38	11.543
supremacist	42	11.529
tracing	36	11.509
tedros	17	11.502
gaslighting	17	11.457
jandj	15	11.410
hancock	73	11.398
âž	15	11.380
pramila	16	11.310
wfh	17	11.289
idk	29	11.246
nimc	15	11.245
hospitalisation	22	11.158
selfish	100	11.152
stfu	17	11.119
epidemiologist	28	11.095
covax	15	11.077
bioweapon	17	11.048
plz	31	11.038
shit	276	10.909
asuu	15	10.901
gamestop	20	10.835
infected	119	10.782
coronavirus-related	16	10.752
disgusting	66	10.751
hypocrite	43	10.723
mishandle	26	10.720
aande	14	10.713
perdue	24	10.674
ur	86	10.671
tuluksak	14	10.666
cases	29	10.662
dem	64	10.572
restriction	510	10.568
wear	1703	10.566
amid	201	10.531
grump	16	10.449
sop	35	10.445
bipoc	15	10.347
pres	27	10.324
inoculate	27	10.228
shameful	47	10.168
gofundme	19	10.146
vallance	15	10.142
doh	27	10.070
death	2912	10.063
briefing	136	10.039
โคว	13	10.025
wiv	14	10.012
qanda	13	9.933
kn95	13	9.853
anti-mask	13	9.785
venmo	15	9.774
ontarians	15	9.760
irresponsible	56	9.730
sedition	24	9.713
msm	46	9.695
parler	14	9.689
facemask	16	9.684
fam	26	9.628
wanna	116	9.626
ucp	16	9.620
hospitalise	20	9.613
publix	17	9.516
nyt	34	9.490
sars	27	9.467
shri	41	9.446
strain	328	9.440
prioritised	21	9.423
botch	20	9.409
talkradio	13	9.335
modi	77	9.333
dfjl	12	9.333
ðÿ1	12	9.328
nin	21	9.322
vaxx	12	9.316
namo	14	9.304
riot	148	9.211
mthembu	12	9.199
plandemic	12	9.194
sick	403	9.183
hcw	13	9.161
âœ	12	9.155
surge	186	9.092
coz	25	9.084
complicit	28	9.062
spread	997	9.045
pence	50	9.005
incompetent	50	8.969
vibes	34	8.967
bullshit	58	8.921
retweeting	13	8.919
ontarian	13	8.900
lagos	47	8.867
lmfao	13	8.861
chafin	12	8.850
draconian	28	8.787
relief	533	8.770
dodger	22	8.727
cele	12	8.703
inoculation	22	8.701
noem	12	8.679
pneumonia	57	8.669
swayne	12	8.659
brexit	136	8.637
covid-denier	11	8.634
ðÿš	11	8.633
darurat	11	8.630
bidens	13	8.622
abt	27	8.609
precaution	90	8.607
nicola	43	8.577
anti-covid	11	8.562
omg	45	8.558
infection	511	8.526
potus	17	8.524
avoidable	24	8.522
boebert	11	8.520
bheki	11	8.506
disgrace	54	8.506
americans	666	8.487
nah	32	8.451
jan	272	8.440
covid-positive	11	8.434
republicans	155	8.419
clap	51	8.419
slavitt	11	8.338
sassa	11	8.300
stimulus	139	8.284
aiims	13	8.243
novavax	11	8.235
asshole	47	8.217
biotech	46	8.209
anti-vax	11	8.196
conspiracy	172	8.183
jenrick	11	8.176
wk	22	8.172
uni	46	8.161
fatality	64	8.151
adhanom	11	8.150
sanitize	28	8.146
flout	19	8.143
mid-february	16	8.106
georgians	17	8.103
self-isolating	12	8.102
nak	12	8.068
sridhar	13	8.030
ravage	43	8.019
reminder	177	8.012
cummings	34	8.010
mpp	18	8.002
despicable	26	8.001
hysteria	33	7.996
positive	1133	7.989
ossoff	11	7.978
defund	16	7.967
stay	1903	7.960
n501y	10	7.943
oðÿ	10	7.939
gonna	229	7.930
fg	26	7.916
gove	18	7.912
rona	14	7.882
abeg	10	7.875
त	12	7.829
cfss	10	7.825
asap	46	7.816
bolsonaro	17	7.806
sars-cov2	10	7.780
postpone	90	7.727
unforgivable	15	7.722
kkm	10	7.679
infectious	107	7.670
whitmer	17	7.632
lowkey	10	7.578
cnn	110	7.552
ghebreyesus	10	7.535
ม	10	7.523
naman	10	7.469
confirmed	16	7.462
masker	10	7.458
johnson	471	7.444
mar-a-lago	11	7.414
self-isolation	12	7.386
ivm	10	7.384
overwhelm	100	7.384
criminally	20	7.363
die	1966	7.356
uk	1467	7.344
blm	32	7.337
twat	13	7.335
rn	55	7.322
anaphylaxis	14	7.318
bipartisanship	12	7.295
moh	14	7.275
hawley	18	7.275
profiteer	17	7.273
pro-lockdown	9	7.243
disproportionately	34	7.242
instacart	10	7.239
