Item	Frequency	Score
covid	12570	78.294
pandemic	7205	39.672
covid-19	6500	33.108
lockdown	4221	26.769
coronavirus	3310	19.750
mask	2246	13.125
vaccine	2204	13.102
trump	2988	12.808
deaths	1815	10.087
virus	1670	9.169
biden	1357	9.068
cases	3128	8.817
wear	1599	7.713
masks	1042	7.086
corona	874	6.455
ðÿ	798	6.121
stay	1823	5.998
distancing	739	5.513
americans	1079	5.113
covid19	642	5.103
thanksgiving	701	4.990
tested	894	4.978
positive	1316	4.840
election	1155	4.735
spread	943	4.479
restrictions	661	4.205
please	1803	3.966
vote	839	3.805
safe	946	3.676
died	989	3.622
flu	463	3.616
trump''s	470	3.560
people	6017	3.498
cdc	422	3.492
vaccines	423	3.446
relief	584	3.385
breaking	516	3.325
lives	978	3.310
today	1717	3.305
stop	1043	3.275
lockdowns	355	3.258
dying	441	3.216
shit	417	3.174
die	584	3.162
wearing	495	3.137
govt	348	3.127
pfizer	339	3.127
fuck	388	3.105
icu	329	3.049
sick	456	3.047
tests	565	3.042
outbreak	370	3.040
hospitals	421	2.960
fauci	301	2.923
test	1017	2.908
fucking	350	2.893
â	358	2.865
workers	717	2.854
n''t	8189	2.853
surge	328	2.851
joe	462	2.834
health	2033	2.825
infections	346	2.823
hospital	707	2.820
everyone	917	2.812
testing	614	2.802
via	854	2.795
ca	1213	2.772
quarantine	288	2.738
thank	660	2.719
infected	321	2.716
christmas	522	2.703
healthcare	443	2.697
tweet	290	2.675
crisis	501	2.674
republicans	343	2.651
why	1690	2.643
lock	345	2.612
donald	343	2.610
economy	599	2.609
deadly	302	2.594
home	2076	2.594
yesterday	401	2.543
senate	403	2.542
during	2441	2.541
news	1082	2.540
millions	387	2.537
due	1124	2.537
death	920	2.522
gatherings	256	2.520
gop	270	2.516
patients	746	2.505
u	386	2.495
wo	598	2.488
worse	414	2.483
country	1191	2.474
voted	320	2.469
going	1740	2.458
months	928	2.441
hospitalizations	228	2.440
boris	239	2.431
weeks	671	2.429
doctors	342	2.419
votes	320	2.416
protect	492	2.400
lost	743	2.391
infection	314	2.383
us	3138	2.366
care	1237	2.364
w	387	2.356
spreading	257	2.350
rt	232	2.349
uk	673	2.320
gonna	274	2.316
ballots	224	2.315
president	1002	2.314
nhs	260	2.309
million	988	2.308
wave	334	2.308
let	1045	2.283
businesses	466	2.278
loeffler	199	2.274
now	3300	2.271
amid	239	2.256
response	650	2.254
literally	291	2.250
damn	248	2.244
worst	321	2.241
ppl	199	2.238
rallies	205	2.237
retweet	193	2.232
fight	467	2.204
biden''s	190	2.195
voting	279	2.192
president-elect	190	2.180
tomorrow	281	2.177
numbers	521	2.170
shut	271	2.164
thousands	387	2.163
need	2104	2.149
immunity	204	2.141
democrats	260	2.134
just	3761	2.129
social	1099	2.126
brexit	207	2.117
days	1130	2.114
hoax	181	2.110
do	5726	2.107
week	969	2.106
folks	272	2.098
thread	287	2.097
stupid	240	2.094
getting	807	2.089
dead	442	2.088
get	2900	2.084
seriously	291	2.083
keep	1007	2.082
we	9571	2.082
y	282	2.075
nov	217	2.073
nurses	217	2.068
reminder	201	2.063
america	582	2.059
twitter	268	2.045
got	1101	2.045
daily	504	2.044
says	1042	2.044
doing	793	2.037
wait	376	2.032
watch	477	2.029
symptoms	290	2.027
dems	168	2.026
ï	166	2.022
tier	193	2.020
measures	355	2.013
government	1283	2.012
tonight	236	2.004
rate	592	1.995
families	453	1.993
cuomo	160	1.993
delhi	208	1.990
stimulus	177	1.990
mandate	190	1.988
lol	213	1.985
governor	280	1.984
fake	206	1.984
hope	606	1.972
go	1633	1.961
loved	316	1.959
gov.	173	1.959
georgia	243	1.956
confirmed	271	1.953
schools	510	1.952
fraud	216	1.949
still	1717	1.937
kids	420	1.932
bc	209	1.931
transition	255	1.920
no	3638	1.912
day	1863	1.910
remember	491	1.904
update	351	1.903
china	479	1.901
save	418	1.899
risk	589	1.897
gov	145	1.890
experts	291	1.888
toll	172	1.887
hospitalized	146	1.887
recovered	183	1.887
how	3132	1.885
trying	566	1.882
ppe	142	1.880
sad	211	1.873
epidemic	158	1.871
lies	249	1.870
saying	442	1.868
ass	178	1.867
wash	189	1.865
anyone	533	1.862
celebrate	211	1.860
because	2252	1.859
moderna	134	1.855
dakota	163	1.853
mcconnell	138	1.841
recovery	271	1.837
voters	209	1.837
nurse	191	1.832
conspiracy	165	1.829
republican	232	1.828
listen	259	1.828
pay	568	1.826
zero	231	1.823
blame	184	1.818
perdue	128	1.811
reported	438	1.811
holidays	182	1.811
fighting	259	1.806
paso	132	1.796
beds	170	1.796
administration	367	1.794
pls	128	1.793
tory	133	1.785
kill	258	1.784
spike	152	1.783
struggling	175	1.779
rules	402	1.775
follow	411	1.767
help	1450	1.765
hate	211	1.761
staff	586	1.761
rise	292	1.760
negative	278	1.757
oh	330	1.756
kelly	167	1.752
someone	548	1.751
bad	504	1.751
restaurants	203	1.750
nothing	592	1.747
unemployment	160	1.741
hit	402	1.739
nov.	159	1.734
wh	118	1.728
forget	223	1.724
want	1280	1.723
wants	315	1.719
here	1800	1.719
killing	200	1.719
again	1019	1.717
voter	136	1.716
lying	167	1.715
hell	211	1.715
record	502	1.714
positivity	115	1.712
nation	282	1.710
precautions	123	1.709
friends	505	1.702
our	3956	1.701
holiday	249	1.701
latest	364	1.696
wow	158	1.695
ok	229	1.692
hey	184	1.692
mental	282	1.691
johnson	212	1.690
mail	215	1.689
middle	402	1.688
mom	175	1.684
rising	203	1.682
live	674	1.681
absolutely	227	1.680
tracing	119	1.679
deserve	143	1.676
highest	275	1.676
selfish	119	1.675
know	1621	1.673
vulnerable	167	1.671
let''s	140	1.670
officials	282	1.669
trace	144	1.668
plasma	133	1.663
mitch	112	1.663
tell	497	1.663
politicians	161	1.661
imagine	222	1.661
believe	552	1.660
transmission	187	1.658
effective	390	1.655
wuhan	105	1.654
vaccination	117	1.651
supporters	159	1.650
task	265	1.648
dangerous	208	1.643
happening	186	1.642
yes	437	1.639
guidelines	198	1.639
counting	131	1.638
dr.	418	1.638
global	547	1.637
frontline	107	1.635
refuse	136	1.634
down	1363	1.633
shame	140	1.633
ones	342	1.631
curfew	102	1.631
emergency	251	1.626
my	4040	1.626
donate	122	1.625
failed	248	1.625
indoor	138	1.624
jobs	290	1.624
wanna	116	1.624
raging	105	1.622
gyms	100	1.622
worried	147	1.621
this	11739	1.620
public	1113	1.620
telling	197	1.619
coming	470	1.618
homes	253	1.618
pm	305	1.617
cares	121	1.617
y''all	97	1.616
november	480	1.615
cancel	120	1.613
wake	155	1.613
ur	107	1.612
lied	107	1.611
money	676	1.611
scared	124	1.610
you	11937	1.609
yourself	316	1.607
asking	218	1.606
scientists	212	1.605
disease	339	1.604
nursing	170	1.603
asymptomatic	97	1.601
mail-in	95	1.600
suffering	178	1.597
thanks	433	1.596
midst	118	1.596
governors	109	1.595
count	213	1.593
monday	260	1.593
job	558	1.592
travel	357	1.588
alberta	116	1.588
sorry	196	1.587
yeah	191	1.586
citizens	222	1.586
exposed	169	1.584
did	1874	1.580
soon	437	1.580
mandatory	126	1.578
protocols	120	1.578
mps	110	1.575
cnn	110	1.575
pass	298	1.574
happy	337	1.574
so	4204	1.574
sars-cov-2	91	1.572
who	4054	1.570
ya	119	1.570
about	4187	1.569
dear	165	1.568
every	1097	1.567
pence	95	1.566
immune	134	1.564
despite	361	1.562
say	926	1.562
rally	128	1.561
nobody	155	1.560
outbreaks	96	1.559
surging	91	1.559
today''s	177	1.558
guess	218	1.555
hands	333	1.553
panic	113	1.551
massive	194	1.550
distance	253	1.548
indoors	97	1.547
elderly	121	1.547
closed	254	1.546
me	2206	1.546
briefing	102	1.546
isolation	115	1.544
pcr	92	1.541
protest	138	1.539
guys	224	1.538
killed	257	1.537
told	523	1.533
england	292	1.532
thing	640	1.532
dont	141	1.530
ve	90	1.530
misinformation	88	1.528
handling	154	1.528
urgent	112	1.525
halloween	105	1.525
fear	234	1.523
joke	113	1.522
democracy	156	1.519
done	627	1.519
warp	89	1.518
nonsense	99	1.518
guy	240	1.518
spreader	82	1.517
ever	597	1.515
excuse	114	1.514
family	916	1.514
friday	274	1.514
real	650	1.513
lie	147	1.512
hard	535	1.510
mandates	88	1.508
birthday	141	1.506
el	141	1.505
shutdown	91	1.504
crazy	141	1.502
reset	102	1.500
protests	114	1.499
infectious	98	1.497
should	1765	1.495
herd	92	1.494
talking	256	1.493
losing	160	1.492
join	277	1.492
media	535	1.492
senators	97	1.491
tories	82	1.491
meadows	89	1.491
anti-lockdown	76	1.488
pray	120	1.487
gathering	127	1.486
pathetic	85	1.486
nyc	96	1.485
think	1214	1.485
devastating	97	1.484
leadership	266	1.484
medical	464	1.482
ignore	119	1.478
normal	277	1.477
never	880	1.476
right	1231	1.475
take	1323	1.475
suicide	126	1.474
continue	433	1.474
mortality	105	1.473
disgusting	82	1.472
tired	122	1.472
listening	147	1.472
mp	106	1.470
racism	102	1.469
s	459	1.469
counted	97	1.468
party	508	1.467
georgians	74	1.467
idiot	85	1.467
cure	108	1.464
golfing	75	1.461
isolate	81	1.461
ago	432	1.460
afford	123	1.460
gone	251	1.459
seeing	228	1.457
super	192	1.457
corrupt	95	1.455
close	465	1.455
meanwhile	152	1.455
calling	193	1.455
trudeau	75	1.455
dumb	88	1.454
economic	411	1.453
nationwide	103	1.453
affected	181	1.452
insane	88	1.451
racist	94	1.451
heroes	106	1.450
ahead	223	1.450
irresponsible	77	1.450
really	1013	1.449
ga	87	1.449
does	1439	1.448
alone	265	1.446
wrong	296	1.446
maybe	354	1.446
freedom	220	1.446
winter	230	1.445
survive	126	1.444
honestly	102	1.444
out	3252	1.444
idiots	76	1.443
im	124	1.442
already	605	1.442
total	425	1.442
illness	127	1.441
if	4356	1.440
usa	200	1.440
contracted	84	1.438
since	1126	1.437
hundreds	170	1.437
texas	217	1.436
michigan	145	1.436
lmao	69	1.434
politics	188	1.434
biggest	188	1.433
ontario	121	1.432
refusing	84	1.432
all	5077	1.431
maga	68	1.431
reports	306	1.430
government''s	113	1.430
wtf	71	1.429
month	383	1.428
orders	168	1.428
doses	84	1.428
elect	82	1.427
furlough	68	1.425
science	466	1.424
insider	78	1.423
like	2656	1.423
biontech	66	1.423
anymore	118	1.422
bs	80	1.421
xmas	69	1.419
dad	122	1.418
omg	71	1.417
ballot	92	1.417
cancelled	88	1.415
waiting	188	1.414
have	7823	1.414
incompetence	69	1.413
ban	115	1.412
everything	424	1.412
patient	228	1.411
confirms	79	1.411
what	3286	1.410
fucked	71	1.410
pelosi	69	1.409
pre-covid	64	1.409
putting	177	1.409
anxiety	112	1.409
atlas	80	1.409
locked	102	1.409
post-covid	64	1.409
pfizer''s	64	1.408
okay	131	1.408
announces	85	1.408
face	441	1.405
away	673	1.403
canceled	73	1.402
campaign	277	1.400
tweets	74	1.400
nearly	279	1.399
er	83	1.399
mean	364	1.399
democrat	87	1.398
scam	75	1.398
plan	518	1.398
in-person	71	1.397
gets	271	1.396
recession	83	1.396
sen.	81	1.395
wonder	168	1.395
refused	122	1.395
force	361	1.395
ill	109	1.394
bars	116	1.393
win	307	1.393
proud	142	1.392
gotta	78	1.392
viruses	79	1.391
miss	186	1.390
huge	257	1.390
too	980	1.389
leaders	256	1.387
ignored	98	1.387
hear	265	1.385
minister	265	1.385
dem	66	1.385
supreme	150	1.385
everywhere	117	1.385
thankful	73	1.385
diwali	62	1.384
mink	62	1.384
viral	81	1.383
amazing	196	1.383
else	322	1.382
treat	147	1.381
vs	104	1.381
pneumonia	67	1.380
not	7093	1.380
homeless	88	1.379
efficacy	78	1.379
trumps	62	1.379
celebrating	87	1.379
warns	70	1.377
corruption	103	1.376
protecting	103	1.376
curve	94	1.375
barrett	67	1.374
ji	63	1.374
congratulations	80	1.373
modi	67	1.373
false	148	1.373
new	3333	1.372
working	706	1.372
ny	105	1.371
lose	167	1.371
scary	79	1.371
has	5242	1.371
staying	104	1.370
i	12484	1.370
yet	575	1.370
bullshit	65	1.369
billionaires	60	1.369
admin	77	1.368
happen	216	1.367
yall	58	1.366
catch	141	1.366
golf	134	1.366
vaccinated	61	1.364
share	386	1.363
protesting	64	1.362
newsom	58	1.361
hopkins	73	1.360
zoom	79	1.360
rent	110	1.360
à	62	1.360
crowds	73	1.359
propaganda	81	1.359
protesters	75	1.359
eviction	61	1.358
dr	150	1.358
billion	221	1.358
mass	206	1.358
poverty	121	1.358
counties	96	1.358
shocking	71	1.357
overwhelmed	69	1.356
they	5604	1.356
against	928	1.356
infect	60	1.356
announce	92	1.355
happened	214	1.355
instead	409	1.355
trials	112	1.355
elections	131	1.354
harris	91	1.354
respiratory	75	1.354
surges	58	1.354
weekend	177	1.352
unprecedented	79	1.352
re-post	55	1.351
person	515	1.351
watching	162	1.351
concede	59	1.350
reporting	157	1.349
healthy	191	1.348
wish	212	1.348
year	1431	1.347
give	646	1.347
hancock	61	1.347
catching	76	1.347
u.s.	514	1.346
diagnosed	83	1.346
bro	60	1.346
ignoring	72	1.345
kills	74	1.345
are	9765	1.344
house	693	1.343
prayers	80	1.343
fda	79	1.343
last	1160	1.342
fault	98	1.342
india	275	1.341
impact	328	1.341
ai	115	1.340
shutting	60	1.340
grateful	87	1.339
blm	57	1.339
antibodies	64	1.339
complications	75	1.339
your	4282	1.339
glad	113	1.338
terrible	99	1.338
facing	136	1.337
rapid	116	1.337
n95	53	1.336
contagious	57	1.335
over	2053	1.334
cummings	56	1.333
loser	58	1.332
disappear	71	1.332
etc	124	1.331
briefings	55	1.331
borders	89	1.330
thinks	107	1.330
denmark	71	1.330
kamala	53	1.329
sweden	81	1.327
failure	167	1.326
flatten	53	1.326
prevent	199	1.325
adviser	69	1.325
call	502	1.324
stay-at-home	52	1.322
safely	88	1.321
enough	534	1.321
deniers	51	1.319
mil	54	1.318
avoid	213	1.318
amy	75	1.318
sign	216	1.317
communities	231	1.317
gotten	91	1.317
agree	184	1.317
senator	101	1.316
sir	142	1.316
