Item	Frequency
cause	0.0406
republican	0.0405
happy	0.0404
times	0.0404
donald	0.0403
ass	0.0403
tonight	0.0402
close	0.0402
hey	0.0401
idiot	0.0399
ji	0.0396
ban	0.0396
nsw	0.0394
retweet	0.0391
normal	0.039
administration	0.0389
face mask	0.0388
wearing mask	0.0387
killed	0.0387
fear	0.0385
closed	0.0385
hear	0.0385
coronavirus vaccine	0.0384
nursing home	0.0384
listen	0.0384
nation	0.0384
seriously	0.0382
brexit	0.0381
exams	0.0379
ppe	0.0379
shame	0.0379
severe	0.0378
nursing	0.0376
y	0.0375
party	0.0375
enough	0.037
covid-19 vaccination	0.0369
science	0.0367
talking	0.0366
dr	0.0366
children	0.0366
share	0.0366
plasma	0.0365
fighting	0.0364
yourself	0.0364
mental health	0.0362
lab	0.0362
big	0.0362
mask mandate	0.0359
failed	0.0358
kill	0.0358
citizens	0.0357
donate	0.0357
lockdowns	0.0356
mandatory	0.0356
leaders	0.0356
herd	0.0355
frontline	0.0355
infectious	0.0353
rise	0.035
leadership	0.035
loved one	0.0349
tory	0.0349
recovered	0.0348
senate	0.0348
serious	0.0344
postpone	0.0343
pcr	0.0343
ones	0.0343
highest	0.0342
morning	0.0342
wow	0.0341
illness	0.0341
guidelines	0.034
wanna	0.0338
record	0.0336
social distance	0.0335
happen	0.0333
second wave	0.0332
strain	0.0332
death rate	0.0331
hate	0.033
cuomo	0.033
viral	0.033
prevent	0.033
ur	0.0329
desantis	0.0326
moderna	0.0325
gets	0.0324
march	0.0323
affected	0.0322
rally	0.0321
vaxxed	0.0321
active case	0.0319
huge	0.0319
imagine	0.0318
lies	0.0317
june	0.0317
ivermectin	0.0316
scientists	0.0314
mental	0.0314
guys	0.0314
post	0.0314
stimulus	0.0312
propaganda	0.0312
nearly	0.0311
mp	0.031
sign	0.0309
allowed	0.0309
anti	0.0307
mild	0.0307
new coronavirus	0.0306
ill	0.0306
happening	0.0302
asymptomatic	0.0302
boris johnson	0.0301
calling	0.0299
delta variant	0.0298
covid restriction	0.0297
middle of a pandemic	0.0297
gone	0.0296
actually	0.0296
herd immunity	0.0295
till	0.0295
covid-19 death	0.0294
healthy	0.0294
stay home	0.0293
seeing	0.0293
talk	0.0293
video	0.0293
vaccine mandate	0.0292
forget	0.0292
cnn	0.0292
ok	0.029
positivity	0.029
n95	0.029
essential	0.029
vaccine passport	0.0286
lakh	0.0286
racist	0.0286
usa	0.0286
ask	0.0286
hospitalize	0.0286
absolutely	0.0285
asking	0.0285
campaign	0.0285
ready	0.0285
joe biden	0.0283
folks	0.0283
mortality	0.0283
shortage	0.0283
ve	0.0282
dumb	0.0282
voting	0.028
killing	0.028
bed	0.028
distance	0.0279
report	0.0279
continues	0.0278
selfish	0.0277
caused	0.0275
elderly	0.0274
telling	0.0274
treatment	0.0273
happened	0.0272
bullshit	0.0271
poor	0.0271
agree	0.027
reporting	0.0269
truth	0.0269
sorry	0.0268
deal	0.0268
coronavirus outbreak	0.0267
healthcare worker	0.0266
pls	0.0265
waiting	0.0265
covid-19 patient	0.0264
handling	0.0264
health official	0.0263
ventilator	0.0263
biggest	0.026
sure	0.026
wash	0.0259
guy	0.0258
advice	0.0258
failure	0.0257
cure	0.0257
loved	0.0257
guess	0.0257
urgent	0.0257
start	0.0257
president trump	0.0257
updates	0.0256
vs	0.0256
helping	0.0256
residents	0.0256
next	0.0256
dems	0.0255
racism	0.0255
excuse	0.0255
forced	0.0255
hell	0.0255
united states	0.0255
health care	0.0255
white house	0.0255
dear	0.0253
avoid	0.0253
confirmed case	0.0252
many people	0.0252
side effect	0.0251
wonder	0.025
border	0.025
isolate	0.0249
yeah	0.0248
africa	0.0248
ccp	0.0247
donald trump	0.0246
weekend	0.0246
info	0.0246
putting	0.0245
yr	0.0245
tracing	0.0244
dont	0.0244
nyc	0.0244
covid-19 test	0.0243
suffering	0.0243
bjp	0.0243
am	0.0243
lack	0.0242
lying	0.0241
politics	0.024
mrna	0.024
contagious	0.0239
billion	0.0239
protests	0.0238
massive	0.0238
threat	0.0237
covid vaccination	0.0236
parents	0.0236
rollout	0.0235
keeping	0.0234
indoors	0.0233
amazing	0.0233
instead	0.0233
small business	0.0231
appointment	0.0231
miss	0.0229
understand	0.0228
incompetence	0.0227
plz	0.0227
vaccinated people	0.0225
nurses	0.0225
curfew	0.0224
exposed	0.0224
respiratory	0.0224
congress	0.0224
administer	0.0224
new variant	0.0223
care home	0.0223
deserve	0.0223
county	0.0223
sa	0.0222
mean	0.0222
vaccine dose	0.0221
rising	0.0221
contact	0.0221
covid pandemic	0.022
positive case	0.022
astrazeneca	0.022
long covid	0.0219
facing	0.0219
new death	0.0217
proud	0.0217
morrison	0.0217
trudeau	0.0217
mass	0.0217
reopening	0.0216
struggling	0.0216
facts	0.0216
briefing	0.0216
lose	0.0216
alone	0.0216
monday	0.0216
pl	0.0216
wtf	0.0215
coronavirus death	0.0214
protocol	0.0214
false	0.0213
pence	0.0213
nonsense	0.0213
scare	0.0213
covid crisis	0.0212
pandemic response	0.0211
entire	0.021
cough	0.0209
watching	0.0209
paid	0.0209
warn	0.0208
disgusting	0.0207
app	0.0206
worried	0.0206
flatten	0.0206
immune system	0.0204
restaurants	0.0204
politicians	0.0204
nobody	0.0203
hundreds	0.0203
relief bill	0.0201
wish	0.0201
last week	0.0201
joke	0.02
scam	0.02
mom	0.02
pharma	0.02
pelosi	0.0199
pass	0.0199
catch	0.0198
maharashtra	0.0197
bs	0.0197
survive	0.0195
ahead	0.0195
china virus	0.0194
guidance	0.0194
responsible	0.0194
r	0.0193
conspiracy theory	0.0192
insane	0.0192
trust	0.0191
ridiculous	0.0191
ya	0.0191
post-covid	0.019
indian	0.0189
wake	0.0188
incompetent	0.0188
fatality	0.0188
crore	0.0188
american people	0.0188
airborne	0.0187
gates	0.0187
wh	0.0187
irresponsible	0.0187
pneumonia	0.0187
disaster	0.0185
im	0.0185
democrat	0.0185
precaution	0.0185
omicron variant	0.0184
virtual	0.0184
holiday	0.0184
scotland	0.0183
lmao	0.0183
political	0.0183
orders	0.0183
âtm	0.0182
crazy	0.0181
worry	0.0181
msm	0.0181
efficacy	0.0181
free	0.0181
covid-19 infection	0.018
omg	0.018
dm	0.018
cm	0.018
positivity rate	0.0179
cancelled	0.0179
others	0.0179
covid infection	0.0178
teachers	0.0178
indoor	0.0178
pre-covid	0.0178
reality	0.0178
in-person	0.0177
losing	0.0177
nigeria	0.0177
alberta	0.0177
first time	0.0177
care worker	0.0176
bro	0.0176
post-pandemic	0.0175
test result	0.0174
pre	0.0174
safely	0.0173
knows	0.0173
pcr test	0.017
curve	0.017
hospitalizations	0.0169
thinks	0.0169
hydroxychloroquine	0.0169
federal	0.0169
ny	0.0168
moron	0.0168
gatherings	0.0167
dies	0.0167
birthday	0.0167
meanwhile	0.0167
trillion	0.0167
trump administration	0.0167
natural immunity	0.0166
lied	0.0166
voters	0.0166
midst	0.0166
scared	0.0166
amidst	0.0166
staying	0.0166
totally	0.0166
announced	0.0166
covid testing	0.0165
covid response	0.0165
shri	0.0165
disinformation	0.0165
covid-19 outbreak	0.0164
hancock	0.0164
scary	0.0164
active	0.0163
infection rate	0.0162
etc	0.0162
shutdown	0.0162
hi	0.0162
rapid	0.0162
rallies	0.0161
precautions	0.0161
first dose	0.016
okay	0.016
pre-pandemic	0.016
south africa	0.0159
health worker	0.0159
sweden	0.0159
mcconnell	0.0159
eviction	0.0159
gotta	0.0159
voted	0.0159
pathetic	0.0159
american	0.0159
reason	0.0159
paying	0.0158
dem	0.0158
pray	0.0158
bars	0.0157
tells	0.0157
devastating	0.0157
ðÿtm	0.0157
other country	0.0157
outbreaks	0.0155
count	0.0155
ai	0.0155
slow	0.0155
anymore	0.0154
asap	0.0154
thanksgiving	0.0153
spreader	0.0152
beds	0.0152
new coronavirus case	0.0151
wuhan lab	0.0151
