Item	Frequency
reality	0.0415
world	0.0414
dominic cummings	0.0412
amazon	0.0412
jared kushner	0.041
vax	0.0409
vaccine mandates	0.0408
governments	0.0408
jeff bezos	0.0406
kenya	0.0404
asian	0.0403
outbreak	0.0402
results	0.0401
bihar	0.04
reports	0.0399
men	0.0398
protection	0.0397
mind	0.0394
canadian	0.0393
andrew cuomo	0.0392
u.s	0.0392
kelly loeffler	0.0388
gujarat	0.0388
mental health	0.0387
bts	0.0385
country	0.0385
terms	0.0383
responsibility	0.0383
bbc	0.0382
lagos	0.0381
antibodies	0.0378
australian	0.0375
kamala harris	0.0374
pelosi	0.0374
resources	0.0374
ted cruz	0.0371
peace	0.037
san francisco	0.0369
voters	0.0369
crisis	0.0369
rules	0.0366
recovery	0.0366
u.k.	0.0365
joe rogan	0.0362
scott morrison	0.0362
trace	0.0362
missouri	0.0362
dems	0.0359
danger	0.0359
unvaccinated people	0.0357
concern	0.0357
plans	0.0352
end	0.0352
nfl	0.0351
video	0.0351
bengal	0.0349
hundreds of thousands	0.0348
fun	0.0347
oregon	0.0347
corruption	0.0346
individuals	0.0346
abbott	0.0346
study	0.0344
asia	0.0343
light	0.0342
war	0.0341
cuba	0.0341
viruses	0.0339
new jersey	0.0338
sept	0.0336
boris	0.0336
ron johnson	0.0334
funding	0.0334
bill gates	0.0333
iowa	0.0333
karnataka	0.0333
solidarity	0.0332
funds	0.0332
minnesota	0.0332
norway	0.033
primary number	0.0327
blood	0.0326
north carolina	0.0325
taxes	0.0324
truth	0.0324
annual	0.0324
blood component	0.0324
track	0.0321
ventilators	0.0321
weapons	0.032
places	0.0319
fire	0.0318
australians	0.0317
hospitalization	0.0316
african	0.0315
anxiety	0.0315
details	0.0315
good news	0.0314
tennessee	0.0313
capita	0.0311
ways	0.031
black people	0.0306
rent	0.0306
boosters	0.0305
tokyo	0.0303
pence	0.0303
virginia	0.0302
mps	0.0302
loss	0.0302
tucker carlson	0.0301
active cases	0.0301
west bengal	0.0301
awareness	0.0301
population	0.0301
disease	0.03
putin	0.0297
leaders	0.0297
colorado	0.0297
herman cain	0.0297
miami	0.0296
european	0.0296
pennsylvania	0.0295
cities	0.0295
german	0.0295
lindsey graham	0.0294
doug ford	0.0293
complications	0.0292
emergency	0.0292
court	0.0291
south carolina	0.0288
new york city	0.0286
suicide	0.0286
services	0.0286
oklahoma	0.0286
lakhs	0.0285
hawaii	0.0283
david perdue	0.0282
youtube	0.0281
customers	0.028
louisiana	0.028
essential workers	0.0278
how many people	0.0277
common sense	0.0277
elections	0.0275
austria	0.0275
stock	0.0274
scott atlas	0.0274
neet	0.0273
indoors	0.0273
election	0.0272
measures	0.0271
care homes	0.027
beds	0.027
kentucky	0.0269
jee	0.0268
big pharma	0.0267
mid	0.0267
mandates	0.0266
dollars	0.0265
fake news	0.0264
researchers	0.0263
french	0.0263
paris	0.0262
capacity	0.0261
panic	0.026
atlanta	0.026
nba	0.026
covid tests	0.0259
face	0.0259
covid-19 cases	0.0258
prayers	0.0257
spring	0.0257
effect	0.0256
billionaires	0.0255
homes	0.0255
muslim	0.0255
report	0.0255
hancock	0.025
tens of thousands	0.0248
nigerians	0.0248
respect	0.0247
protesters	0.0247
events	0.0246
so many people	0.0244
northern ireland	0.0244
health officials	0.0243
south african	0.0242
donald	0.0242
flights	0.0242
issues	0.0241
turkey	0.024
prevention	0.0239
sources	0.0237
scottish	0.0236
advice	0.0236
el paso	0.0233
nicola sturgeon	0.0232
msm	0.0232
midnight	0.0231
ages	0.023
nhs staff	0.0228
kashmir	0.0228
arkansas	0.0228
north korea	0.0227
junta	0.0227
vote	0.0226
crowds	0.0226
journalists	0.0226
asian americans	0.0226
maryland	0.0226
kumbh	0.0226
fbi	0.0224
situation	0.0223
bed	0.0223
delta variant	0.0222
virology	0.0221
credit	0.022
lockdown rules	0.0219
failure	0.0218
covid rules	0.0217
campus	0.0217
drugs	0.0217
function	0.0217
donald trumps	0.0216
depression	0.0216
efforts	0.0215
entry	0.0215
vaxxers	0.0214
walter reed	0.0213
stuff	0.0213
health workers	0.0212
words	0.0212
answers	0.0212
shots	0.0212
gavin newsom	0.0211
guidelines	0.0211
pneumonia	0.0211
fully vaccinated people	0.021
hhs	0.021
utah	0.021
sight	0.021
air	0.021
bob woodward	0.021
death toll	0.0209
blood clots	0.0207
public transport	0.0207
pentagon	0.0206
aaron rodgers	0.0205
lisa	0.0205
joe bidens	0.0204
human rights	0.0204
doses	0.0204
next month	0.0203
dallas	0.0203
saudi arabia	0.0202
sec	0.0202
profit	0.0201
disinformation	0.02
newsom	0.0199
georgians	0.0199
puerto rico	0.0198
nbc news	0.0198
aug	0.0198
trouble	0.0198
players	0.0197
precautions	0.0197
seniors	0.0197
way	0.0196
covid testing	0.0195
rallies	0.0195
pressure	0.0195
peoples lives	0.0194
pm modi	0.0194
universities	0.0194
indiana	0.0194
marjorie taylor greene	0.0192
sajid javid	0.0192
new delhi	0.0192
nevada	0.0192
hiv	0.0192
cdc guidelines	0.0191
governors	0.0191
season	0.019
belgium	0.019
uttar pradesh	0.0189
usps	0.0189
outbreaks	0.0189
parties	0.0189
farmers	0.0188
israeli	0.0188
high risk	0.0187
gaza	0.0187
illinois	0.0187
confirmed cases	0.0186
livelihoods	0.0186
color	0.0186
disease control	0.0185
ghana	0.0185
seattle	0.0185
each day	0.0184
spanish	0.0184
immigrants	0.0184
ford	0.0184
ministers	0.0184
new variants	0.0183
no mask	0.0183
gun violence	0.0183
hcq	0.0183
games	0.0183
borders	0.0183
covid pandemic	0.0182
covid-19 vaccine	0.0182
demand	0.0182
info	0.0182
marco rubio	0.0181
obamacare	0.0181
change	0.0181
aiims	0.0181
protest	0.0181
service	0.0181
fears	0.0181
fourth	0.0181
betsy devos	0.018
head	0.018
iraq	0.0179
guys	0.0179
surge	0.0179
palestinians	0.0179
exposure	0.0178
protocols	0.0178
floridians	0.0178
coronavirus pandemic	0.0177
college	0.0177
thread	0.0177
record	0.0177
massachusetts	0.0177
disabled people	0.0176
modi ji	0.0176
nyt	0.0176
volunteers	0.0176
orders	0.0175
shame	0.0174
covid passports	0.0173
corporations	0.0173
coronavirus deaths	0.0173
no vaccine	0.0172
ukraine	0.0172
gladys	0.0172
aca	0.0171
guidance	0.0171
girls	0.0171
rudy giuliani	0.0171
good luck	0.017
victims	0.017
hunger	0.017
employers	0.017
george floyd	0.0169
ottawa	0.0169
problems	0.0169
elon musk	0.0168
family members	0.0168
confidence	0.0168
sir	0.0168
decisions	0.0168
areas	0.0168
frontline workers	0.0167
unemployment benefits	0.0167
assam	0.0167
covid vaccination	0.0166
dan andrews	0.0166
modi govt	0.0166
progress	0.0166
supplies	0.0166
chris whitty	0.0165
pubs	0.0165
birx	0.0165
voting	0.0165
ventilation	0.0165
xmas	0.0165
san diego	0.0164
nature	0.0164
view	0.0164
netherlands	0.0164
n95 masks	0.0163
close contact	0.0163
stress	0.0163
icu beds	0.0162
covid crisis	0.0162
narendra modi	0.0162
animals	0.0162
behalf	0.0162
rajasthan	0.0162
conspiracy theories	0.0161
maine	0.0161
example	0.0161
harris	0.0161
ssr	0.016
covid protocols	0.0159
sri lanka	0.0159
wuhan lab	0.0159
hand	0.0159
contact tracing	0.0158
portland	0.0158
units	0.0158
no covid	0.0157
music	0.0157
authorities	0.0156
remdesivir	0.0155
colleagues	0.0154
vic	0.0152
aid	0.0152
new orleans	0.0151
coronavirus vaccine	0.0151
kushner	0.0151
illness	0.0151
duty	0.015
interest	0.015
colin powell	0.015
fed	0.015
updates	0.015
bangladesh	0.015
las vegas	0.0149
community	0.0149
punjab	0.0149
trump supporters	0.0149
guns	0.0149
income	0.0148
eviction	0.0147
hyderabad	0.0147
fox	0.0147
touch	0.0147
liverpool	0.0147
class	0.0147
benefits	0.0147
update	0.0147
new year	0.0146
san antonio	0.0146
legislation	0.0146
taliban	0.0146
technology	0.0146
black lives	0.0146
christmas day	0.0145
chris christie	0.0145
white people	0.0145
woodward	0.0145
senate republicans	0.0145
space	0.0145
mild symptoms	0.0143
gilead	0.0143
side effects	0.0142
justin trudeau	0.0142
gyms	0.0142
evening	0.0142
snp	0.0142
propaganda	0.0142
american lives	0.0141
football	0.0141
single-day	0.0141
idiots	0.0141
dubai	0.0141
covid infections	0.014
evictions	0.014
plenty	0.014
inflation	0.014
stake	0.0139
odisha	0.0139
tier	0.0139
covid numbers	0.0138
monthly	0.0138
coronavirus outbreak	0.0138
pregnant women	0.0137
jim jordan	0.0137
dr fauci	0.0137
face coverings	0.0137
quebec	0.0137
migrants	0.0137
golf	0.0137
studies	0.0137
stories	0.0137
source	0.0136
doctor	0.0136
covid-19 pandemic	0.0135
policy	0.0135
cages	0.0135
crimes	0.0134
medicines	0.0134
omicron variant	0.0133
no pandemic	0.0133
dido harding	0.0133
health insurance	0.0133
incompetence	0.0133
hold	0.0132
holiday	0.0132
shops	0.0132
tory mps	0.0131
jen psaki	0.0131
halloween	0.0131
north dakota	0.0131
uae	0.0131
n95	0.0131
idaho	0.013
medicaid	0.013
patient	0.013
risks	0.013
doj	0.0129
reporters	0.0129
gov	0.0129
phase	0.0129
reuters	0.0129
mandalay	0.0129
latin america	0.0128
police brutality	0.0128
blue states	0.0126
tamil nadu	0.0126
second wave	0.0126
amit shah	0.0126
jin	0.0126
ballots	0.0126
cov-2	0.0126
uganda	0.0126
michael gove	0.0125
intensive care	0.0125
physical distancing	0.0125
pune	0.0125
stage	0.0125
great news	0.0124
jason kenney	0.0124
h1n1	0.0124
barrett	0.0124
votes	0.0124
boston	0.0124
boris johnsons	0.0123
keir starmer	0.0123
home order	0.0123
pre-existing conditions	0.0123
cummings	0.0123
loeffler	0.0123
calls	0.0123
covid test	0.0122
positive cases	0.0122
redfield	0.0122
youth	0.0122
chaos	0.0122
impact	0.0122
church	0.0122
empathy	0.0122
zimbabwe	0.0122
mortality	0.0122
transparency	0.0122
kanye west	0.0121
passengers	0.0121
portugal	0.0121
moscow	0.0121
profits	0.0121
pain	0.0121
japanese	0.0121
catching covid	0.012
elaine chao	0.012
opening	0.012
classes	0.012
ebola	0.012
